rank,trial_number,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
1,2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,0.6570918182201197,0.1317458147390168,0.6336370964441369,0.7434298473825561,10.019154066386465,0.0039054429179048856,0.09073590082502982,0.00611114501953125,1602.0,0.012876157407407407,40.78955078125,0.5803003724837725,0.5952470783650138,10.833333333333334,15.833333333333334
2,15,10,2,64,0.25,0.0010673012973342602,32,75,0.0001,0.1,5,3,0.7,False,42,0.6563170598518603,0.1306811122007066,0.6256455776503352,0.7369337466004884,12.396203505470853,0.004243830387066636,0.09746507925391239,0.00916290283203125,2402.0,3.616898148148148e-05,46.79638671875,0.5724579838938935,0.5962422118326763,13.768518518518519,18.76851851851852
3,17,10,2,32,0.25,0.001057871680183938,32,75,0.0001,0.1,5,3,0.7,False,42,0.6555423458047349,0.13091060608468277,0.6205230371002388,0.7438196493314186,12.207673282155561,0.00384925666515267,0.08797263248885628,0.00794219970703125,2082.0,0.0011574074074074073,46.79248046875,0.5740078603449968,0.5936754217854252,14.324074074074074,19.324074074074073
4,27,10,2,32,0.25,0.0010239897210827173,32,75,0.0001,0.1,5,3,0.7,False,42,0.6549744608428236,0.1295236179347215,0.6203183629753952,0.7448517278317962,11.80541559071625,0.00419774760774561,0.09681832871242291,0.00794219970703125,2082.0,0.0003255208333333333,46.79248046875,0.5757796061911843,0.5944239733027823,13.787037037037036,18.787037037037038
5,18,8,4,32,0.25,0.0021210553146999663,32,75,0.0001,0.1,5,3,0.7,False,42,0.6536685892238546,0.12955814895409012,0.6238254781180492,0.7368033442349349,7.959382032274907,0.0037281842437719374,0.0849516988281018,0.01313018798828125,3442.0,0.002423321759259259,42.67529296875,0.5539963895607516,0.5987191312658934,7.555555555555555,12.555555555555555
6,24,8,2,32,0.25,0.0038790939785822067,32,75,0.0001,0.1,5,3,0.7,False,42,0.6529136962218863,0.12086300675948464,0.6334638507217625,0.7403134539976043,9.459124704454789,0.004251612018345407,0.0988979903822838,0.00611114501953125,1602.0,0.002242476851851852,40.78955078125,0.5823716693967296,0.5980751037965587,8.75925925925926,13.75925925925926
7,10,10,2,64,0.25,0.003251526393189577,32,75,0.0001,0.1,5,3,0.7,False,42,0.6512706162209634,0.1306608402546243,0.6413611857878502,0.7332365250057991,8.868994329935285,0.00372018939890916,0.08601046650048959,0.00916290283203125,2402.0,0.018012152777777776,46.79638671875,0.5698183820093724,0.6009648500953192,8.342592592592593,13.342592592592593
8,16,12,4,64,0.25,0.0010094372435554377,32,75,0.0001,0.1,5,3,0.7,False,42,0.6509031817846198,0.11778223159280539,0.6151755512364543,0.7349280870601204,9.854954485205342,0.003554627432970813,0.08171678537911074,0.02408599853515625,6314.0,0.0023509837962962963,55.53466796875,0.5370682596456922,0.6003059365867096,9.064814814814815,14.064814814814815
9,25,10,4,32,0.25,0.0018504827785825301,32,75,0.0001,0.1,5,3,0.7,False,42,0.650680352643795,0.12902810247169724,0.6202764958426167,0.7393005012899037,8.159564631443505,0.0037490232153450727,0.08583853808329198,0.01763153076171875,4622.0,0.0014467592592592592,48.375,0.5417242136021891,0.5991082360715042,7.25,12.25
10,14,10,4,32,0.25,0.0023081509611433825,32,75,0.0001,0.1,5,3,0.7,False,42,0.6505670123618086,0.12587333854331223,0.6227233491708617,0.7328752312469587,7.569340257696307,0.003985729411835092,0.09199641125962703,0.01763153076171875,4622.0,0.015950520833333332,48.375,0.5419201208735069,0.6009202348965187,6.527777777777778,11.527777777777779
