parameter_name,parameter_value,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,1,1,0.6222222222222222,0.7213114754098361,0.8913043478260869,18.02334965400007,0.04039073900003132,0.8975719777784738,0.014316558837890625,1858,418.0390625,30.14013671875
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,2,2,0.8,0.8301886792452831,0.9624505928853755,12.292919887999915,0.002462907999984054,0.054731288888534534,0.014316558837890625,1858,0.08984375,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,3,3,0.3333333333333333,0.34782608695652173,0.30237154150197626,15.30954109400011,0.005407376999983171,0.12016393333295936,0.014316558837890625,1858,0.03125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,4,4,0.5333333333333333,0.676923076923077,0.7490118577075099,15.435778741999911,0.003052583999988201,0.0678351999997378,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,5,5,0.5333333333333333,0.6956521739130435,0.39880952380952384,12.870155045000047,0.002483441000094899,0.05518757777988665,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,6,6,0.5333333333333333,0.0,0.39880952380952384,13.591988190999928,0.0028103019999434764,0.062451155554299476,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,7,7,0.9111111111111111,0.9,0.9782608695652174,19.139336056000047,0.004569691999904535,0.10154871110898966,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,8,8,0.5777777777777777,0.2962962962962963,0.8122529644268776,15.659285254999986,0.0028827979999732634,0.06406217777718362,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,9,9,0.6222222222222222,0.37037037037037035,0.6646825396825397,18.920921373000056,0.0026355570000760054,0.058567933335022346,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,10,10,0.7111111111111111,0.723404255319149,0.7936507936507937,13.765076192999913,0.002511518000119395,0.055811511113764325,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,11,11,0.5111111111111111,0.6666666666666666,0.575098814229249,15.874614039000107,0.0026265479998528463,0.05836773333006325,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,12,12,0.4666666666666667,0.0,0.8234126984126985,16.519046058999947,0.0026695699998526834,0.05932377777450408,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,13,13,0.6,0.5,0.6568627450980392,16.48628695399998,0.005220340000050783,0.14915257143002236,0.014316558837890625,1858,0.09375,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,14,14,0.6666666666666666,0.7169811320754716,0.7351778656126482,16.348124696000014,0.004226906999974744,0.09393126666610543,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,15,15,0.6222222222222222,0.7213114754098361,0.9822134387351779,17.214671488000022,0.0037676960000680992,0.08372657777929109,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,16,16,0.5111111111111111,0.6764705882352942,0.7430830039525692,16.348853007999878,0.00338915299994369,0.07531451110985977,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,17,17,0.5714285714285714,0.25,0.7068181818181818,15.63995124600001,0.005403814000146667,0.12866223809873018,0.014316558837890625,1858,48.9296875,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,18,18,0.4888888888888889,0.0,0.41699604743083,17.396790966000026,0.004682975999912742,0.10406613333139426,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,19,19,0.5555555555555556,0.16666666666666666,0.8379446640316206,17.841660821000005,0.0034094770001047436,0.07576615555788319,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,20,20,0.4888888888888889,0.6567164179104478,0.5276679841897234,15.011669487999825,0.0035356809999029792,0.07857068888673287,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,21,21,0.5111111111111111,0.65625,0.8769841269841271,14.247940227999834,0.0025067690000923903,0.05570597777983089,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,22,22,0.5111111111111111,0.6764705882352942,0.624505928853755,12.820336057000077,0.0025120769998920878,0.05582393333093528,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,23,23,0.7272727272727273,0.6842105263157895,0.7520661157024794,12.827958122999917,0.004107127999986915,0.0933438181815208,0.014316558837890625,1858,0.17578125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,24,24,0.4444444444444444,0.16666666666666666,0.5324675324675325,12.89953582399994,0.0014914759999555827,0.08285977777531016,0.014316558837890625,1858,0.0703125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,25,25,0.4888888888888889,0.0,0.841897233201581,13.306342284000038,0.002760714000032749,0.06134920000072776,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,26,26,0.7111111111111111,0.7636363636363637,0.8670634920634921,15.807803263000096,0.0031156509999163973,0.06923668888703105,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,27,27,0.4444444444444444,0.6153846153846154,0.5869565217391304,15.328394950000074,0.0051720100000238745,0.1149335555560861,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,28,28,0.5555555555555556,0.4117647058823529,0.49011857707509876,16.088269082999886,0.0030359620000126597,0.06746582222250355,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,29,29,0.8,0.7428571428571429,0.9822134387351779,15.327799552999977,0.0025637609999193955,0.05697246666487545,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,30,30,0.4888888888888889,0.6461538461538462,0.7321428571428571,16.12300835699989,0.005706300999918312,0.1268066888870736,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,31,31,0.5111111111111111,0.6764705882352942,0.8774703557312253,17.38140740000017,0.004062010999859922,0.09026691110799825,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,32,32,0.7045454545454546,0.7346938775510204,0.8095238095238095,20.4902798600001,0.0037350800000695017,0.0848881818197614,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,33,33,0.6888888888888889,0.6111111111111112,0.8023715415019763,14.928922698000179,0.002553563999981634,0.05674586666625853,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,34,34,0.8222222222222222,0.84,0.9543650793650793,16.3258220040002,0.0035974920001535793,0.07994426667007953,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,35,35,0.5333333333333333,0.16,0.91699604743083,19.32620656899985,0.0038522750000993256,0.08560611111331834,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,36,36,0.5,0.65625,0.5041322314049587,21.274427018000097,0.0039022820001264336,0.08868822727560077,0.014316558837890625,1858,0.0078125,30.56884765625
