parameter_name,parameter_value,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,1,0.6955014765262604,0.6811510006586711,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,2,0.6774289106780832,0.6396080811818441,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,3,0.6543293157310197,0.6110043128331503,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,4,0.6389399166360046,0.6040945589542389,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,5,0.6271634731780399,0.6001081724961599,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,6,0.623553106053309,0.5998289664586385,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,7,0.6139449134017482,0.5857035120328268,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,8,0.615775460772442,0.5752501726150513,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,9,0.61184070710883,0.5776744663715363,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,10,0.607965515192711,0.5715525925159455,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,11,0.6050981007742159,0.5732927123705546,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,12,0.5997214233784964,0.5721348643302917,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,13,0.5945216164444432,0.5710788985093435,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,14,0.5973172937378739,0.5678106447060903,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,15,0.5989446477456526,0.5666627248128255,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,16,0.5905658769788165,0.5686116516590118,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,17,0.5911446900078745,0.5649527132511138,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,18,0.5947457879330172,0.5634321252504985,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,19,0.5869865212025065,0.5741991917292277,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,20,0.5824173932725732,0.5644604325294494,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,21,0.5888604898795937,0.5665359497070312,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,22,0.5791923751433691,0.5640116413434346,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,23,0.5852746256824696,0.5660136878490448,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,24,0.577995487009034,0.5659783919652303,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,25,0.5713908557187427,0.5619265834490458,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,26,0.5695903951471503,0.5626876751581827,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,27,0.5781234374100511,0.5665717522303263,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,28,0.5714962958838,0.5689258933067322,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,29,0.5719102025032043,0.5648153265317281,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,30,0.5797577814170809,0.563085554043452,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,31,0.5668900299704436,0.5716097156206766,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,32,0.5681690774632223,0.5639913896719615,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,33,0.5564765733751383,0.5662105639775594,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,34,0.5678741604541288,0.563126395146052,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,35,0.5703444209965792,0.5637206951777141,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,1,0.6905846374504494,0.667549979686737,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,2,0.6620754369280555,0.6275228301684062,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,3,0.6441485430255081,0.6139776945114136,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,4,0.6330928791201476,0.6085432767868042,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,5,0.6294842308217828,0.5962931712468466,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,6,0.6178248251477877,0.5959757328033447,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,7,0.6222612801374812,0.5884450078010559,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,8,0.6114956431768157,0.582313354810079,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,9,0.6073641377416524,0.5791477719942729,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,10,0.6013803617520765,0.5791094283262889,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,11,0.6027817802898812,0.5826607783635457,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,12,0.6026241052331347,0.5804165542125702,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,13,0.598133723392631,0.5796885669231415,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,14,0.6016676116621855,0.5717562397321065,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,15,0.591274989147981,0.57448557416598,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,16,0.5891388939185576,0.5737054586410523,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,17,0.5829972597685728,0.5745177706082661,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,18,0.5867673987240503,0.5764784197012583,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,19,0.588873112743551,0.5687374194463094,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,20,0.5829630986307607,0.5759547968705495,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,21,0.5825454547549739,0.5724922299385071,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,22,0.5891131681926323,0.5741621712843578,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,23,0.5811873213811354,0.5691543996334076,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,24,0.5814050366029595,0.5656400720278422,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,25,0.5806709956942182,0.5773304601510366,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,26,0.5728832677458272,0.5654989957809449,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,27,0.5769916901534254,0.5672741194566091,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,28,0.5761571424928579,0.5694510797659557,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,29,0.5683347183195028,0.5656919002532959,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,30,0.5706440357096267,0.5742356201012929,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,31,0.5657019870299281,0.5726957221825918,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,32,0.571478349918669,0.5706137855847676,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,33,0.563798067921942,0.5670461555322012,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,34,0.558398245862036,0.5696970264116923,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,35,0.5613241825591434,0.566863892475764,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,36,0.5623596028396578,0.5701300243536631,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,1,0.6969316895260955,0.6823506593704224,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,2,0.6787151513677655,0.6521217068036397,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,3,0.6556412794373252,0.6316649913787842,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,4,0.6338653465112051,0.6165412445863088,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,5,0.6268613893877376,0.592244831720988,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,6,0.6217065092289087,0.6048691987991333,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,7,0.6158293350176378,0.5905747810999552,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,8,0.6071705206325559,0.5862994650999706,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,9,0.6096840866587379,0.5774262845516205,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,10,0.6063995722568396,0.5827515463034312,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,11,0.6030198739785136,0.5790963431199392,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,12,0.6018575244780743,0.5762697458267212,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,13,0.5982559025287628,0.5773004651069641,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,14,0.601211239668456,0.5788651466369629,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,15,0.5945628201871207,0.5702307522296906,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,16,0.5971951511773196,0.5760407626628876,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,17,0.5909970079859098,0.5710341592629751,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,18,0.5966762726505598,0.595784858862559,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,19,0.5952340091268221,0.5801361382007599,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,20,0.5849666726408582,0.5681147476037344,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,21,0.5876456110766439,0.5839905122915904,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,22,0.5850334734176145,0.5713429590066273,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,23,0.5817132544788447,0.5680932243665059,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,24,0.5826555560484077,0.5682542562484741,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,25,0.5790295063546209,0.5662413756052653,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,26,0.587257012273326,0.5712031404177348,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,27,0.5775172057928462,0.5695863127708435,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,28,0.5757498601169297,0.5728797753651936,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,29,0.5754086363947752,0.566915492216746,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,30,0.5839772861112248,0.5746158957481384,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,31,0.5736240514300086,0.5766427119572958,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,32,0.5675986196958658,0.5696532706419627,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,33,0.5686244966857361,0.5746008396148682,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,34,0.5707018908226129,0.5691106696923574,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,35,0.5684123594652523,0.5698019643624623,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,1,0.69194093662681,0.6669958790143331,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,2,0.6620618362318386,0.6315720081329346,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,3,0.6436790489789211,0.6135918299357096,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,4,0.6360774871074792,0.6000032583872478,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,5,0.625084048870838,0.5961822768052419,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,6,0.6183450736782767,0.5906168341636657,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,7,0.6083838255567984,0.5801515738169353,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,8,0.6127100715583021,0.5847491323947906,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,9,0.6051088255463224,0.5825478533903757,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,10,0.6010978677959153,0.5767641365528107,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,11,0.6035254247712366,0.5829433461030324,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,12,0.6033073395039096,0.576152648528417,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,13,0.5987771812713507,0.5956663290659586,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,14,0.5956394724322088,0.573403016726176,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,15,0.5906829556280916,0.5728143533070882,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,16,0.5951902062603922,0.5671510775883992,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,17,0.5876432919141018,0.5658377091089885,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,18,0.5845681338599233,0.573071551322937,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,19,0.5836520594629374,0.5663484553496043,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,20,0.5820139314640652,0.5584954182306926,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,21,0.5811843704996686,0.5720178306102752,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,22,0.5798861522114638,0.5668359557787578,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,23,0.575117939575152,0.5742993990580241,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,24,0.5789881587931605,0.5627001285552978,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,25,0.5821359137242491,0.5643283347288768,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,26,0.5699164777091055,0.5710973819096883,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,27,0.567513301291249,0.5626267512639364,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,28,0.5658546496521343,0.5581754386425019,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,29,0.572251788594506,0.5623044391473134,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,30,0.5665865508895932,0.567181263367335,0.001
dropout_rate,0.25,8,2,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,31,0.5667610735152707,0.5632134874661764,0.001
