parameter_name,parameter_value,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,1,0.7067140598188747,0.6978716731071473,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,2,0.7021289287191449,0.6971191962560018,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,3,0.7036415428826304,0.6963388840357463,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,4,0.7030047575632731,0.6958559155464172,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,5,0.6997052823955362,0.6955552935600281,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,6,0.6988636435884418,0.6947317123413086,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,7,0.6980915277293234,0.69435955286026,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,8,0.6939277508945176,0.6938777327537536,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,9,0.6947008402961673,0.6934249798456827,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,10,0.6925826686801333,0.6927923719088237,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,11,0.695684304743102,0.6917852163314819,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,12,0.6905900140603384,0.6908322652180989,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,13,0.6930777290553758,0.6894275426864624,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,14,0.6916704986131552,0.6883867700894674,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,15,0.6901511766693809,0.6859782099723816,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,16,0.6896993802352385,0.6840104301770528,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,17,0.6857859984491811,0.6814748565355937,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,18,0.6861599774071665,0.677898641427358,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,19,0.6810153357007287,0.6738057653109233,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,20,0.6798794093457136,0.6696977456410725,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,21,0.6737049799976926,0.6631168961524964,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,22,0.6727880970998243,0.6598707993825277,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,23,0.6677352041006088,0.6549116134643554,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,24,0.6603168863238711,0.6501735607783,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,25,0.6572494344277815,0.64633602698644,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,26,0.6611037394314101,0.6417335510253906,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,27,0.6626929378870762,0.6400510668754578,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,28,0.6577642758687338,0.6369173208872477,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,29,0.6592316008878477,0.6352367321650187,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,30,0.6544835847435575,0.6348716815312704,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,31,0.653270909280488,0.6329542557398479,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,32,0.6474796547131105,0.6305522680282593,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,33,0.6555209584308394,0.6301967144012451,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,34,0.6567872658823476,0.6281667868296306,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,35,0.6498870854124879,0.6273647507031759,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,36,0.6442719865025897,0.6255993525187175,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,37,0.6462288182793241,0.6232247869173686,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,38,0.6490059151793971,0.6207608302434285,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,39,0.6458378574161818,0.6204844156901042,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,40,0.6454206339337609,0.620612891515096,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,41,0.6503638652237979,0.6193495790163676,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,42,0.6473655036904595,0.6216348648071289,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,43,0.6482750335426042,0.618140987555186,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,44,0.6446969676198382,0.6194035649299622,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,45,0.6407460502602838,0.6176018436749776,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,46,0.6482303481210362,0.6163932522137959,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,47,0.6445273458957672,0.6146331350008647,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,48,0.6395927315408533,0.6163853804270426,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,49,0.6405365340637438,0.6136634508768718,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,50,0.6384017991297173,0.6112689812978108,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,1,0.7007683790994413,0.6947300871213277,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,2,0.704564215558948,0.6945231715838115,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,3,0.7003063089919813,0.694096299012502,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,4,0.6988174012213042,0.6939934492111206,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,5,0.7010526092666568,0.6933541178703309,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,6,0.6987881132147529,0.6931009968121846,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,7,0.6995022721362837,0.6932082295417785,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,8,0.6985234153090101,0.6929952263832092,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,9,0.6966202561602448,0.6929273843765259,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,10,0.6953899359161203,0.692920966943105,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,11,0.6961550093961485,0.6922904928525289,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,12,0.6939645310242971,0.6920278906822205,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,13,0.6918470281543154,0.6915382146835327,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,14,0.6911986863071268,0.6915130893389384,0.0001
learning_rate,0.0001,8,2,64,0.5,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,15,0.6935350064075354,0.6911776781082153,0.0001
