parameter_name,parameter_value,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
temporal_filters,4,4,2,64,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.7555555555555555,0.7843137254901961,0.8359683794466404,45,11.764988677110523,0.019384009763598442,0.43075577252440983,0.00330352783203125,866,581.78515625,29.60791015625,0.6211095529072213,0.6138886231364626,0.5805109341939291,44,50
temporal_filters,4,4,2,64,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.7555555555555555,0.6857142857142857,0.9565217391304348,45,11.557440712116659,0.0015723411925137043,0.03494091538919343,0.00330352783203125,866,0.0234375,29.60791015625,0.6147935659144864,0.6156038664507143,0.577596656481425,42,50
temporal_filters,4,4,2,64,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.3111111111111111,0.3673469387755102,0.28063241106719367,45,11.533769883215427,0.0016270587220788002,0.03615686049064,0.00330352783203125,866,0.00390625,29.60791015625,0.6141414335279753,0.6092575361782854,0.5720745464166005,44,50
temporal_filters,4,4,2,64,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.5111111111111111,0.6666666666666666,0.7727272727272727,45,11.130616670008749,0.0012210672721266747,0.02713482826948166,0.00330352783203125,866,0.015625,29.60791015625,0.6151548034765504,0.6232023961616285,0.5775747040907542,49,50
temporal_filters,4,4,2,64,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.4666666666666667,0.625,0.4265873015873016,45,12.146720577031374,0.0016458597965538502,0.03657466214564111,0.00330352783203125,866,0.00390625,29.60791015625,0.606481345088193,0.6116968941959467,0.5793469230333964,45,50
temporal_filters,4,4,2,64,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.4666666666666667,0.3684210526315789,0.48214285714285715,45,11.571873595006764,0.0015847012400627136,0.03521558311250475,0.00330352783203125,866,0.0078125,29.60791015625,0.6122466824723013,0.6115887332143206,0.5903913776079813,46,50
temporal_filters,4,4,2,64,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.9111111111111111,0.9130434782608695,0.9861660079051384,45,11.409845794085413,0.0012626159004867077,0.028058131121926837,0.00330352783203125,866,0.01171875,29.60791015625,0.6211855497324106,0.6158173364220243,0.5779102603594463,41,50
temporal_filters,4,4,2,64,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.6666666666666666,0.6808510638297872,0.7786561264822135,45,11.371896168682724,0.0016202600672841072,0.03600577927298016,0.00330352783203125,866,0.015625,29.60791015625,0.6151279775482236,0.6132333965012522,0.5855253100395202,41,50
temporal_filters,4,4,2,64,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.5333333333333333,0.46153846153846156,0.5476190476190476,45,8.63313308916986,0.0017766570672392845,0.03948126816087299,0.00330352783203125,866,0.00390625,29.60791015625,0.6157752727017258,0.6171739388144377,0.5961763660113016,29,39
temporal_filters,4,4,2,64,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.6,0.6666666666666666,0.736111111111111,45,9.98725651577115,0.001616660039871931,0.03592577866382069,0.00330352783203125,866,0.0078125,29.60791015625,0.6187265921722759,0.6130914403633638,0.5947131792704264,34,44
