rank,trial_number,criterion,max_depth,min_samples_split,min_samples_leaf,class_weight,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
1,4,entropy,7,6,4,balanced,6,0.5683200879697037,0.09549906426337311,0.43304219376901826,0.5931649020930814
2,14,entropy,7,4,4,balanced,6,0.5683200879697037,0.09549906426337311,0.43304219376901826,0.5931649020930814
3,16,entropy,7,4,4,balanced,6,0.5683200879697037,0.09549906426337311,0.43304219376901826,0.5931649020930814
4,19,entropy,7,4,4,balanced,6,0.5683200879697037,0.09549906426337311,0.43304219376901826,0.5931649020930814
5,21,entropy,7,4,4,balanced,6,0.5683200879697037,0.09549906426337311,0.43304219376901826,0.5931649020930814
6,6,entropy,10,5,5,balanced,6,0.567460829612794,0.09284014099213816,0.48812333795928425,0.5908810744998191
7,20,entropy,9,6,9,balanced,6,0.567011884163018,0.09341254197598901,0.4227427987285441,0.592558963287608
8,13,entropy,9,5,7,balanced,6,0.5664837592590614,0.09171031860584888,0.42741441430946064,0.5901591900825602
9,25,entropy,7,4,5,balanced,6,0.5664254081547704,0.09582669244960804,0.43206842750756397,0.5918746588433331
10,1,entropy,9,8,4,balanced,6,0.5662186453212799,0.09887014407355754,0.4243865303610176,0.5890887820806173
11,29,gini,5,5,5,balanced,6,0.5657964191444042,0.09372279837066252,0.40755055439161714,0.5880229965856175
12,12,entropy,7,7,3,balanced,6,0.5647880354849136,0.09477195310198235,0.4321370185062132,0.5886657209651808
13,15,entropy,7,3,3,balanced,6,0.5647679612100968,0.09451334648874693,0.4320159004513719,0.5887728682580007
14,22,entropy,7,2,3,balanced,6,0.5647679612100968,0.09451334648874693,0.4320159004513719,0.5887728682580007
15,2,entropy,5,6,8,balanced,6,0.5643331700104709,0.09562298631999537,0.41457975609934355,0.5844691277549157
16,28,entropy,7,3,6,balanced,6,0.5639954450999594,0.0920286061268101,0.43164390751553916,0.5885297405404413
17,3,entropy,5,10,3,balanced,6,0.563264796736929,0.09449569294379048,0.4109867544370822,0.5846498436892541
18,23,entropy,8,4,4,balanced,6,0.5625950844866299,0.10152974245138185,0.4828109669889161,0.5885756875760391
19,10,entropy,8,2,10,balanced,6,0.5624015797009355,0.09905308113322611,0.48183509165098487,0.5922973449416526
20,17,entropy,8,7,10,balanced,6,0.5624015797009355,0.09905308113322611,0.48183509165098487,0.5922973449416526
21,11,entropy,8,5,7,balanced,6,0.561879921758358,0.10004636786239995,0.4847413108686717,0.5911466667426174
22,0,gini,10,5,5,balanced,6,0.5591226207860415,0.09541102344334074,0.47670209496171717,0.5849132164881399
23,5,gini,10,10,5,balanced,6,0.5591226207860415,0.09541102344334074,0.47670209496171717,0.5849132164881399
24,7,gini,6,9,5,balanced,6,0.5588515251290599,0.08929069110883252,0.4811745509183286,0.5961119283853269
25,8,gini,6,10,4,balanced,6,0.5580749050516426,0.08657304845989686,0.4784573677541743,0.5938322441516622
26,26,gini,8,6,4,balanced,6,0.5577856399692016,0.09210447561722959,0.4652907513671335,0.5872660664297432
27,9,gini,6,3,6,balanced,6,0.5576611677789962,0.088649703488808,0.48135187323712386,0.5959311961195075
28,18,entropy,6,7,6,balanced,6,0.5575264106617737,0.09952508504203308,0.48487420712968904,0.5883112028896974
29,24,entropy,6,3,6,balanced,6,0.5575264106617737,0.09952508504203308,0.48487420712968904,0.5883112028896974
30,27,entropy,6,8,3,balanced,6,0.5561600617603014,0.09519728369495736,0.4794903002049654,0.5868646246836062
