rank,trial_number,criterion,max_depth,min_samples_split,min_samples_leaf,class_weight,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
1,4,entropy,7,6,4,balanced,6,0.5683200879697037,0.09549906426337311,0.43304219376901826,0.5931649020930814
2,14,entropy,7,4,4,balanced,6,0.5683200879697037,0.09549906426337311,0.43304219376901826,0.5931649020930814
3,16,entropy,7,4,4,balanced,6,0.5683200879697037,0.09549906426337311,0.43304219376901826,0.5931649020930814
4,19,entropy,7,4,4,balanced,6,0.5683200879697037,0.09549906426337311,0.43304219376901826,0.5931649020930814
5,21,entropy,7,4,4,balanced,6,0.5683200879697037,0.09549906426337311,0.43304219376901826,0.5931649020930814
6,6,entropy,10,5,5,balanced,6,0.567460829612794,0.09284014099213816,0.48812333795928425,0.5908810744998191
7,20,entropy,9,6,9,balanced,6,0.567011884163018,0.09341254197598901,0.4227427987285441,0.592558963287608
8,13,entropy,9,5,7,balanced,6,0.5664837592590614,0.09171031860584888,0.42741441430946064,0.5901591900825602
9,25,entropy,7,4,5,balanced,6,0.5664254081547704,0.09582669244960804,0.43206842750756397,0.5918746588433331
10,1,entropy,9,8,4,balanced,6,0.5662186453212799,0.09887014407355754,0.4243865303610176,0.5890887820806173
