parameter_name,parameter_value,criterion,max_depth,min_samples_split,min_samples_leaf,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
criterion,gini,gini,5,10,5,balanced,6,1,1,0.5333333333333333,0.6557377049180327,0.525691699604743
criterion,gini,gini,5,10,5,balanced,6,2,2,0.8,0.7804878048780488,0.825098814229249
criterion,gini,gini,5,10,5,balanced,6,3,3,0.4888888888888889,0.5964912280701754,0.4901185770750988
criterion,gini,gini,5,10,5,balanced,6,4,4,0.5111111111111111,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,5,5,0.4444444444444444,0.13793103448275862,0.47023809523809523
criterion,gini,gini,5,10,5,balanced,6,6,6,0.5111111111111111,0.15384615384615385,0.5
criterion,gini,gini,5,10,5,balanced,6,7,7,0.6888888888888889,0.5625,0.6837944664031622
criterion,gini,gini,5,10,5,balanced,6,8,8,0.5333333333333333,0.16,0.5434782608695652
criterion,gini,gini,5,10,5,balanced,6,9,9,0.5555555555555556,0.5238095238095238,0.5535714285714285
criterion,gini,gini,5,10,5,balanced,6,10,10,0.5333333333333333,0.5531914893617021,0.6051587301587301
criterion,gini,gini,5,10,5,balanced,6,11,11,0.5111111111111111,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,12,12,0.4888888888888889,0.08,0.5208333333333334
criterion,gini,gini,5,10,5,balanced,6,13,13,0.6857142857142857,0.6666666666666666,0.7581699346405228
criterion,gini,gini,5,10,5,balanced,6,14,14,0.5777777777777777,0.7076923076923077,0.5869565217391304
criterion,gini,gini,5,10,5,balanced,6,15,15,0.6444444444444445,0.7241379310344828,0.8339920948616601
criterion,gini,gini,5,10,5,balanced,6,16,16,0.4666666666666667,0.14285714285714285,0.475296442687747
criterion,gini,gini,5,10,5,balanced,6,17,17,0.5238095238095238,0.0,0.5738636363636364
criterion,gini,gini,5,10,5,balanced,6,18,18,0.4888888888888889,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,19,19,0.5333333333333333,0.631578947368421,0.5958498023715416
criterion,gini,gini,5,10,5,balanced,6,20,20,0.5111111111111111,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,21,21,0.6222222222222222,0.48484848484848486,0.6071428571428572
criterion,gini,gini,5,10,5,balanced,6,22,22,0.6222222222222222,0.7301587301587301,0.5899209486166008
criterion,gini,gini,5,10,5,balanced,6,23,23,0.5681818181818182,0.6984126984126984,0.7407024793388429
criterion,gini,gini,5,10,5,balanced,6,24,24,0.4444444444444444,0.16666666666666666,0.37012987012987014
criterion,gini,gini,5,10,5,balanced,6,25,25,0.5111111111111111,0.08333333333333333,0.5217391304347826
criterion,gini,gini,5,10,5,balanced,6,26,26,0.5333333333333333,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,27,27,0.4666666666666667,0.6129032258064516,0.5622529644268776
criterion,gini,gini,5,10,5,balanced,6,28,28,0.4888888888888889,0.43902439024390244,0.4841897233201582
criterion,gini,gini,5,10,5,balanced,6,29,29,0.5555555555555556,0.47368421052631576,0.5523715415019763
criterion,gini,gini,5,10,5,balanced,6,30,30,0.5333333333333333,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,31,31,0.6222222222222222,0.7213114754098361,0.6650197628458497
criterion,gini,gini,5,10,5,balanced,6,32,32,0.6818181818181818,0.7407407407407407,0.7339544513457557
criterion,gini,gini,5,10,5,balanced,6,33,33,0.7333333333333333,0.6842105263157895,0.8428853754940712
criterion,gini,gini,5,10,5,balanced,6,34,34,0.5777777777777777,0.3448275862068966,0.6041666666666666
criterion,gini,gini,5,10,5,balanced,6,35,35,0.5555555555555556,0.23076923076923078,0.5849802371541502
criterion,gini,gini,5,10,5,balanced,6,36,36,0.5227272727272727,0.6181818181818182,0.558884297520661
criterion,gini,gini,5,10,5,balanced,6,37,37,0.5111111111111111,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,38,38,0.5555555555555556,0.6666666666666666,0.5849802371541502
criterion,gini,gini,5,10,5,balanced,6,39,39,0.38636363636363635,0.37209302325581395,0.36853002070393376
criterion,gini,gini,5,10,5,balanced,6,40,40,0.4222222222222222,0.0,0.3998015873015873
criterion,gini,gini,5,10,5,balanced,6,41,41,0.5333333333333333,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,42,42,0.7333333333333333,0.7142857142857143,0.7509881422924901
criterion,gini,gini,5,10,5,balanced,6,43,43,0.6888888888888889,0.5333333333333333,0.7509881422924901
criterion,gini,gini,5,10,5,balanced,6,44,44,0.5862068965517241,0.5714285714285714,0.711904761904762
criterion,gini,gini,5,10,5,balanced,6,45,45,0.5777777777777777,0.5365853658536586,0.6047430830039526
criterion,gini,gini,5,10,5,balanced,6,46,46,0.4666666666666667,0.625,0.4762845849802371
criterion,gini,gini,5,10,5,balanced,6,47,47,0.5333333333333333,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,48,48,0.7058823529411765,0.7058823529411765,0.6785714285714286
criterion,gini,gini,5,10,5,balanced,6,49,49,0.8444444444444444,0.8292682926829268,0.8359683794466404
criterion,gini,gini,5,10,5,balanced,6,50,50,0.5111111111111111,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,51,51,0.5333333333333333,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,52,52,0.6341463414634146,0.4,0.6710526315789473
criterion,gini,gini,5,10,5,balanced,6,53,53,0.5813953488372093,0.6086956521739131,0.5551948051948052
criterion,gini,gini,5,10,5,balanced,6,54,54,0.7435897435897436,0.7058823529411765,0.7554347826086957
criterion,gini,gini,5,10,5,balanced,6,55,55,0.5111111111111111,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,56,56,0.6818181818181818,0.5625,0.7747933884297521
criterion,gini,gini,5,10,5,balanced,6,57,57,0.5111111111111111,0.5925925925925926,0.5942460317460317
criterion,gini,gini,5,10,5,balanced,6,58,58,0.5555555555555556,0.6296296296296297,0.5714285714285714
criterion,gini,gini,5,10,5,balanced,6,59,59,0.4444444444444444,0.4186046511627907,0.4811507936507937
criterion,gini,gini,5,10,5,balanced,6,60,60,0.7727272727272727,0.8,0.8491735537190084
criterion,gini,gini,5,10,5,balanced,6,61,61,0.7441860465116279,0.7441860465116279,0.7943722943722943
criterion,gini,gini,5,10,5,balanced,6,62,62,0.7333333333333333,0.6666666666666666,0.7292490118577075
criterion,gini,gini,5,10,5,balanced,6,63,63,0.4883720930232558,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,64,64,0.5111111111111111,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,65,65,0.5333333333333333,0.6666666666666666,0.5833333333333334
criterion,gini,gini,5,10,5,balanced,6,66,66,0.5333333333333333,0.6037735849056604,0.5365612648221344
criterion,gini,gini,5,10,5,balanced,6,67,67,0.4888888888888889,0.0,0.5227272727272727
criterion,gini,gini,5,10,5,balanced,6,68,68,0.5111111111111111,0.08333333333333333,0.5830039525691699
criterion,gini,gini,5,10,5,balanced,6,69,69,0.4888888888888889,0.5490196078431373,0.5238095238095237
criterion,gini,gini,5,10,5,balanced,6,70,70,0.5333333333333333,0.5882352941176471,0.5227272727272727
criterion,gini,gini,5,10,5,balanced,6,71,71,0.7777777777777778,0.8148148148148148,0.7895256916996047
criterion,gini,gini,5,10,5,balanced,6,72,72,0.4888888888888889,0.0,0.5
criterion,gini,gini,5,10,5,balanced,6,73,73,0.5111111111111111,0.0,0.5
