parameter_name,parameter_value,criterion,max_depth,min_samples_split,min_samples_leaf,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
max_depth,3,gini,3,10,5,balanced,6,1,1,0.4888888888888889,0.0,0.4782608695652174
max_depth,3,gini,3,10,5,balanced,6,2,2,0.5111111111111111,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,3,3,0.5111111111111111,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,4,4,0.4888888888888889,0.6567164179104478,0.5
max_depth,3,gini,3,10,5,balanced,6,5,5,0.5333333333333333,0.6956521739130435,0.5
max_depth,3,gini,3,10,5,balanced,6,6,6,0.5333333333333333,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,7,7,0.5333333333333333,0.08695652173913043,0.5227272727272727
max_depth,3,gini,3,10,5,balanced,6,8,8,0.4888888888888889,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,9,9,0.5333333333333333,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,10,10,0.6444444444444445,0.5,0.6408730158730159
max_depth,3,gini,3,10,5,balanced,6,11,11,0.5111111111111111,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,12,12,0.4666666666666667,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,13,13,0.6571428571428571,0.5384615384615384,0.7107843137254901
max_depth,3,gini,3,10,5,balanced,6,14,14,0.5111111111111111,0.08333333333333333,0.5217391304347826
max_depth,3,gini,3,10,5,balanced,6,15,15,0.6222222222222222,0.711864406779661,0.7104743083003953
max_depth,3,gini,3,10,5,balanced,6,16,16,0.4888888888888889,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,17,17,0.5238095238095238,0.0,0.5420454545454546
max_depth,3,gini,3,10,5,balanced,6,18,18,0.4888888888888889,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,19,19,0.5777777777777777,0.24,0.5681818181818181
max_depth,3,gini,3,10,5,balanced,6,20,20,0.5111111111111111,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,21,21,0.5333333333333333,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,22,22,0.4888888888888889,0.25806451612903225,0.49604743083003944
max_depth,3,gini,3,10,5,balanced,6,23,23,0.6818181818181818,0.65,0.6787190082644627
max_depth,3,gini,3,10,5,balanced,6,24,24,0.4444444444444444,0.16666666666666666,0.45454545454545453
max_depth,3,gini,3,10,5,balanced,6,25,25,0.4888888888888889,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,26,26,0.4666666666666667,0.6363636363636364,0.5
max_depth,3,gini,3,10,5,balanced,6,27,27,0.5777777777777777,0.45714285714285713,0.565217391304348
max_depth,3,gini,3,10,5,balanced,6,28,28,0.4888888888888889,0.34285714285714286,0.4624505928853755
max_depth,3,gini,3,10,5,balanced,6,29,29,0.5111111111111111,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,30,30,0.5333333333333333,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,31,31,0.5555555555555556,0.23076923076923078,0.5652173913043478
max_depth,3,gini,3,10,5,balanced,6,32,32,0.6363636363636364,0.5555555555555556,0.6625258799171843
max_depth,3,gini,3,10,5,balanced,6,33,33,0.6222222222222222,0.37037037037037035,0.6640316205533597
max_depth,3,gini,3,10,5,balanced,6,34,34,0.4666666666666667,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,35,35,0.4888888888888889,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,36,36,0.5227272727272727,0.43243243243243246,0.5516528925619836
max_depth,3,gini,3,10,5,balanced,6,37,37,0.5111111111111111,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,38,38,0.5333333333333333,0.08695652173913043,0.5227272727272727
max_depth,3,gini,3,10,5,balanced,6,39,39,0.6136363636363636,0.5405405405405406,0.5424430641821947
max_depth,3,gini,3,10,5,balanced,6,40,40,0.4666666666666667,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,41,41,0.5333333333333333,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,42,42,0.4888888888888889,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,43,43,0.6666666666666666,0.5161290322580645,0.7855731225296443
max_depth,3,gini,3,10,5,balanced,6,44,44,0.6551724137931034,0.6666666666666666,0.6809523809523809
max_depth,3,gini,3,10,5,balanced,6,45,45,0.5333333333333333,0.08695652173913043,0.5227272727272727
max_depth,3,gini,3,10,5,balanced,6,46,46,0.5111111111111111,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,47,47,0.5333333333333333,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,48,48,0.47058823529411764,0.5263157894736842,0.5142857142857142
max_depth,3,gini,3,10,5,balanced,6,49,49,0.8222222222222222,0.8,0.8330039525691699
max_depth,3,gini,3,10,5,balanced,6,50,50,0.5111111111111111,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,51,51,0.5333333333333333,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,52,52,0.6829268292682927,0.48,0.75
max_depth,3,gini,3,10,5,balanced,6,53,53,0.46511627906976744,0.0,0.45454545454545453
max_depth,3,gini,3,10,5,balanced,6,54,54,0.717948717948718,0.6451612903225806,0.7391304347826088
max_depth,3,gini,3,10,5,balanced,6,55,55,0.5111111111111111,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,56,56,0.6590909090909091,0.7272727272727273,0.7231404958677685
max_depth,3,gini,3,10,5,balanced,6,57,57,0.5777777777777777,0.45714285714285713,0.5724206349206349
max_depth,3,gini,3,10,5,balanced,6,58,58,0.4666666666666667,0.6363636363636364,0.5
max_depth,3,gini,3,10,5,balanced,6,59,59,0.5111111111111111,0.08333333333333333,0.5198412698412698
max_depth,3,gini,3,10,5,balanced,6,60,60,0.7045454545454546,0.6285714285714286,0.7479338842975206
max_depth,3,gini,3,10,5,balanced,6,61,61,0.7209302325581395,0.7142857142857143,0.788961038961039
max_depth,3,gini,3,10,5,balanced,6,62,62,0.5111111111111111,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,63,63,0.4883720930232558,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,64,64,0.4888888888888889,0.6567164179104478,0.5
max_depth,3,gini,3,10,5,balanced,6,65,65,0.5111111111111111,0.65625,0.5416666666666667
max_depth,3,gini,3,10,5,balanced,6,66,66,0.5111111111111111,0.3125,0.5177865612648221
max_depth,3,gini,3,10,5,balanced,6,67,67,0.4888888888888889,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,68,68,0.5111111111111111,0.15384615384615385,0.5622529644268774
max_depth,3,gini,3,10,5,balanced,6,69,69,0.5333333333333333,0.08695652173913043,0.5625
max_depth,3,gini,3,10,5,balanced,6,70,70,0.4888888888888889,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,71,71,0.5333333333333333,0.16,0.5434782608695652
max_depth,3,gini,3,10,5,balanced,6,72,72,0.4888888888888889,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,73,73,0.5111111111111111,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,74,74,0.5333333333333333,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,75,75,0.5853658536585366,0.32,0.5440476190476191
max_depth,3,gini,3,10,5,balanced,6,76,76,0.5111111111111111,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,77,77,0.6222222222222222,0.6382978723404256,0.6259920634920635
max_depth,3,gini,3,10,5,balanced,6,78,78,0.5111111111111111,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,79,79,0.65,0.5625,0.5875
max_depth,3,gini,3,10,5,balanced,6,80,80,0.5111111111111111,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,81,81,0.4888888888888889,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,82,82,0.4666666666666667,0.625,0.5197628458498024
max_depth,3,gini,3,10,5,balanced,6,83,83,0.5789473684210527,0.3333333333333333,0.6011080332409973
max_depth,3,gini,3,10,5,balanced,6,84,84,0.6363636363636364,0.5294117647058824,0.6677018633540373
max_depth,3,gini,3,10,5,balanced,6,85,85,0.5454545454545454,0.6774193548387096,0.7349896480331263
max_depth,3,gini,3,10,5,balanced,6,86,86,0.4772727272727273,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,87,87,0.4888888888888889,0.41025641025641024,0.5227272727272727
max_depth,3,gini,3,10,5,balanced,6,88,88,0.4727272727272727,0.0,0.4814814814814815
max_depth,3,gini,3,10,5,balanced,6,89,89,0.5333333333333333,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,90,90,0.4888888888888889,0.08,0.4990118577075099
max_depth,3,gini,3,10,5,balanced,6,91,91,0.5909090909090909,0.3076923076923077,0.5909090909090909
max_depth,3,gini,3,10,5,balanced,6,92,92,0.5535714285714286,0.3902439024390244,0.6737179487179488
max_depth,3,gini,3,10,5,balanced,6,93,93,0.4888888888888889,0.6567164179104478,0.5
max_depth,3,gini,3,10,5,balanced,6,94,94,0.75,0.8070175438596491,0.9513457556935818
max_depth,3,gini,3,10,5,balanced,6,95,95,0.6428571428571429,0.5833333333333334,0.5755208333333334
max_depth,3,gini,3,10,5,balanced,6,96,96,0.5238095238095238,0.6153846153846154,0.4875283446712018
max_depth,3,gini,3,10,5,balanced,6,97,97,0.5,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,98,98,0.5111111111111111,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,99,99,0.4186046511627907,0.24242424242424243,0.4242424242424243
max_depth,3,gini,3,10,5,balanced,6,100,100,0.6111111111111112,0.5882352941176471,0.6296296296296298
max_depth,3,gini,3,10,5,balanced,6,101,101,0.4888888888888889,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,102,102,0.4888888888888889,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,103,103,0.6976744186046512,0.6666666666666666,0.7456709956709956
max_depth,3,gini,3,10,5,balanced,6,104,104,0.5116279069767442,0.0,0.5
max_depth,3,gini,3,10,5,balanced,6,105,105,0.4888888888888889,0.5964912280701754,0.49505928853754944
max_depth,3,gini,3,10,5,balanced,6,106,106,0.5555555555555556,0.4117647058823529,0.5436507936507936
max_depth,3,gini,3,10,5,balanced,6,107,107,0.5111111111111111,0.0,0.4791666666666667
max_depth,3,gini,3,10,5,balanced,6,108,108,0.7111111111111111,0.6060606060606061,0.8330039525691699
max_depth,5,gini,5,10,5,balanced,6,1,1,0.5333333333333333,0.6557377049180327,0.525691699604743
max_depth,5,gini,5,10,5,balanced,6,2,2,0.8,0.7804878048780488,0.825098814229249
max_depth,5,gini,5,10,5,balanced,6,3,3,0.4888888888888889,0.5964912280701754,0.4901185770750988
max_depth,5,gini,5,10,5,balanced,6,4,4,0.5111111111111111,0.0,0.5
max_depth,5,gini,5,10,5,balanced,6,5,5,0.4444444444444444,0.13793103448275862,0.47023809523809523
max_depth,5,gini,5,10,5,balanced,6,6,6,0.5111111111111111,0.15384615384615385,0.5
max_depth,5,gini,5,10,5,balanced,6,7,7,0.6888888888888889,0.5625,0.6837944664031622
max_depth,5,gini,5,10,5,balanced,6,8,8,0.5333333333333333,0.16,0.5434782608695652
max_depth,5,gini,5,10,5,balanced,6,9,9,0.5555555555555556,0.5238095238095238,0.5535714285714285
max_depth,5,gini,5,10,5,balanced,6,10,10,0.5333333333333333,0.5531914893617021,0.6051587301587301
max_depth,5,gini,5,10,5,balanced,6,11,11,0.5111111111111111,0.0,0.5
max_depth,5,gini,5,10,5,balanced,6,12,12,0.4888888888888889,0.08,0.5208333333333334
max_depth,5,gini,5,10,5,balanced,6,13,13,0.6857142857142857,0.6666666666666666,0.7581699346405228
max_depth,5,gini,5,10,5,balanced,6,14,14,0.5777777777777777,0.7076923076923077,0.5869565217391304
max_depth,5,gini,5,10,5,balanced,6,15,15,0.6444444444444445,0.7241379310344828,0.8339920948616601
max_depth,5,gini,5,10,5,balanced,6,16,16,0.4666666666666667,0.14285714285714285,0.475296442687747
max_depth,5,gini,5,10,5,balanced,6,17,17,0.5238095238095238,0.0,0.5738636363636364
max_depth,5,gini,5,10,5,balanced,6,18,18,0.4888888888888889,0.0,0.5
max_depth,5,gini,5,10,5,balanced,6,19,19,0.5333333333333333,0.631578947368421,0.5958498023715416
max_depth,5,gini,5,10,5,balanced,6,20,20,0.5111111111111111,0.0,0.5
max_depth,5,gini,5,10,5,balanced,6,21,21,0.6222222222222222,0.48484848484848486,0.6071428571428572
max_depth,5,gini,5,10,5,balanced,6,22,22,0.6222222222222222,0.7301587301587301,0.5899209486166008
max_depth,5,gini,5,10,5,balanced,6,23,23,0.5681818181818182,0.6984126984126984,0.7407024793388429
max_depth,5,gini,5,10,5,balanced,6,24,24,0.4444444444444444,0.16666666666666666,0.37012987012987014
