trial_number,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2,kernel_length,dropout_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
0,1,1,1,0.7380614533262738,0.6932945370674133,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,2,0.7096191654771061,0.6930960734685262,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,3,0.7003773935770584,0.6916402379671732,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,4,0.6929121542785127,0.6914000074068706,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,5,0.6892964880345231,0.6832887530326843,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,6,0.6805996329097425,0.664787483215332,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,7,0.6736302537433172,0.6506534099578858,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,8,0.6680288496664015,0.6483850359916687,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,9,0.6539234266442767,0.6362134456634522,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,10,0.6492305600037009,0.6346485813458761,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,11,0.6462100279533257,0.6327051877975464,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,12,0.6453556549751153,0.6555121342341105,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,13,0.638615071773529,0.6270522395769755,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,14,0.6422086166123212,0.6474859178066253,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,15,0.6372239377539036,0.6293394188086192,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,16,0.6327184165938425,0.6273037870724996,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,17,0.6376348097445601,0.6199735403060913,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,18,0.6290175884456958,0.633639641602834,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
0,1,1,19,0.6339315539699489,0.6176241358121236,0.0013870033109430683,4,2,8,32,0.5,64,75,0.0,0.2,5,3,0.7,False,42
