parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.7111111111111111,0.7450980392156864,0.7648221343873517,45,31.769191754981875,0.00374807498883456,0.08329055530743466,0.00431060791015625,1130,0.6640625,25.00146484375,0.5890508689212076,0.6005061074639811,0.5674602965513865,39,49
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.8666666666666667,0.85,0.9525691699604744,45,32.54588427999988,0.0037589709972962737,0.08353268882880609,0.00431060791015625,1130,0.0,25.00146484375,0.5996684050469687,0.5935327537132032,0.5697081804275512,46,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.3333333333333333,0.34782608695652173,0.3300395256916996,45,26.589559685031418,0.003901235992088914,0.08669413315753143,0.00431060791015625,1130,0.0625,25.00146484375,0.5939302715388212,0.5962197222944462,0.5720467944939931,31,41
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.4888888888888889,0.6567164179104478,0.7806324110671936,45,32.47342746698996,0.003924563992768526,0.08721253317263392,0.00431060791015625,1130,0.0,25.00146484375,0.5865161506967111,0.5906541040449431,0.5578267594178518,49,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.4444444444444444,0.5614035087719298,0.3948412698412699,45,32.50680777098751,0.003996430023107678,0.0888095560690595,0.00431060791015625,1130,0.0,25.00146484375,0.5916346422199047,0.5916346422199047,0.5836635708808899,50,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.4888888888888889,0.20689655172413796,0.5218253968253969,45,25.38918791897595,0.0037496130098588765,0.08332473355241948,0.00431060791015625,1130,0.0,25.00146484375,0.591289413923567,0.5994645293914911,0.589121013879776,29,39
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.9111111111111111,0.9130434782608695,0.9881422924901186,45,29.885163936996832,0.0038800049806013703,0.08622233290225267,0.00431060791015625,1130,0.0625,25.00146484375,0.5842623209411447,0.5944988276019241,0.5673966507116953,36,46
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.6888888888888889,0.6666666666666666,0.7707509881422925,45,32.507698865025304,0.003815891977865249,0.08479759950811665,0.00431060791015625,1130,0.0,25.00146484375,0.5942890307668484,0.5914058150215582,0.5810197075208028,44,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.5555555555555556,0.4444444444444444,0.6448412698412698,45,20.27760217798641,0.0038694600225426257,0.08598800050094724,0.00431060791015625,1130,0.0,25.00146484375,0.6070315971067457,0.6063065971388961,0.586554765701294,21,31
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.6444444444444445,0.6666666666666666,0.7043650793650793,45,20.862452019995544,0.003882381017319858,0.08627513371821907,0.00431060791015625,1130,0.0,25.00146484375,0.597374255684289,0.5986509262160822,0.5927714745203654,22,32
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,11,11,0.5555555555555556,0.6,0.5691699604743083,45,24.922191669000313,0.003966399992350489,0.08814222205223309,0.00431060791015625,1130,0.0,25.00146484375,0.599316576665098,0.593308978685827,0.5740900993347168,28,38
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,12,12,0.6888888888888889,0.5882352941176471,0.878968253968254,45,33.39354840002488,0.004692813032306731,0.10428473405126068,0.00431060791015625,1130,0.0,25.00146484375,0.5961906864787593,0.5993543050505898,0.5825255215167999,41,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,13,13,0.7428571428571429,0.7428571428571428,0.911764705882353,35,35.213871308020316,0.0046189220156520605,0.13196920044720173,0.00431060791015625,1130,0.0,25.00146484375,0.5876565103729566,0.5869458421613231,0.5989011247952779,43,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,14,14,0.6444444444444445,0.6666666666666666,0.7727272727272727,45,35.38787236297503,0.004805676988326013,0.1067928219628003,0.00431060791015625,1130,0.0,25.00146484375,0.5841162525343172,0.5888684064601407,0.5819466749827067,41,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,15,15,0.7111111111111111,0.7719298245614035,0.974308300395257,45,23.791035364964046,0.004673607996664941,0.10385795548144314,0.00431060791015625,1130,0.0,25.00146484375,0.6033676241834959,0.6065689194383044,0.5829375286897024,24,34
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,16,16,0.6888888888888889,0.6818181818181819,0.7549407114624506,45,35.416477427002974,0.00466571596916765,0.10368257709261443,0.00431060791015625,1130,0.0,25.00146484375,0.5848074930183815,0.5901678617704998,0.5822894672552744,48,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,17,17,0.5952380952380952,0.2608695652173913,0.6818181818181818,42,35.23388724803226,0.0046210880391299725,0.11002590569357078,0.00431060791015625,1130,0.0,25.00146484375,0.5929102879582029,0.5901584419788737,0.6060659507910411,46,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,18,18,0.5555555555555556,0.6969696969696969,0.3932806324110672,45,16.13985821401002,0.004565565031953156,0.10145700071007013,0.00431060791015625,1130,0.0,25.00146484375,0.6007126307848728,0.6127476380629973,0.598995731274287,13,23
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,19,19,0.6222222222222222,0.711864406779661,0.7944664031620553,45,35.338915912027005,0.00672127102734521,0.1493615783854491,0.00431060791015625,1130,0.0,25.00146484375,0.5885962243333007,0.5885962243333007,0.5639915764331818,50,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,20,20,0.6222222222222222,0.4848484848484849,0.6600790513833992,45,35.08619159105001,0.004675704054534435,0.10390453454520968,0.00431060791015625,1130,0.0,25.00146484375,0.601069459860975,0.5908935535134692,0.5706433574358623,47,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,21,21,0.5333333333333333,0.6666666666666666,0.8154761904761905,45,35.13609316101065,0.004342772997915745,0.09650606662034988,0.00431060791015625,1130,0.0,25.00146484375,0.5896963102347923,0.5934463014656847,0.5860970338185628,45,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,22,22,0.5111111111111111,0.5925925925925926,0.5810276679841897,45,31.70849301898852,0.0038258800050243735,0.0850195556672083,0.00431060791015625,1130,0.0,25.00146484375,0.5901125080206178,0.5962816474564148,0.5914248148600261,35,45
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,23,23,0.6363636363636364,0.7142857142857143,0.8367768595041323,44,35.138817804981954,0.003222386003471911,0.07323604553345253,0.00431060791015625,1130,0.0,25.00146484375,0.5973531985373208,0.591877374910947,0.5991661310195923,43,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,24,24,0.5,0.64,0.5844155844155844,18,22.798015894019045,0.0033016559900715947,0.18342533278175524,0.00431060791015625,1130,0.0,25.00146484375,0.5975388644781328,0.6050168598504891,0.6139044125874837,22,32
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,25,25,0.6444444444444445,0.5555555555555555,0.7865612648221344,45,26.73620594397653,0.004611660027876496,0.10248133395281103,0.00431060791015625,1130,0.0,25.00146484375,0.5927754042275024,0.598479111763564,0.588634846607844,28,38
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,26,26,0.5111111111111111,0.65625,0.8273809523809524,45,19.71469218697166,0.004738001967780292,0.10528893261733982,0.00431060791015625,1130,0.0,25.00146484375,0.608428325391177,0.6080770165179715,0.5951855063438416,18,28
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,27,27,0.5555555555555556,0.6296296296296297,0.6383399209486167,45,25.991083708009683,0.004707760992459953,0.1046169109435545,0.00431060791015625,1130,0.0,25.00146484375,0.599935431823586,0.5992870721401591,0.5799773156642913,27,37
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,28,28,0.4888888888888889,0.46511627906976744,0.4683794466403162,45,28.13422852900112,0.0038084209663793445,0.08463157703065209,0.00431060791015625,1130,0.0,25.00146484375,0.5925186712181929,0.6040516518282167,0.5897040645281474,30,40
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,29,29,0.8888888888888888,0.8979591836734693,0.9861660079051384,45,35.33454468601849,0.005953163024969399,0.13229251166598666,0.00431060791015625,1130,0.0,25.00146484375,0.5889403953245191,0.5897045239354625,0.578873465458552,45,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,30,30,0.6,0.6896551724137931,0.6884920634920635,45,35.340617030044086,0.004668510984629393,0.10374468854731984,0.00431060791015625,1130,0.0,25.00146484375,0.5930754634918589,0.5941642531842897,0.590341345469157,48,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,31,31,0.8444444444444444,0.8444444444444444,0.8636363636363635,45,21.21665826399112,0.004767544975038618,0.10594544388974707,0.00431060791015625,1130,0.0,25.00146484375,0.6021101400256157,0.6062306066354116,0.5971317251523336,20,30
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,32,32,0.7272727272727273,0.7499999999999999,0.8281573498964804,44,35.17067232797854,0.00455900002270937,0.1036136368797584,0.00431060791015625,1130,0.0,25.00146484375,0.590503930819757,0.5904286047725966,0.5805159191290538,45,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,33,33,0.6444444444444445,0.5555555555555556,0.8142292490118577,45,35.43421605497133,0.00479303696192801,0.10651193248728912,0.00431060791015625,1130,0.0,25.00146484375,0.5845332233743235,0.5775247369751786,0.5739823579788208,49,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,34,34,0.8,0.823529411764706,0.9325396825396826,45,35.171308295975905,0.00599262397736311,0.1331694217191802,0.00431060791015625,1130,0.0,25.00146484375,0.5878983239332835,0.5878983239332835,0.5869947950045268,50,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,35,35,0.7111111111111111,0.6285714285714286,0.875494071146245,45,35.126703699002974,0.004706155974417925,0.10458124387595388,0.00431060791015625,1130,0.0,25.00146484375,0.5905240668040334,0.5884459813435873,0.5845830241839091,40,50
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,36,36,0.5227272727272727,0.6037735849056604,0.5516528925619835,44,30.270380602043588,0.004760631010867655,0.10819615933790125,0.00431060791015625,1130,0.0,25.00146484375,0.591542332461386,0.596236443203507,0.5850974341233571,33,43
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,37,37,0.5111111111111111,0.0,0.5711462450592886,45,26.053403288009576,0.005952185019850731,0.13227077821890512,0.00431060791015625,1130,0.0,25.00146484375,0.5989312251860445,0.5957887314937331,0.5846013188362121,27,37
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,38,38,0.6,0.55,0.6778656126482214,45,29.63710331299808,0.00435737002408132,0.09683044497958489,0.00431060791015625,1130,0.0,25.00146484375,0.5947265234408956,0.5945261696522887,0.5785507917404175,32,42
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,39,39,0.5909090909090909,0.64,0.6583850931677018,44,35.32438666204689,0.004947314970195293,0.11243897659534759,0.00431060791015625,1130,0.0,25.00146484375,0.58783607275197,0.588347143973365,0.5699674824873606,41,50
