parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,1,0.7158401053060185,0.692627469698588,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,2,0.6966890358563625,0.6919532616933187,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,3,0.6922929336627325,0.682580812772115,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,4,0.6766335928078854,0.6601957678794861,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,5,0.6599883432641174,0.6336770137151082,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,6,0.6554284538283492,0.6248191555341085,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,7,0.6445863084359602,0.6188841541608174,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,8,0.6377861815871615,0.6087493737538655,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,9,0.635969899820559,0.6060632268587748,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,10,0.6299567452885888,0.6029677907625834,0.001,8,1,8
D,1,8,1,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,11,0.6263728681387324,0.6036047160625457,0.001,8,1,8
