parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,1,0.7137369861205419,0.6904488801956177,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,2,0.6926017381025084,0.6822720328966777,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,3,0.6828750222921371,0.6635836879412333,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,4,0.6699848626599167,0.6383814652760823,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,5,0.6545866240154613,0.6254396955172221,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,6,0.6474136737259951,0.6181309779485067,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,7,0.6384118605743755,0.6102900862693786,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,8,0.6375703723593191,0.602711953719457,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,9,0.6363923531590086,0.6070513288180034,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,10,0.6329320490811811,0.5961276789506277,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,11,0.6315264936649438,0.6013191342353821,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,12,0.6281765907099752,0.5914304474989573,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,13,0.6255240083643885,0.597414908806483,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,14,0.6199501689636346,0.5883771081765493,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,15,0.6268114989454096,0.5913394033908844,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,16,0.6216259422627363,0.5872534950574239,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,17,0.6211836742180766,0.5852940519650777,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,18,0.614875798424085,0.5866859634717305,0.001,4,2,8
F1,4,4,2,8,64,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,19,0.6213098936008684,0.5983182966709137,0.001,4,2,8
