parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.7333333333333333,0.7272727272727273,0.8300395256916997,45,18.917880002991296,0.0033624719944782555,0.07472159987729457,0.00708770751953125,1858,0.0,25.5146484375,0.5374171471957004,0.5668021560166822,0.5754040400187175,16,26
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.7777777777777778,0.7368421052631579,0.9328063241106719,45,18.185207528993487,0.004099025041796267,0.09108944537325037,0.00708770751953125,1858,0.0,25.5146484375,0.5347053279930895,0.5682147400397243,0.5950664381186167,15,25
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.35555555555555557,0.3255813953488372,0.32608695652173914,45,32.373695180984214,0.0043915919959545135,0.09759093324343363,0.00708770751953125,1858,0.0,25.5146484375,0.5053961584062288,0.5161995591990876,0.565502522389094,37,47
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.5555555555555556,0.6875000000000001,0.782608695652174,45,17.92922228499083,0.00478060997556895,0.10623577723486555,0.00708770751953125,1858,0.0,25.5146484375,0.5330898727882992,0.5695205888513363,0.5764529347419739,15,25
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.5111111111111111,0.576923076923077,0.44841269841269843,45,14.488644968019798,0.004840394016355276,0.10756431147456169,0.00708770751953125,1858,0.0,25.5146484375,0.548150858418508,0.5829581816991171,0.5948330561319987,10,20
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.4444444444444444,0.2857142857142857,0.503968253968254,45,11.316671184962615,0.004735980008263141,0.10524400018362536,0.00708770751953125,1858,0.0,25.5146484375,0.5625973237734853,0.5961386094039137,0.5839387714862824,6,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.8666666666666667,0.8695652173913043,0.9604743083003953,45,18.25359594798647,0.0048623940092511475,0.10805320020558105,0.00708770751953125,1858,0.0,25.5146484375,0.5458963906223123,0.5690754234339251,0.5942952911059062,15,25
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.5333333333333333,0.5714285714285715,0.6818181818181819,45,18.028726328979246,0.004860575951170176,0.1080127989148928,0.00708770751953125,1858,0.0,25.5146484375,0.5383963239463893,0.559882218864831,0.5783038894335429,15,25
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.6222222222222222,0.5641025641025642,0.6587301587301588,45,22.876352655992378,0.004758675990160555,0.10574835533690122,0.00708770751953125,1858,0.0,25.5146484375,0.5141013587514559,0.5406122620810162,0.5826192617416381,22,32
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.6444444444444445,0.6521739130434783,0.742063492063492,45,10.123530174023472,0.004758814990054816,0.10575144422344035,0.00708770751953125,1858,0.0,25.5146484375,0.5682792896122644,0.6119549398620924,0.5956929842631022,4,14
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,11,11,0.5555555555555556,0.5,0.5869565217391304,45,17.33347670099465,0.004398711025714874,0.09774913390477498,0.00708770751953125,1858,0.0,25.5146484375,0.5336933531092874,0.5651859383691441,0.5558061162630717,14,24
