parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,1,0.6825151389295404,0.6791628321011861,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,2,0.6442142747568361,0.6371556758880615,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,3,0.6234085017984564,0.6177851915359497,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,4,0.6135074977170337,0.5979356030623119,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,5,0.6149957320003798,0.5918489476044972,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,6,0.6036494026581446,0.593151714404424,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,7,0.5997128917863874,0.5863251288731893,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,8,0.5992810150439088,0.5860099196434021,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,9,0.5969792593157652,0.5936028202374776,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,10,0.5883212507222638,0.5788369178771973,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,11,0.5805566624710055,0.59127157330513,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,12,0.5858404570908258,0.5834420919418335,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,13,0.5761330073530023,0.5776575942834218,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,14,0.5720514038747008,0.5861961086591084,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,15,0.5708557080590364,0.5819384515285492,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,16,0.5668021560166822,0.5754040400187175,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,17,0.5661431435834278,0.5804488261540731,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,18,0.5655443767706553,0.5841308911641439,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,19,0.5577173296249274,0.5771054287751516,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,20,0.5576052448966287,0.5764930228392283,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,21,0.5530933148481629,0.5943416893482208,0.001,8,2,16
dropout_rate,0.1,8,2,16,64,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,22,0.5412577002337484,0.5789485454559327,0.001,8,2,16
