parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.7555555555555555,0.7659574468085107,0.7707509881422925,45,23.2885273930151,0.004754119960125536,0.10564711022501191,0.00611114501953125,1602,41.96875,25.5107421875,0.5724841184688337,0.5898990841074423,0.5620713750521342,24,34
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.8222222222222222,0.7777777777777778,0.940711462450593,45,34.35394169902429,0.004292543977499008,0.09538986616664462,0.00611114501953125,1602,0.0,25.5107421875,0.57020905297814,0.5772479002674421,0.5655981461207072,40,50
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.4444444444444444,0.4186046511627907,0.35770750988142297,45,20.475231304008048,0.004311261989641935,0.09580582199204299,0.00611114501953125,1602,0.0,25.5107421875,0.5776983081842914,0.5908828845078294,0.5576577146848043,20,30
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.5777777777777777,0.6984126984126985,0.6976284584980237,45,34.28830397099955,0.004311261989641935,0.09580582199204299,0.00611114501953125,1602,0.0,25.5107421875,0.5676292810927738,0.5696608236793316,0.5600110232830048,40,50
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.4666666666666667,0.5384615384615384,0.4642857142857143,45,23.214243458001874,0.0042725009843707085,0.09494446631934908,0.00611114501953125,1602,0.0,25.5107421875,0.5769930484168457,0.5914232441873262,0.5814530650774637,24,34
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.4444444444444444,0.24242424242424246,0.47817460317460314,45,22.605851930973586,0.0031618259963579476,0.0702627999190655,0.00611114501953125,1602,0.0,25.5107421875,0.5663776831193403,0.5854940565698075,0.5810966789722443,23,33
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.8888888888888888,0.8979591836734693,0.9802371541501976,45,26.861193698015995,0.004628619994036853,0.10285822208970785,0.00611114501953125,1602,0.0,25.5107421875,0.5747139907696031,0.5842211451945882,0.5729880352814992,29,39
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.7111111111111111,0.711111111111111,0.7905138339920948,45,25.95267981098732,0.004638955986592919,0.10308791081317596,0.00611114501953125,1602,0.0,25.5107421875,0.5829866871689305,0.5811732867450425,0.5823613246281941,28,38
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.6444444444444445,0.6,0.6686507936507937,45,17.633862748974934,0.0044964810367673635,0.09992180081705251,0.00611114501953125,1602,0.0,25.5107421875,0.576192412638303,0.5977420097950733,0.585931799809138,16,26
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.6222222222222222,0.6530612244897959,0.6884920634920635,45,17.672127738012932,0.004662282997742295,0.10360628883871767,0.00611114501953125,1602,0.0,25.5107421875,0.590971208431504,0.607918598660917,0.5878955960273743,16,26
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,11,11,0.6222222222222222,0.5641025641025642,0.5849802371541503,45,23.916637342015747,0.004252597980666906,0.09450217734815346,0.00611114501953125,1602,0.0,25.5107421875,0.5693019648844545,0.5824813648606791,0.5598971883455912,25,35
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,12,12,0.7555555555555555,0.7179487179487181,0.8492063492063492,45,19.36150699603604,0.00434667500667274,0.09659277792606089,0.00611114501953125,1602,0.0,25.5107421875,0.5749711164019324,0.5973864288041086,0.5776148875554402,18,28
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,13,13,0.8,0.7999999999999999,0.8790849673202614,35,11.742387689009774,0.003184803994372487,0.09099439983921392,0.00611114501953125,1602,0.0,25.5107421875,0.5921988202766939,0.6141560540506334,0.6028485933939616,7,17
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,14,14,0.6666666666666666,0.7169811320754716,0.7707509881422925,45,34.05690370599041,0.0043091330444440246,0.0957585120987561,0.00611114501953125,1602,0.0,25.5107421875,0.5813503175070791,0.5688354041088711,0.577827513217926,48,50
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,15,15,0.7333333333333333,0.7857142857142858,0.9664031620553359,45,34.28230550303124,0.004320228996220976,0.09600508880491058,0.00611114501953125,1602,0.0,25.5107421875,0.5671262219548225,0.5724675176721631,0.5553315202395122,40,50
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,16,16,0.6888888888888889,0.7586206896551724,0.8102766798418972,45,22.034739324008115,0.004345717024989426,0.09657148944420947,0.00611114501953125,1602,0.0,25.5107421875,0.5756015348615069,0.5965280817313627,0.5819839477539063,22,32
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,17,17,0.5952380952380952,0.41379310344827586,0.6068181818181818,42,23.21341852901969,0.005045120022259653,0.12012190529189648,0.00611114501953125,1602,0.0,25.5107421875,0.5775706569353739,0.5888456815119946,0.6005876282850902,24,34
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,18,18,0.4444444444444444,0.4444444444444445,0.47430830039525695,45,18.506269878998864,0.004536727035883814,0.10081615635297365,0.00611114501953125,1602,0.0,25.5107421875,0.5827252627773718,0.5942438565420382,0.5820087869962056,17,27
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,19,19,0.6666666666666666,0.7457627118644068,0.782608695652174,45,22.44753393001156,0.004290384997148067,0.0953418888255126,0.00611114501953125,1602,0.0,25.5107421875,0.583753788561532,0.5856693962758238,0.5698974609375,23,33
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,20,20,0.6444444444444445,0.5555555555555556,0.6897233201581028,45,29.28323255502619,0.0061186570092104375,0.13597015576023197,0.00611114501953125,1602,0.0,25.5107421875,0.5682281725334398,0.5763201320713217,0.5628404736518859,33,43
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,21,21,0.4888888888888889,0.6101694915254237,0.8214285714285714,45,18.706816978985444,0.004338637983892113,0.09641417741982473,0.00611114501953125,1602,0.0,25.5107421875,0.5855590838826064,0.5975330636808367,0.5807212789853414,17,27
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,22,22,0.5333333333333333,0.5531914893617021,0.6047430830039526,45,15.722472518973518,0.004635745019186288,0.10301655598191752,0.00611114501953125,1602,0.0,25.5107421875,0.5834110058618315,0.59855077776945,0.5872021913528442,13,23
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,23,23,0.6818181818181818,0.7407407407407406,0.8326446280991735,44,14.375814386003185,0.004808673053048551,0.10928802393292161,0.00611114501953125,1602,0.01953125,25.5107421875,0.5876749252731149,0.6096718749313643,0.6073172469933827,11,21
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,24,24,0.6111111111111112,0.7407407407407406,0.6493506493506493,18,29.862568273965735,0.0031504619983024895,0.17502566657236052,0.00611114501953125,1602,0.05078125,25.5107421875,0.5676803658331248,0.5745876718284493,0.5998831689357758,33,43
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,25,25,0.7555555555555555,0.7924528301886793,0.8596837944664031,45,34.22496438300004,0.004334849014412612,0.09632997809805803,0.00611114501953125,1602,0.0,25.5107421875,0.5654328962167104,0.5658674165606499,0.5687610507011414,43,50
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,26,26,0.7777777777777778,0.782608695652174,0.8571428571428572,45,16.468842044996563,0.004630349052604288,0.10289664561342862,0.00611114501953125,1602,0.0,25.5107421875,0.5823038473273768,0.6094042898127527,0.5947187721729279,14,24
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,27,27,0.5111111111111111,0.6206896551724137,0.66600790513834,45,17.102697419992182,0.003725886985193938,0.0827974885598653,0.00611114501953125,1602,0.01953125,25.5107421875,0.5836833968307032,0.5913164435010968,0.5765076835950216,15,25
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,28,28,0.6,0.5263157894736841,0.6007905138339921,45,16.31731666100677,0.004280922003090382,0.09513160006867515,0.00611114501953125,1602,0.0,25.5107421875,0.5848728736693208,0.6020165286732443,0.5840315798918406,14,24
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,29,29,0.8666666666666667,0.88,0.9920948616600791,45,18.578678519988898,0.004522085015196353,0.10049077811547451,0.00611114501953125,1602,0.0625,25.5107421875,0.5821347042466655,0.6017604479283998,0.5761022806167603,17,27
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,30,30,0.6222222222222222,0.711864406779661,0.7738095238095237,45,15.912082620023284,0.002797255991026759,0.062161244245039084,0.00611114501953125,1602,0.0,25.5107421875,0.590991053843137,0.5982594894188823,0.5925914069016774,13,23
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,31,31,0.8,0.8,0.8695652173913043,45,20.66602794796927,0.004513560037594289,0.10030133416876197,0.00611114501953125,1602,0.0,25.5107421875,0.5764810621286883,0.5948190472342751,0.5909157991409302,20,30
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,32,32,0.8636363636363636,0.8695652173913043,0.8923395445134575,44,34.3269540410256,0.004264217976015061,0.0969140449094332,0.00611114501953125,1602,0.0,25.5107421875,0.5575572288397587,0.5717477048888351,0.5758038580417633,40,50
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,33,33,0.7111111111111111,0.6486486486486486,0.8675889328063242,45,29.430200576025527,0.004828678967896849,0.10730397706437442,0.00611114501953125,1602,0.0,25.5107421875,0.5766593470717921,0.5767168775200844,0.5676347593466441,33,43
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,34,34,0.8,0.8421052631578948,0.9821428571428571,45,12.980565070989542,0.004513619001954794,0.10030264448788431,0.00611114501953125,1602,0.0,25.5107421875,0.592682936426365,0.6127662846084797,0.5995883305867513,9,19
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,35,35,0.7111111111111111,0.6060606060606061,0.9249011857707511,45,30.184865051996894,0.005812119983602315,0.12915822185782924,0.00611114501953125,1602,0.0,25.5107421875,0.5695287734270096,0.5734131654555147,0.5886350691318512,34,44
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,36,36,0.5454545454545454,0.6296296296296297,0.5826446280991735,44,34.50703377998434,0.004496709967497736,0.10219795380676673,0.00611114501953125,1602,0.0,25.5107421875,0.5716299669760646,0.5709788704460318,0.5748053868611653,46,50
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,37,37,0.5111111111111111,0.0,0.41501976284584985,45,34.65943842701381,0.004296329978387803,0.09547399951972894,0.00611114501953125,1602,0.0,25.5107421875,0.5606432683540113,0.5629708299582655,0.5630153874556224,41,50
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,38,38,0.5777777777777777,0.5128205128205129,0.5928853754940712,45,30.84407149598701,0.0045240820036269724,0.10053515563615494,0.00611114501953125,1602,0.0,25.5107421875,0.5688836328459509,0.564267294650728,0.5703422367572785,35,45
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,39,39,0.5454545454545454,0.6153846153846153,0.5548654244306418,44,25.895194292010274,0.004488599952310324,0.1020136352797801,0.00611114501953125,1602,0.0,25.5107421875,0.5732167214155197,0.5793642374602231,0.5764237582683563,28,38
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,40,40,0.5555555555555556,0.5833333333333334,0.5436507936507936,45,23.97124290303327,0.0031048899982124567,0.06899755551583237,0.00611114501953125,1602,0.0,25.5107421875,0.5822961194948717,0.5858473240426092,0.5965453167756398,25,35
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,41,41,0.5333333333333333,0.3225806451612903,0.6428571428571428,45,22.41270732000703,0.004295693011954427,0.09545984471009837,0.00611114501953125,1602,0.0,25.5107421875,0.5725932936325218,0.5878210772167553,0.5863111694653829,23,33
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,42,42,0.8444444444444444,0.8205128205128205,0.9249011857707511,45,25.199813042010646,0.004251968988683075,0.09448819974851277,0.00611114501953125,1602,0.0,25.5107421875,0.5675568693515026,0.585231647346959,0.5880254487196604,27,37
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,43,43,0.8222222222222222,0.7999999999999999,0.9565217391304347,45,20.525971880008,0.002670540998224169,0.05934535551609265,0.00611114501953125,1602,0.0,25.5107421875,0.5799049008073229,0.5904403613372282,0.5758140047391256,20,30
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,44,44,0.896551724137931,0.9032258064516129,0.8952380952380953,29,14.346148887998424,0.0031652289908379316,0.10914582727027351,0.00611114501953125,1602,0.0234375,25.5107421875,0.5866273219386736,0.607007914194555,0.595779005686442,11,21
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,45,45,0.6222222222222222,0.4848484848484849,0.8122529644268774,45,21.267887555994093,0.004327674978412688,0.09617055507583751,0.00611114501953125,1602,0.0,25.5107421875,0.5840054113756526,0.5996959789684324,0.5753317554791768,21,31
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,46,46,0.6888888888888889,0.6818181818181818,0.717391304347826,45,17.816339579003397,0.0042756409966386855,0.09501424436974856,0.00611114501953125,1602,0.0,25.5107421875,0.5798970688924645,0.5999258512800391,0.5808038711547852,16,26
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,47,47,0.4888888888888889,0.6229508196721311,0.5396825396825398,45,29.289483038999606,0.0044917300110682845,0.0998162224681841,0.00611114501953125,1602,0.0,25.5107421875,0.5805960182439197,0.5753519291227515,0.5862677534421284,33,43
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,48,48,0.7058823529411765,0.7058823529411764,0.9142857142857144,17,17.24267108598724,0.003301416989415884,0.19420099937740495,0.00611114501953125,1602,0.05078125,25.5107421875,0.5904708392638013,0.5977003175513189,0.589040466149648,15,25
