parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,1,0.7127620306881991,0.6907129049301147,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,2,0.6750348463202968,0.6672817031542461,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,3,0.6540201175393481,0.6281996369361877,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,4,0.6417318469647205,0.6070669968922933,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,5,0.6365000704924265,0.6091526408990224,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,6,0.6284974066145492,0.5928829193115235,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,7,0.6253064726338242,0.5912746628125508,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,8,0.6209837367588823,0.5861151198546092,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,9,0.6175452743967375,0.5834606409072876,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,10,0.6176940286249826,0.5790147682030996,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,11,0.6120561783512434,0.572035276889801,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,12,0.6030453100348964,0.5774258335431417,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,13,0.5997941363038439,0.5868851979573567,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,14,0.6072367691632473,0.5760937492052715,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,15,0.6039422892711379,0.5814200381437937,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,16,0.6000345825697436,0.5733237703641255,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,17,0.6049313714558427,0.568311733007431,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,18,0.5931098149581389,0.5763497789700825,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,19,0.5953346048340653,0.5723041574160258,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,20,0.5917865694923834,0.5712359090646107,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,21,0.5927210664658835,0.5714117487271627,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,22,0.589298263417952,0.5676768044630687,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,23,0.588333794790687,0.5674890756607056,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,24,0.5898990841074423,0.5620713750521342,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,25,0.5837956495357283,0.5703108827273051,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,26,0.588094547616713,0.5762437522411347,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,27,0.5839359161980224,0.5680946330229442,0.001,8,2,16
kernel_length,32,8,2,16,32,0.3,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,28,0.5821951724814646,0.5676961739857992,0.001,8,2,16
