parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,1,0.729881179152113,0.69210444688797,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,2,0.7204038112452535,0.6912743806838989,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,3,0.7152602537111803,0.6917338411013285,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,4,0.7107523995818514,0.6911622722943623,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,5,0.7055473621144439,0.6902049462000529,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,6,0.7042749384135911,0.6883026719093323,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,7,0.7025300327575568,0.6860983371734619,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,8,0.6998819902990804,0.6848885377248128,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,9,0.6982549248319684,0.6830478509267172,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,10,0.6962989320357641,0.6806888063748677,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,11,0.6936891453735756,0.6776488661766052,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,12,0.6921069102756905,0.6754006743431091,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,13,0.6857612990971768,0.6721459905306498,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,14,0.682370682557424,0.6684528271357218,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,15,0.6796016765363289,0.6644816160202026,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,16,0.6793332009604482,0.660751740137736,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,17,0.6735795718250852,0.6573932607968648,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,18,0.6750659838770375,0.6536269625027974,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,19,0.672665669611006,0.6509752869606018,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,20,0.6677130709091822,0.647868013381958,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,21,0.660883751782504,0.6441484610239665,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,22,0.6615828442754168,0.6411729216575622,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,23,0.6611455891168478,0.6387121081352234,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,24,0.6589541177858006,0.636627459526062,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,25,0.6518001204187219,0.6341137011845907,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,26,0.6511675205194589,0.633107328414917,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,27,0.6478316336870193,0.629587193330129,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,28,0.6522114502661156,0.6268875281016032,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,29,0.6516059330015471,0.6256356000900268,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,30,0.6514514219580274,0.624362071355184,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,31,0.6442638843348532,0.621652348836263,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,32,0.6425015298706113,0.6206826011339823,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,33,0.6396880678155206,0.6188959161440531,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,34,0.6378125309041052,0.6181115428606669,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,35,0.6478183007601536,0.6168638626734416,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,36,0.6358914163076517,0.6159937938054403,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,37,0.6345091403433771,0.613497519493103,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,38,0.6367500550819166,0.6124365369478861,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,39,0.6348748096462452,0.6119827369848887,0.0001,8,2,16
learning_rate,0.0001,8,2,16,64,0.3,0.0001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,40,0.640258581349344,0.6113588213920593,0.0001,8,2,16
