parameter_name,parameter_value,f1,depth_multiplier,f2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,1,1,0.7333333333333333,0.7391304347826088,0.8023715415019763,45,9.54830523201963,0.010560520982835442,0.2346782440630098,0.00708770751953125,1858,434.1328125,12.30224609375,0.5879444159255734,0.6143499101749391,0.5666349430878957,7,17
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,2,2,0.8,0.7567567567567568,0.9525691699604744,45,17.189381971023977,0.0025950990384444594,0.05766886752098799,0.00708770751953125,1858,0.0,12.30224609375,0.5606191722612417,0.5757065830121929,0.5554149429003398,23,33
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,3,3,0.35555555555555557,0.4313725490196078,0.2588932806324111,45,17.563928811985534,0.0024439619737677276,0.054310266083727285,0.00708770751953125,1858,0.0,12.30224609375,0.5543421515947059,0.5757899033932632,0.5746757840116818,24,34
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,4,4,0.5111111111111111,0.6666666666666666,0.766798418972332,45,11.819684185029473,0.002410018991213292,0.0535559775825176,0.00708770751953125,1858,0.0625,12.30224609375,0.5781406889396928,0.6035491874009484,0.5656186863780022,13,23
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,5,5,0.4444444444444444,0.5098039215686274,0.4920634920634921,45,12.792391851020511,0.0023968190071173012,0.0532626446026067,0.00708770751953125,1858,0.0,12.30224609375,0.5817865289662727,0.5938860211988819,0.5809936791658401,15,25
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,6,6,0.5333333333333333,0.22222222222222224,0.5634920634920635,45,8.204620074946433,0.002387109969276935,0.05304688820615411,0.00708770751953125,1858,0.0,12.30224609375,0.587918659693388,0.6225169752033944,0.5779441356658935,6,16
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,7,7,0.9111111111111111,0.9090909090909091,0.9802371541501975,45,21.58062575897202,0.002458138973452151,0.05462531052115891,0.00708770751953125,1858,0.06640625,12.30224609375,0.5672480606760816,0.5899824361837409,0.5748854130506516,19,29
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,8,8,0.6888888888888889,0.6818181818181819,0.7984189723320159,45,13.174740843998734,0.002439282019622624,0.05420626710272498,0.00708770751953125,1858,0.0,12.30224609375,0.5674113035202026,0.5907340052009988,0.579690670967102,14,24
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,9,9,0.6,0.5263157894736842,0.6468253968253967,45,16.729678976000287,0.0025986600085161626,0.05774800018924806,0.00708770751953125,1858,0.00390625,12.30224609375,0.5610792593810948,0.5772272920653847,0.5758807082970937,22,32
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,10,10,0.5777777777777777,0.6274509803921569,0.6845238095238095,45,12.843532401020639,0.0026565580046735704,0.059034622326079346,0.00708770751953125,1858,0.0,12.30224609375,0.5698945378395994,0.5857836278899088,0.5668493350346883,14,24
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,11,11,0.5333333333333333,0.6037735849056604,0.6146245059288538,45,22.60802809795132,0.008023799979127944,0.1783066662028432,0.00708770751953125,1858,0.0078125,12.30224609375,0.565412154555774,0.5931245938453384,0.5582155108451843,17,27
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,12,12,0.6,0.4,0.8174603174603174,45,18.451893882011063,0.0024850270128808916,0.05522282250846426,0.00708770751953125,1858,0.0,12.30224609375,0.5651568621963603,0.5747448388387948,0.578190212448438,21,31
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,13,13,0.8,0.7586206896551724,0.8725490196078431,35,15.455318857973907,0.0023330519907176495,0.06665862830621856,0.00708770751953125,1858,0.50390625,12.30224609375,0.5645902826253212,0.5923001640899614,0.5983193874359131,18,28
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,14,14,0.5333333333333333,0.6181818181818182,0.616600790513834,45,20.348876350035425,0.002670734014827758,0.059349644773950175,0.00708770751953125,1858,0.0,12.30224609375,0.5545415321910336,0.5678011794280643,0.5711278319358826,27,37
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,15,15,0.6666666666666666,0.7457627118644068,0.9486166007905139,45,17.59671004099073,0.0026469180011190474,0.05882040002486772,0.00708770751953125,1858,0.0078125,12.30224609375,0.5600514747344042,0.5815724406405547,0.55853877166907,22,32
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,16,16,0.7555555555555555,0.7924528301886793,0.8023715415019763,45,32.292572219041176,0.005890631000511348,0.1309029111224744,0.00708770751953125,1858,0.00390625,12.30224609375,0.5590148368715787,0.5633457497952102,0.5791387980182966,25,35
batch_size,16,8,2,16,64,0.25,0.001,16,50,0.0,0.1,10,5,0.5,True,42,17,17,0.6190476190476191,0.4285714285714285,0.7227272727272727,42,16.372690890042577,0.004129300999920815,0.09831669047430514,0.00708770751953125,1858,0.6484375,12.30224609375,0.5804457843981006,0.6165415119718421,0.6110032091538111,7,17
