parameter_name,parameter_value,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2,kernel_length,dropout_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
batch_size,16,1,1,1,0.7135004056723853,0.6810109138488769,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,2,0.6733317763859782,0.6188339114189148,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,3,0.6430448369608179,0.5921896715958913,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,4,0.6406352705828591,0.5888334880272548,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,5,0.630698475207666,0.5830572838584582,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,6,0.621201268733681,0.5771654933691025,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,7,0.6143499101749391,0.5666349430878957,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,8,0.614529932066515,0.585378619035085,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,9,0.6175977891388955,0.5998641371726989,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,10,0.6051193590173249,0.573060949643453,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,11,0.6084819657041093,0.5742607762416204,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,12,0.607813216547549,0.5834561079740525,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,13,0.5995969933248745,0.5688808267315228,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,14,0.5910845887298366,0.571062795817852,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,15,0.5925215632289988,0.5738520493110021,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,16,0.5854229906665962,0.5688638960321745,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,17,0.5879444159255734,0.5688986892501513,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,1,0.7084815223407382,0.6790884772936503,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,2,0.6727986174844517,0.633736569682757,0.001,8,2,16,64,0.25,16,50,0.0,0.1,10,5,0.5,True,42
