parameter_name,parameter_value,f1,depth_multiplier,f2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
epochs,50,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.7333333333333333,0.76,0.8379446640316206,45,26.245850844949018,0.004482121032197028,0.09960268960437842,0.00708770751953125,1858,0.0,24.5439453125,0.560396012257446,0.563655049963431,0.5676951825618743,27,37
epochs,50,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.6888888888888889,0.5625000000000001,0.9268774703557313,45,17.875001916021574,0.004358991980552673,0.09686648845672607,0.00708770751953125,1858,0.0,24.5439453125,0.5744179046966813,0.593458712552533,0.5690840045611064,15,25
epochs,50,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.4222222222222222,0.4090909090909091,0.32213438735177863,45,20.48726976796752,0.0044708080240525305,0.09935128942338957,0.00708770751953125,1858,0.0,24.5439453125,0.560895013764049,0.5842181760253329,0.561790386835734,19,29
epochs,50,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.6,0.7096774193548387,0.7411067193675889,45,27.65576684998814,0.004196543013677001,0.09325651141504447,0.00708770751953125,1858,0.0,24.5439453125,0.561262023268324,0.5707586308320364,0.569124573469162,29,39
epochs,50,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.4444444444444444,0.576271186440678,0.4305555555555556,45,24.085200436005834,0.006925515015609562,0.1539003336802125,0.00708770751953125,1858,0.0,24.5439453125,0.5616242235357111,0.5732052723566691,0.5863564550876618,24,34
epochs,50,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.4888888888888889,0.34285714285714286,0.5337301587301587,45,16.257009012973867,0.0044924599933438,0.09983244429652889,0.00708770751953125,1858,0.0,24.5439453125,0.5700901396798365,0.5953684045058308,0.5820060928662618,13,23
epochs,50,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.9333333333333333,0.9333333333333332,0.9841897233201581,45,25.634179010987282,0.006949332018848509,0.15442960041885576,0.00708770751953125,1858,0.0,24.5439453125,0.5713773834885973,0.5809874586535223,0.5705873469511668,26,36
epochs,50,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.6666666666666666,0.6666666666666666,0.7371541501976285,45,24.94473426701734,0.006981738028116524,0.155149733958145,0.00708770751953125,1858,0.0,24.5439453125,0.5706364178296292,0.5724765484531721,0.5788013656934102,25,35
epochs,50,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.5333333333333333,0.4878048780487805,0.5674603174603174,45,24.21727467898745,0.006601664004847407,0.1467036445521646,0.00708770751953125,1858,0.0,24.5439453125,0.56354444654602,0.578184188766913,0.584944216410319,24,34
epochs,50,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.6,0.6666666666666665,0.7123015873015873,45,26.897266910993494,0.006635886034928262,0.14746413410951692,0.00708770751953125,1858,0.0,24.5439453125,0.5532820123163137,0.5606541175282362,0.5923848807811737,28,38
