parameter_name,parameter_value,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2,kernel_length,dropout_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
epochs,50,1,1,1,0.7081730257381093,0.6908477624257405,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,2,0.6719377095049078,0.6619712273279826,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,3,0.6510337455706163,0.6264259020487467,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,4,0.6359585932258404,0.6149587432543436,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,5,0.6247208208748789,0.610408729314804,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,6,0.6127095651445966,0.6007175544897715,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,7,0.6162832528352737,0.5965605894724528,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,8,0.6187512488527731,0.5961739202340444,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,9,0.6093360138210383,0.6151318490505219,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,10,0.606376842567415,0.591778016090393,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,11,0.6101073162122206,0.5904716273148854,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,12,0.6021824302998456,0.5838298857212066,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,13,0.6010524255759788,0.58193941116333,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,14,0.594282374237523,0.5757565021514892,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
