parameter_name,parameter_value,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2,kernel_length,dropout_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
lr_scheduler_factor,0.3,1,1,1,0.7157826997113951,0.6906968792279561,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.3,True,42
lr_scheduler_factor,0.3,1,1,2,0.6774623159206274,0.6520950635274251,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.3,True,42
lr_scheduler_factor,0.3,1,1,3,0.6547618679928057,0.6167595744132995,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.3,True,42
lr_scheduler_factor,0.3,1,1,4,0.6402244400797468,0.6184913794199626,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.3,True,42
lr_scheduler_factor,0.3,1,1,5,0.6302143981059393,0.5958063483238221,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.3,True,42
lr_scheduler_factor,0.3,1,1,6,0.6264969302397786,0.587068235874176,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.3,True,42
lr_scheduler_factor,0.3,1,1,7,0.6169262718070637,0.5831508219242096,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.3,True,42
lr_scheduler_factor,0.3,1,1,8,0.6200204595471873,0.5892775495847066,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.3,True,42
lr_scheduler_factor,0.3,1,1,9,0.6197996505282142,0.603784958521525,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.3,True,42
lr_scheduler_factor,0.3,1,1,10,0.6095899065787141,0.578580363591512,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.3,True,42
lr_scheduler_factor,0.3,1,1,11,0.610566596641685,0.6023021280765534,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.3,True,42
lr_scheduler_factor,0.3,1,1,12,0.6062564879204287,0.5807247837384542,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.3,True,42
lr_scheduler_factor,0.3,1,1,13,0.6011895322889993,0.5793169836203257,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.3,True,42
