parameter_name,parameter_value,f1,depth_multiplier,f2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.7333333333333333,0.7391304347826088,0.8359683794466404,45,7.583540880004875,0.002079800993669778,0.046217799859328404,0.00708770751953125,1858,0.0,24.5439453125,0.5770455546902887,0.5993224829435349,0.5683178166548412,13,23
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.8222222222222222,0.7999999999999999,0.9565217391304348,45,7.71977883100044,0.001824321981985122,0.04054048848855827,0.00708770751953125,1858,0.0,24.5439453125,0.5806855771577719,0.612223242494193,0.5769655744234721,11,21
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.4,0.47058823529411764,0.4031620553359684,45,9.827607673010789,0.002575325022917241,0.05722944495371646,0.00708770751953125,1858,0.0234375,24.5439453125,0.5708078078248284,0.5868035399100997,0.5602993468443552,18,28
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.4888888888888889,0.6567164179104478,0.7490118577075099,45,14.201321033993736,0.002095864969305694,0.04657477709568209,0.00708770751953125,1858,0.0,24.5439453125,0.5578843427426887,0.5764458924531937,0.5551822622617085,29,39
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.5333333333333333,0.6037735849056604,0.46626984126984133,45,7.914490513969213,0.0017933830386027694,0.039852956413394876,0.00708770751953125,1858,0.0,24.5439453125,0.5722806444673827,0.5924444916573438,0.5926174283027649,14,24
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.4666666666666667,0.2941176470588235,0.48611111111111105,45,10.533787021005992,0.002071769966278225,0.046039332583960556,0.00708770751953125,1858,0.23046875,24.5439453125,0.5580808992187182,0.5721475156870756,0.5703778584798177,22,32
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.8666666666666667,0.875,0.9762845849802372,45,10.533512076013722,0.00185533199692145,0.04122959993158777,0.00708770751953125,1858,0.0,24.5439453125,0.5689346584858317,0.5876505783561504,0.5637458324432373,21,31
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.7777777777777778,0.761904761904762,0.8537549407114625,45,11.638415915018413,0.0020672300015576184,0.045938444479058184,0.00708770751953125,1858,0.0,24.5439453125,0.5714354842449679,0.576031890782443,0.5791495561599731,22,32
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.5777777777777777,0.3870967741935483,0.6388888888888888,45,8.911645167972893,0.002021624008193612,0.044924977959858045,0.00708770751953125,1858,0.0,24.5439453125,0.5780306009180618,0.589952754703435,0.5849991897741954,17,27
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.7111111111111111,0.7234042553191489,0.7757936507936508,45,13.546075391001068,0.0020644370233640075,0.045876378296977945,0.00708770751953125,1858,0.0,24.5439453125,0.5562479236360752,0.5593143825729688,0.5808233122030894,30,40
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,11,11,0.5111111111111111,0.6451612903225806,0.48814229249011853,45,11.86438800895121,0.001816151023376733,0.04035891163059407,0.00708770751953125,1858,0.0,24.5439453125,0.553435150421027,0.5731080330230973,0.5593136608600616,26,36
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,12,12,0.6666666666666666,0.6341463414634146,0.8095238095238095,45,6.915705388004426,0.0020480940002016723,0.045513200004481606,0.00708770751953125,1858,0.0,24.5439453125,0.5829695497046817,0.6049568777283033,0.5902884880701701,11,21
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,13,13,0.7714285714285715,0.7999999999999999,0.9084967320261438,35,8.583544983004685,0.0018991929828189313,0.05426265665196947,0.00708770751953125,1858,0.0,24.5439453125,0.577137342005065,0.587710988566731,0.600965158144633,16,26
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,14,14,0.6222222222222222,0.7118644067796611,0.6758893280632411,45,8.901051670021843,0.0020668110228143632,0.045929133840319186,0.00708770751953125,1858,0.0,24.5439453125,0.5794108293273232,0.5877892027298609,0.5908366660277049,17,27
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,15,15,0.7111111111111111,0.7719298245614035,0.958498023715415,45,9.73772947897669,0.002081547980196774,0.04625662178215053,0.00708770751953125,1858,0.0,24.5439453125,0.5740148084181728,0.5948906134475361,0.5782586336135864,18,28
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,16,16,0.6888888888888889,0.7307692307692308,0.7252964426877471,45,16.769979201024398,0.002082945022266358,0.04628766716147462,0.00708770751953125,1858,0.0,24.5439453125,0.5477803852973562,0.5517884474812131,0.5866600116093953,36,46
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,17,17,0.6666666666666666,0.4615384615384615,0.7613636363636365,42,10.259281033999287,0.0018058849964290857,0.04299726181974014,0.00708770751953125,1858,0.0,24.5439453125,0.564370990476825,0.5865758950963165,0.5962309241294861,21,31
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,18,18,0.4444444444444444,0.07407407407407408,0.5335968379446641,45,12.690269637969323,0.0019146970007568598,0.04254882223904133,0.00708770751953125,1858,0.0,24.5439453125,0.570295805506634,0.5761587845556664,0.5866345087687175,25,35
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,19,19,0.6888888888888889,0.7407407407407406,0.7865612648221344,45,9.808028936968185,0.002102431026287377,0.04672068947305282,0.00708770751953125,1858,0.0,24.5439453125,0.5672475013769034,0.5907588309862397,0.567359451452891,17,27
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,20,20,0.6222222222222222,0.37037037037037035,0.6561264822134388,45,11.404544070013799,0.0020904879784211516,0.046455288409358926,0.00708770751953125,1858,0.0,24.5439453125,0.5667188813289007,0.5754180896011266,0.5718285282452901,21,31
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,21,21,0.5333333333333333,0.6557377049180327,0.8432539682539683,45,6.938875983993057,0.0020199479768052697,0.044887732817894876,0.00708770751953125,1858,0.0,24.5439453125,0.5666232425155062,0.5982662543202891,0.5931126832962036,11,21
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,22,22,0.6444444444444445,0.68,0.7430830039525691,45,16.794211317959707,0.002068068948574364,0.04595708774609698,0.00708770751953125,1858,0.0,24.5439453125,0.5547718538930921,0.5681306139537783,0.5848022123177846,39,49
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,23,23,0.6363636363636364,0.7241379310344828,0.8202479338842975,44,11.987574639031664,0.0020417390041984618,0.04640315918632868,0.00708770751953125,1858,0.0,24.5439453125,0.5559589065837137,0.5674784337029313,0.6020624160766601,23,33
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,24,24,0.6111111111111112,0.7200000000000001,0.6493506493506493,18,12.097610066004563,0.0010245009907521307,0.05691672170845171,0.00708770751953125,1858,0.0,24.5439453125,0.5649511948563999,0.5725095980149463,0.5875030279159545,23,33
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,25,25,0.8222222222222222,0.8333333333333333,0.8616600790513834,45,10.925851319043431,0.002073028008453548,0.04606728907674551,0.00708770751953125,1858,0.0,24.5439453125,0.5779693343422629,0.5849301973075578,0.590658555428187,20,30
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,26,26,0.6888888888888889,0.7499999999999999,0.9146825396825398,45,13.864668696012814,0.00207819597562775,0.04618213279172778,0.00708770751953125,1858,0.0,24.5439453125,0.5567376726504528,0.5678284737196836,0.5771089235941569,28,38
use_class_weight,True,8,2,16,64,0.25,0.001,32,50,0.0,0.1,10,5,0.5,True,42,27,27,0.4666666666666667,0.5862068965517242,0.6363636363636364,45,13.4923254000023,0.002052004972938448,0.045600110509743295,0.00708770751953125,1858,0.0,24.5439453125,0.5577893787712762,0.5646297464316542,0.5715676148732504,31,41
