parameter_name,parameter_value,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2,kernel_length,dropout_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
weight_decay,0.0,1,1,1,0.7086832098888628,0.6909085551897685,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,2,0.6712720190936868,0.6542396624883016,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,3,0.6413945388613325,0.6120656847953796,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,4,0.6293356793396401,0.6014469424883525,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,5,0.6281623244285583,0.5870790004730224,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,6,0.6148648661645976,0.5854428827762603,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,7,0.6121301601330439,0.5901148120562235,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,8,0.6129288939815579,0.6023528277873993,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,9,0.6040295854662404,0.5834096093972524,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,10,0.6028812751173973,0.5783619622389475,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,11,0.6023223422693483,0.5840105652809143,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,12,0.5999913012439554,0.5737438996632894,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,13,0.5937716066837311,0.5817445814609528,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,14,0.604343097995628,0.581264074643453,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,15,0.5886434192458788,0.577163443962733,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,16,0.5850829725915735,0.570962260166804,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,17,0.5912107809474973,0.5767099579175313,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,18,0.5844988373644424,0.5786620577176412,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,19,0.58753826514338,0.5746399422486623,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,20,0.5783659860943303,0.5796255171298981,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,21,0.5778192848418698,0.590267292658488,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,22,0.5835766823905887,0.5822509109973908,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,23,0.5807088376446203,0.5837957819302877,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,24,0.5717870780464375,0.5688223004341125,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,25,0.5719512768767097,0.5710473577181499,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,26,0.5777004984292117,0.574968942006429,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
weight_decay,0.0,1,1,27,0.5722423367428057,0.580404116710027,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
