trial_number,n_neighbors,weights,metric,p,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
0,9,distance,manhattan,unused,6,1,1,0.4666666666666667,0.4782608695652174,0.43873517786561267,45
0,9,distance,manhattan,unused,6,2,2,0.6888888888888889,0.5882352941176471,0.8102766798418972,45
0,9,distance,manhattan,unused,6,3,3,0.4444444444444444,0.4897959183673469,0.45652173913043476,45
0,9,distance,manhattan,unused,6,4,4,0.4666666666666667,0.2,0.507905138339921,45
0,9,distance,manhattan,unused,6,5,5,0.35555555555555557,0.32558139534883723,0.3650793650793651,45
0,9,distance,manhattan,unused,6,6,6,0.6,0.3076923076923077,0.6359126984126985,45
0,9,distance,manhattan,unused,6,7,7,0.6,0.7,0.7371541501976284,45
0,9,distance,manhattan,unused,6,8,8,0.6444444444444445,0.6,0.6521739130434784,45
0,9,distance,manhattan,unused,6,9,9,0.4888888888888889,0.20689655172413793,0.39682539682539686,45
0,9,distance,manhattan,unused,6,10,10,0.5111111111111111,0.5217391304347826,0.6130952380952381,45
0,9,distance,manhattan,unused,6,11,11,0.5333333333333333,0.5333333333333333,0.4980237154150197,45
0,9,distance,manhattan,unused,6,12,12,0.6,0.55,0.6607142857142857,45
0,9,distance,manhattan,unused,6,13,13,0.6285714285714286,0.6285714285714286,0.7549019607843137,35
0,9,distance,manhattan,unused,6,14,14,0.6,0.55,0.598814229249012,45
0,9,distance,manhattan,unused,6,15,15,0.5333333333333333,0.6557377049180327,0.7252964426877472,45
0,9,distance,manhattan,unused,6,16,16,0.5111111111111111,0.5,0.5138339920948616,45
0,9,distance,manhattan,unused,6,17,17,0.4523809523809524,0.20689655172413793,0.40681818181818186,42
0,9,distance,manhattan,unused,6,18,18,0.4444444444444444,0.5454545454545454,0.44466403162055335,45
0,9,distance,manhattan,unused,6,19,19,0.5111111111111111,0.5416666666666666,0.632411067193676,45
0,9,distance,manhattan,unused,6,20,20,0.5111111111111111,0.26666666666666666,0.6185770750988142,45
0,9,distance,manhattan,unused,6,21,21,0.5333333333333333,0.5714285714285714,0.6666666666666666,45
0,9,distance,manhattan,unused,6,22,22,0.4666666666666667,0.5862068965517241,0.42885375494071143,45
0,9,distance,manhattan,unused,6,23,23,0.6818181818181818,0.7307692307692307,0.7396694214876033,44
0,9,distance,manhattan,unused,6,24,24,0.4444444444444444,0.2857142857142857,0.5714285714285714,18
0,9,distance,manhattan,unused,6,25,25,0.6444444444444445,0.6363636363636364,0.7193675889328064,45
0,9,distance,manhattan,unused,6,26,26,0.4888888888888889,0.5818181818181818,0.5496031746031745,45
0,9,distance,manhattan,unused,6,27,27,0.4666666666666667,0.5862068965517241,0.5,45
0,9,distance,manhattan,unused,6,28,28,0.5111111111111111,0.47619047619047616,0.5434782608695652,45
0,9,distance,manhattan,unused,6,29,29,0.6888888888888889,0.7407407407407407,0.8478260869565217,45
0,9,distance,manhattan,unused,6,30,30,0.4888888888888889,0.14814814814814814,0.5952380952380952,45
0,9,distance,manhattan,unused,6,31,31,0.6444444444444445,0.7037037037037037,0.7035573122529645,45
0,9,distance,manhattan,unused,6,32,32,0.6363636363636364,0.6666666666666666,0.6542443064182195,44
0,9,distance,manhattan,unused,6,33,33,0.7111111111111111,0.6285714285714286,0.8142292490118577,45
0,9,distance,manhattan,unused,6,34,34,0.7111111111111111,0.7547169811320755,0.8253968253968254,45
0,9,distance,manhattan,unused,6,35,35,0.5333333333333333,0.5333333333333333,0.4486166007905138,45
0,9,distance,manhattan,unused,6,36,36,0.4090909090909091,0.4583333333333333,0.44834710743801653,44
0,9,distance,manhattan,unused,6,37,37,0.5111111111111111,0.0,0.4545454545454546,45
0,9,distance,manhattan,unused,6,38,38,0.4888888888888889,0.3783783783783784,0.4762845849802372,45
0,9,distance,manhattan,unused,6,39,39,0.4090909090909091,0.48,0.360248447204969,44
0,9,distance,manhattan,unused,6,40,40,0.5777777777777777,0.5777777777777777,0.5515873015873016,45
0,9,distance,manhattan,unused,6,41,41,0.6444444444444445,0.5789473684210527,0.6706349206349206,45
0,9,distance,manhattan,unused,6,42,42,0.7555555555555555,0.7659574468085106,0.8735177865612649,45
0,9,distance,manhattan,unused,6,43,43,0.5555555555555556,0.5,0.5671936758893281,45
0,9,distance,manhattan,unused,6,44,44,0.5172413793103449,0.46153846153846156,0.6190476190476191,29
0,9,distance,manhattan,unused,6,45,45,0.6222222222222222,0.5641025641025641,0.6047430830039526,45
0,9,distance,manhattan,unused,6,46,46,0.4888888888888889,0.5306122448979592,0.4426877470355731,45
0,9,distance,manhattan,unused,6,47,47,0.4888888888888889,0.5490196078431373,0.5476190476190476,45
0,9,distance,manhattan,unused,6,48,48,0.7058823529411765,0.7058823529411765,0.6714285714285715,17
0,9,distance,manhattan,unused,6,49,49,0.7777777777777778,0.782608695652174,0.8557312252964427,45
0,9,distance,manhattan,unused,6,50,50,0.7333333333333333,0.75,0.7766798418972332,45
0,9,distance,manhattan,unused,6,51,51,0.5333333333333333,0.0,0.4126984126984127,45
0,9,distance,manhattan,unused,6,52,52,0.7317073170731707,0.6857142857142857,0.7488038277511961,41
0,9,distance,manhattan,unused,6,53,53,0.5813953488372093,0.5,0.4696969696969697,43
0,9,distance,manhattan,unused,6,54,54,0.6153846153846154,0.6808510638297872,0.7554347826086957,39
0,9,distance,manhattan,unused,6,55,55,0.7111111111111111,0.6285714285714286,0.8774703557312253,45
0,9,distance,manhattan,unused,6,56,56,0.6818181818181818,0.65,0.7851239669421487,44
