rank,trial_number,n_neighbors,weights,metric,p,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
1,16,13,distance,euclidean,unused,6,0.5813954410812978,0.1035242849076786,0.5254058549227859,0.6166245956343991
2,18,13,distance,euclidean,unused,6,0.5813954410812978,0.1035242849076786,0.5254058549227859,0.6166245956343991
3,19,13,distance,euclidean,unused,6,0.5813954410812978,0.1035242849076786,0.5254058549227859,0.6166245956343991
4,20,13,distance,euclidean,unused,6,0.5813954410812978,0.1035242849076786,0.5254058549227859,0.6166245956343991
5,21,13,distance,euclidean,unused,6,0.5813954410812978,0.1035242849076786,0.5254058549227859,0.6166245956343991
6,22,13,distance,euclidean,unused,6,0.5813954410812978,0.1035242849076786,0.5254058549227859,0.6166245956343991
7,24,13,distance,euclidean,unused,6,0.5813954410812978,0.1035242849076786,0.5254058549227859,0.6166245956343991
8,25,13,distance,euclidean,unused,6,0.5813954410812978,0.1035242849076786,0.5254058549227859,0.6166245956343991
9,3,15,distance,minkowski,3,6,0.5810734390053236,0.10647062345389399,0.5259089899498601,0.6195676144768811
10,10,15,uniform,euclidean,unused,6,0.5787936849622527,0.10784432155372889,0.5225627862378177,0.6194370907910997
11,11,15,uniform,euclidean,unused,6,0.5787936849622527,0.10784432155372889,0.5225627862378177,0.6194370907910997
12,12,15,uniform,euclidean,unused,6,0.5787936849622527,0.10784432155372889,0.5225627862378177,0.6194370907910997
13,13,15,uniform,euclidean,unused,6,0.5787936849622527,0.10784432155372889,0.5225627862378177,0.6194370907910997
14,17,13,distance,minkowski,3,6,0.5782636953030684,0.10728311914830663,0.5251387113762116,0.6176511564328201
15,14,13,uniform,manhattan,unused,6,0.5775228210886074,0.09534569161329115,0.5226259977212788,0.6129193369465739
16,15,13,uniform,minkowski,3,6,0.5766855826038814,0.10762988656826757,0.5244548208640508,0.6164767387558563
17,27,15,distance,manhattan,unused,6,0.5759384974661214,0.10301638510536416,0.5181572385984718,0.6165068442532868
18,4,11,distance,minkowski,2,6,0.5758347550154481,0.10556083696302758,0.523409323130064,0.6157505415210281
19,23,11,distance,euclidean,unused,6,0.5758347550154481,0.10556083696302758,0.523409323130064,0.6157505415210281
20,26,11,distance,euclidean,unused,6,0.5758347550154481,0.10556083696302758,0.523409323130064,0.6157505415210281
21,9,9,distance,minkowski,3,6,0.5752868490145455,0.1051148210271695,0.5248419975308114,0.6083822660577127
22,1,11,uniform,minkowski,1,6,0.5744101507581016,0.10029166897814616,0.5223340846863537,0.6121543223218701
23,7,11,distance,minkowski,1,6,0.5741558869678828,0.09938844736632325,0.5208930262084874,0.6106445278822134
24,5,11,uniform,euclidean,unused,6,0.5740609437369629,0.10590973859708731,0.5204695222453454,0.6144342017330856
25,8,9,distance,minkowski,2,6,0.5724770432048812,0.10227181085820472,0.5221872393844159,0.6116039724308627
26,6,7,distance,manhattan,unused,6,0.5696952997394022,0.09520741917096588,0.5233965056679972,0.5954879159188524
27,28,7,distance,euclidean,unused,6,0.567050984104165,0.10113212442098124,0.5204275371484243,0.5983985870039334
28,0,9,distance,manhattan,unused,6,0.5665927899575421,0.09941919495278889,0.5134418458932191,0.6057304036830786
29,29,9,distance,manhattan,unused,6,0.5665927899575421,0.09941919495278889,0.5134418458932191,0.6057304036830786
30,2,5,distance,euclidean,unused,6,0.5604323585627722,0.09429957654191921,0.5179887524545675,0.5899374105078684
