rank,trial_number,n_neighbors,weights,metric,p,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
1,16,13,distance,euclidean,unused,6,0.5813954410812978,0.1035242849076786,0.5254058549227859,0.6166245956343991
2,18,13,distance,euclidean,unused,6,0.5813954410812978,0.1035242849076786,0.5254058549227859,0.6166245956343991
3,19,13,distance,euclidean,unused,6,0.5813954410812978,0.1035242849076786,0.5254058549227859,0.6166245956343991
4,20,13,distance,euclidean,unused,6,0.5813954410812978,0.1035242849076786,0.5254058549227859,0.6166245956343991
5,21,13,distance,euclidean,unused,6,0.5813954410812978,0.1035242849076786,0.5254058549227859,0.6166245956343991
6,22,13,distance,euclidean,unused,6,0.5813954410812978,0.1035242849076786,0.5254058549227859,0.6166245956343991
7,24,13,distance,euclidean,unused,6,0.5813954410812978,0.1035242849076786,0.5254058549227859,0.6166245956343991
8,25,13,distance,euclidean,unused,6,0.5813954410812978,0.1035242849076786,0.5254058549227859,0.6166245956343991
9,3,15,distance,minkowski,3,6,0.5810734390053236,0.10647062345389399,0.5259089899498601,0.6195676144768811
10,10,15,uniform,euclidean,unused,6,0.5787936849622527,0.10784432155372889,0.5225627862378177,0.6194370907910997
