parameter_name,parameter_value,n_neighbors,weights,metric,p,csp_components,fold,subject,accuracy,f1_score,roc_auc
metric,euclidean,5,distance,euclidean,2,6,1,1,0.4222222222222222,0.4090909090909091,0.4545454545454546
metric,euclidean,5,distance,euclidean,2,6,2,2,0.7555555555555555,0.6857142857142857,0.8162055335968379
metric,euclidean,5,distance,euclidean,2,6,3,3,0.4888888888888889,0.5490196078431373,0.46047430830039526
metric,euclidean,5,distance,euclidean,2,6,4,4,0.4666666666666667,0.14285714285714285,0.3883399209486165
metric,euclidean,5,distance,euclidean,2,6,5,5,0.4,0.425531914893617,0.4126984126984127
metric,euclidean,5,distance,euclidean,2,6,6,6,0.4888888888888889,0.20689655172413793,0.5376984126984127
metric,euclidean,5,distance,euclidean,2,6,7,7,0.5777777777777777,0.6779661016949152,0.6847826086956521
metric,euclidean,5,distance,euclidean,2,6,8,8,0.5555555555555556,0.5238095238095238,0.5533596837944664
metric,euclidean,5,distance,euclidean,2,6,9,9,0.4888888888888889,0.3783783783783784,0.43154761904761907
metric,euclidean,5,distance,euclidean,2,6,10,10,0.5555555555555556,0.5833333333333334,0.626984126984127
metric,euclidean,5,distance,euclidean,2,6,11,11,0.4666666666666667,0.5,0.5148221343873518
metric,euclidean,5,distance,euclidean,2,6,12,12,0.5555555555555556,0.5454545454545454,0.5873015873015873
metric,euclidean,5,distance,euclidean,2,6,13,13,0.45714285714285713,0.45714285714285713,0.607843137254902
metric,euclidean,5,distance,euclidean,2,6,14,14,0.5777777777777777,0.5581395348837209,0.6067193675889329
metric,euclidean,5,distance,euclidean,2,6,15,15,0.6444444444444445,0.7142857142857143,0.7322134387351777
metric,euclidean,5,distance,euclidean,2,6,16,16,0.5111111111111111,0.5,0.5632411067193676
metric,euclidean,5,distance,euclidean,2,6,17,17,0.5238095238095238,0.2857142857142857,0.41818181818181815
metric,euclidean,5,distance,euclidean,2,6,18,18,0.4444444444444444,0.5283018867924528,0.391304347826087
metric,euclidean,5,distance,euclidean,2,6,19,19,0.6,0.64,0.6086956521739131
metric,euclidean,5,distance,euclidean,2,6,20,20,0.6,0.4,0.5928853754940712
metric,euclidean,5,distance,euclidean,2,6,21,21,0.6,0.6086956521739131,0.6398809523809524
metric,euclidean,5,distance,euclidean,2,6,22,22,0.4222222222222222,0.5517241379310345,0.4644268774703557
metric,euclidean,5,distance,euclidean,2,6,23,23,0.6363636363636364,0.68,0.706611570247934
metric,euclidean,5,distance,euclidean,2,6,24,24,0.4444444444444444,0.2857142857142857,0.7142857142857143
metric,euclidean,5,distance,euclidean,2,6,25,25,0.6222222222222222,0.6222222222222222,0.6630434782608696
metric,euclidean,5,distance,euclidean,2,6,26,26,0.4888888888888889,0.5818181818181818,0.5555555555555556
metric,euclidean,5,distance,euclidean,2,6,27,27,0.4888888888888889,0.6101694915254238,0.4792490118577075
metric,euclidean,5,distance,euclidean,2,6,28,28,0.6222222222222222,0.6222222222222222,0.5770750988142292
metric,euclidean,5,distance,euclidean,2,6,29,29,0.6888888888888889,0.7407407407407407,0.8132411067193677
