parameter_name,parameter_value,n_neighbors,weights,metric,p,csp_components,fold,subject,accuracy,f1_score,roc_auc
n_neighbors,1,1,distance,minkowski,2,6,1,1,0.4222222222222222,0.43478260869565216,0.42292490118577075
n_neighbors,1,1,distance,minkowski,2,6,2,2,0.6888888888888889,0.631578947368421,0.6857707509881422
n_neighbors,1,1,distance,minkowski,2,6,3,3,0.37777777777777777,0.391304347826087,0.37845849802371545
n_neighbors,1,1,distance,minkowski,2,6,4,4,0.5111111111111111,0.21428571428571427,0.5029644268774702
n_neighbors,1,1,distance,minkowski,2,6,5,5,0.5555555555555556,0.5454545454545454,0.5595238095238095
n_neighbors,1,1,distance,minkowski,2,6,6,6,0.6666666666666666,0.5161290322580645,0.6488095238095237
n_neighbors,1,1,distance,minkowski,2,6,7,7,0.6222222222222222,0.7017543859649122,0.6284584980237155
n_neighbors,1,1,distance,minkowski,2,6,8,8,0.4222222222222222,0.3157894736842105,0.4258893280632411
n_neighbors,1,1,distance,minkowski,2,6,9,9,0.5111111111111111,0.45,0.5059523809523809
n_neighbors,1,1,distance,minkowski,2,6,10,10,0.4888888888888889,0.5306122448979592,0.49702380952380953
n_neighbors,1,1,distance,minkowski,2,6,11,11,0.4666666666666667,0.45454545454545453,0.466403162055336
n_neighbors,1,1,distance,minkowski,2,6,12,12,0.5333333333333333,0.5531914893617021,0.5327380952380952
n_neighbors,1,1,distance,minkowski,2,6,13,13,0.6857142857142857,0.6857142857142857,0.6862745098039217
n_neighbors,1,1,distance,minkowski,2,6,14,14,0.5555555555555556,0.5652173913043478,0.5553359683794465
n_neighbors,1,1,distance,minkowski,2,6,15,15,0.5111111111111111,0.6071428571428571,0.516798418972332
n_neighbors,1,1,distance,minkowski,2,6,16,16,0.4888888888888889,0.46511627906976744,0.49011857707509876
n_neighbors,1,1,distance,minkowski,2,6,17,17,0.5476190476190477,0.3870967741935484,0.5363636363636364
n_neighbors,1,1,distance,minkowski,2,6,18,18,0.3333333333333333,0.375,0.3320158102766798
n_neighbors,1,1,distance,minkowski,2,6,19,19,0.5111111111111111,0.5416666666666666,0.5128458498023716
n_neighbors,1,1,distance,minkowski,2,6,20,20,0.5777777777777777,0.3870967741935484,0.5711462450592886
n_neighbors,1,1,distance,minkowski,2,6,21,21,0.5777777777777777,0.5777777777777777,0.5803571428571429
n_neighbors,1,1,distance,minkowski,2,6,22,22,0.5111111111111111,0.5416666666666666,0.5098814229249011
n_neighbors,1,1,distance,minkowski,2,6,23,23,0.6590909090909091,0.6938775510204082,0.6590909090909091
n_neighbors,1,1,distance,minkowski,2,6,24,24,0.6111111111111112,0.5882352941176471,0.6558441558441559
n_neighbors,1,1,distance,minkowski,2,6,25,25,0.5555555555555556,0.6153846153846154,0.5523715415019763
n_neighbors,1,1,distance,minkowski,2,6,26,26,0.5555555555555556,0.6296296296296297,0.5714285714285714
n_neighbors,1,1,distance,minkowski,2,6,27,27,0.4444444444444444,0.4897959183673469,0.44664031620553357
n_neighbors,1,1,distance,minkowski,2,6,28,28,0.6,0.55,0.6027667984189723
n_neighbors,1,1,distance,minkowski,2,6,29,29,0.6222222222222222,0.711864406779661,0.6294466403162056
n_neighbors,1,1,distance,minkowski,2,6,30,30,0.5555555555555556,0.375,0.5386904761904762
n_neighbors,1,1,distance,minkowski,2,6,31,31,0.6444444444444445,0.6363636363636364,0.6452569169960475
n_neighbors,1,1,distance,minkowski,2,6,32,32,0.6136363636363636,0.6382978723404256,0.6118012422360248
n_neighbors,1,1,distance,minkowski,2,6,33,33,0.6222222222222222,0.5853658536585366,0.6205533596837944
n_neighbors,1,1,distance,minkowski,2,6,34,34,0.5777777777777777,0.6122448979591837,0.574404761904762
n_neighbors,1,1,distance,minkowski,2,6,35,35,0.37777777777777777,0.3,0.3804347826086957
n_neighbors,1,1,distance,minkowski,2,6,36,36,0.4318181818181818,0.4186046511627907,0.4318181818181819
n_neighbors,1,1,distance,minkowski,2,6,37,37,0.4888888888888889,0.30303030303030304,0.48320158102766797
n_neighbors,1,1,distance,minkowski,2,6,38,38,0.5555555555555556,0.4444444444444444,0.5513833992094861
n_neighbors,1,1,distance,minkowski,2,6,39,39,0.4090909090909091,0.4583333333333333,0.41407867494824013
n_neighbors,1,1,distance,minkowski,2,6,40,40,0.5111111111111111,0.5217391304347826,0.511904761904762
