parameter_name,parameter_value,n_neighbors,weights,metric,p,csp_components,fold,subject,accuracy,f1_score,roc_auc
p,1,5,distance,minkowski,1,6,1,1,0.4666666666666667,0.45454545454545453,0.4762845849802372
p,1,5,distance,minkowski,1,6,2,2,0.7333333333333333,0.6666666666666666,0.7411067193675889
p,1,5,distance,minkowski,1,6,3,3,0.4666666666666667,0.5384615384615384,0.4140316205533597
p,1,5,distance,minkowski,1,6,4,4,0.4888888888888889,0.14814814814814814,0.49703557312252966
p,1,5,distance,minkowski,1,6,5,5,0.4222222222222222,0.43478260869565216,0.4623015873015873
p,1,5,distance,minkowski,1,6,6,6,0.5777777777777777,0.3870967741935484,0.626984126984127
p,1,5,distance,minkowski,1,6,7,7,0.6222222222222222,0.7017543859649122,0.7114624505928854
p,1,5,distance,minkowski,1,6,8,8,0.5555555555555556,0.5,0.5909090909090909
p,1,5,distance,minkowski,1,6,9,9,0.5555555555555556,0.4117647058823529,0.503968253968254
p,1,5,distance,minkowski,1,6,10,10,0.5555555555555556,0.5833333333333334,0.5952380952380952
p,1,5,distance,minkowski,1,6,11,11,0.6,0.55,0.5197628458498024
p,1,5,distance,minkowski,1,6,12,12,0.6222222222222222,0.6222222222222222,0.628968253968254
p,1,5,distance,minkowski,1,6,13,13,0.5428571428571428,0.5294117647058824,0.6650326797385622
p,1,5,distance,minkowski,1,6,14,14,0.5333333333333333,0.5116279069767442,0.5770750988142292
p,1,5,distance,minkowski,1,6,15,15,0.5111111111111111,0.6333333333333333,0.7025691699604744
p,1,5,distance,minkowski,1,6,16,16,0.5333333333333333,0.5116279069767442,0.5296442687747036
p,1,5,distance,minkowski,1,6,17,17,0.5476190476190477,0.3870967741935484,0.4590909090909091
p,1,5,distance,minkowski,1,6,18,18,0.4,0.5263157894736842,0.4110671936758893
p,1,5,distance,minkowski,1,6,19,19,0.5555555555555556,0.5833333333333334,0.5592885375494071
p,1,5,distance,minkowski,1,6,20,20,0.5777777777777777,0.3870967741935484,0.650197628458498
p,1,5,distance,minkowski,1,6,21,21,0.6444444444444445,0.6666666666666666,0.673611111111111
p,1,5,distance,minkowski,1,6,22,22,0.4,0.49056603773584906,0.44664031620553357
p,1,5,distance,minkowski,1,6,23,23,0.6136363636363636,0.6792452830188679,0.7086776859504132
p,1,5,distance,minkowski,1,6,24,24,0.5,0.4,0.7532467532467532
p,1,5,distance,minkowski,1,6,25,25,0.6,0.5909090909090909,0.6166007905138341
p,1,5,distance,minkowski,1,6,26,26,0.5555555555555556,0.5833333333333334,0.5138888888888888
p,1,5,distance,minkowski,1,6,27,27,0.4444444444444444,0.576271186440678,0.5622529644268774
p,1,5,distance,minkowski,1,6,28,28,0.6666666666666666,0.6666666666666666,0.5711462450592886
p,1,5,distance,minkowski,1,6,29,29,0.6666666666666666,0.7169811320754716,0.8300395256916996
p,1,5,distance,minkowski,1,6,30,30,0.6444444444444445,0.5,0.5734126984126984
p,1,5,distance,minkowski,1,6,31,31,0.6666666666666666,0.7058823529411765,0.6521739130434783
p,1,5,distance,minkowski,1,6,32,32,0.6136363636363636,0.6222222222222222,0.6790890269151139
p,1,5,distance,minkowski,1,6,33,33,0.6444444444444445,0.5789473684210527,0.7252964426877471
p,1,5,distance,minkowski,1,6,34,34,0.7111111111111111,0.7346938775510204,0.7817460317460317
p,1,5,distance,minkowski,1,6,35,35,0.5333333333333333,0.5531914893617021,0.4841897233201581
p,1,5,distance,minkowski,1,6,36,36,0.4318181818181818,0.46808510638297873,0.4194214876033058
p,1,5,distance,minkowski,1,6,37,37,0.5111111111111111,0.0,0.4604743083003952
p,1,5,distance,minkowski,1,6,38,38,0.5111111111111111,0.3888888888888889,0.4782608695652174
p,1,5,distance,minkowski,1,6,39,39,0.4318181818181818,0.4897959183673469,0.37060041407867494
p,1,5,distance,minkowski,1,6,40,40,0.5777777777777777,0.5957446808510638,0.5555555555555556
p,1,5,distance,minkowski,1,6,41,41,0.5777777777777777,0.5581395348837209,0.6329365079365079
p,1,5,distance,minkowski,1,6,42,42,0.7777777777777778,0.7619047619047619,0.857707509881423
p,1,5,distance,minkowski,1,6,43,43,0.5333333333333333,0.5116279069767442,0.5464426877470355
p,1,5,distance,minkowski,1,6,44,44,0.5172413793103449,0.46153846153846156,0.6142857142857143
p,1,5,distance,minkowski,1,6,45,45,0.5555555555555556,0.5,0.6007905138339921
p,1,5,distance,minkowski,1,6,46,46,0.4444444444444444,0.46808510638297873,0.4565217391304348
p,1,5,distance,minkowski,1,6,47,47,0.5777777777777777,0.6415094339622641,0.5525793650793651
p,1,5,distance,minkowski,1,6,48,48,0.6470588235294118,0.6666666666666666,0.6214285714285714
p,1,5,distance,minkowski,1,6,49,49,0.7777777777777778,0.782608695652174,0.8300395256916996
p,1,5,distance,minkowski,1,6,50,50,0.6,0.625,0.6996047430830039
p,1,5,distance,minkowski,1,6,51,51,0.4888888888888889,0.08,0.31547619047619047
p,1,5,distance,minkowski,1,6,52,52,0.5853658536585366,0.5641025641025641,0.6901913875598087
p,1,5,distance,minkowski,1,6,53,53,0.5348837209302325,0.47368421052631576,0.5043290043290044
p,1,5,distance,minkowski,1,6,54,54,0.5641025641025641,0.6222222222222222,0.7527173913043478
p,1,5,distance,minkowski,1,6,55,55,0.6888888888888889,0.6111111111111112,0.7905138339920948
p,1,5,distance,minkowski,1,6,56,56,0.6818181818181818,0.631578947368421,0.7706611570247934
p,1,5,distance,minkowski,1,6,57,57,0.6222222222222222,0.6046511627906976,0.6527777777777778
p,1,5,distance,minkowski,1,6,58,58,0.6,0.47058823529411764,0.5714285714285714
p,1,5,distance,minkowski,1,6,59,59,0.4,0.2702702702702703,0.3849206349206349
p,1,5,distance,minkowski,1,6,60,60,0.7272727272727273,0.7142857142857143,0.8677685950413223
p,1,5,distance,minkowski,1,6,61,61,0.6744186046511628,0.5882352941176471,0.7424242424242424
p,1,5,distance,minkowski,1,6,62,62,0.7333333333333333,0.7142857142857143,0.8122529644268776
p,1,5,distance,minkowski,1,6,63,63,0.5116279069767442,0.3225806451612903,0.6114718614718615
p,1,5,distance,minkowski,1,6,64,64,0.6222222222222222,0.6382978723404256,0.5889328063241107
p,1,5,distance,minkowski,1,6,65,65,0.4444444444444444,0.46808510638297873,0.5466269841269841
p,1,5,distance,minkowski,1,6,66,66,0.5333333333333333,0.5116279069767442,0.5592885375494071
p,1,5,distance,minkowski,1,6,67,67,0.5111111111111111,0.15384615384615385,0.4891304347826087
p,1,5,distance,minkowski,1,6,68,68,0.5777777777777777,0.45714285714285713,0.6472332015810277
p,1,5,distance,minkowski,1,6,69,69,0.4888888888888889,0.41025641025641024,0.49404761904761907
p,1,5,distance,minkowski,1,6,70,70,0.5111111111111111,0.45,0.49308300395256915
p,1,5,distance,minkowski,1,6,71,71,0.5333333333333333,0.36363636363636365,0.38537549407114624
p,1,5,distance,minkowski,1,6,72,72,0.6444444444444445,0.5555555555555556,0.8260869565217391
p,1,5,distance,minkowski,1,6,73,73,0.6222222222222222,0.37037037037037035,0.7114624505928854
p,1,5,distance,minkowski,1,6,74,74,0.4888888888888889,0.43902439024390244,0.5456349206349206
p,1,5,distance,minkowski,1,6,75,75,0.7073170731707317,0.6842105263157895,0.6988095238095238
p,1,5,distance,minkowski,1,6,76,76,0.5777777777777777,0.6122448979591837,0.6264822134387351
p,1,5,distance,minkowski,1,6,77,77,0.6222222222222222,0.6909090909090909,0.5982142857142857
p,1,5,distance,minkowski,1,6,78,78,0.5555555555555556,0.6153846153846154,0.5286561264822134
p,1,5,distance,minkowski,1,6,79,79,0.625,0.5714285714285714,0.6074999999999999
p,1,5,distance,minkowski,1,6,80,80,0.5555555555555556,0.3333333333333333,0.5098814229249011
p,1,5,distance,minkowski,1,6,81,81,0.5111111111111111,0.3125,0.46837944664031617
p,1,5,distance,minkowski,1,6,82,82,0.5777777777777777,0.6779661016949152,0.6067193675889329
p,1,5,distance,minkowski,1,6,83,83,0.5263157894736842,0.3076923076923077,0.4155124653739612
p,1,5,distance,minkowski,1,6,84,84,0.6363636363636364,0.6190476190476191,0.6159420289855073
p,1,5,distance,minkowski,1,6,85,85,0.6818181818181818,0.75,0.7318840579710145
p,1,5,distance,minkowski,1,6,86,86,0.5681818181818182,0.5365853658536586,0.6335403726708074
p,1,5,distance,minkowski,1,6,87,87,0.5555555555555556,0.6296296296296297,0.5691699604743083
p,1,5,distance,minkowski,1,6,88,88,0.4909090909090909,0.3,0.5317460317460317
p,1,5,distance,minkowski,1,6,89,89,0.5777777777777777,0.6415094339622641,0.6815476190476191
p,1,5,distance,minkowski,1,6,90,90,0.4222222222222222,0.35,0.4100790513833992
p,1,5,distance,minkowski,1,6,91,91,0.5909090909090909,0.6785714285714286,0.6621900826446281
p,1,5,distance,minkowski,1,6,92,92,0.5178571428571429,0.4489795918367347,0.5448717948717948
p,1,5,distance,minkowski,1,6,93,93,0.6222222222222222,0.6530612244897959,0.7154150197628458
p,1,5,distance,minkowski,1,6,94,94,0.8409090909090909,0.8679245283018868,0.8913043478260869
p,1,5,distance,minkowski,1,6,95,95,0.6071428571428571,0.6206896551724138,0.5677083333333333
p,1,5,distance,minkowski,1,6,96,96,0.5952380952380952,0.6792452830188679,0.6281179138321995
p,1,5,distance,minkowski,1,6,97,97,0.5227272727272727,0.4,0.4865702479338843
p,1,5,distance,minkowski,1,6,98,98,0.6444444444444445,0.7241379310344828,0.5810276679841897
p,1,5,distance,minkowski,1,6,99,99,0.5116279069767442,0.4,0.551948051948052
p,1,5,distance,minkowski,1,6,100,100,0.6111111111111112,0.6666666666666666,0.5925925925925926
p,1,5,distance,minkowski,1,6,101,101,0.4444444444444444,0.3902439024390244,0.4278656126482213
p,1,5,distance,minkowski,1,6,102,102,0.5555555555555556,0.5,0.567193675889328
p,1,5,distance,minkowski,1,6,103,103,0.627906976744186,0.5789473684210527,0.6926406926406926
p,1,5,distance,minkowski,1,6,104,104,0.46511627906976744,0.4888888888888889,0.44588744588744583
p,1,5,distance,minkowski,1,6,105,105,0.5555555555555556,0.5238095238095238,0.48023715415019763
p,1,5,distance,minkowski,1,6,106,106,0.5333333333333333,0.5333333333333333,0.5456349206349206
p,1,5,distance,minkowski,1,6,107,107,0.37777777777777777,0.44,0.3759920634920635
p,1,5,distance,minkowski,1,6,108,108,0.6444444444444445,0.6190476190476191,0.6808300395256917
p,2,5,distance,minkowski,2,6,1,1,0.4222222222222222,0.4090909090909091,0.4545454545454546
p,2,5,distance,minkowski,2,6,2,2,0.7555555555555555,0.6857142857142857,0.8162055335968379
p,2,5,distance,minkowski,2,6,3,3,0.4888888888888889,0.5490196078431373,0.46047430830039526
p,2,5,distance,minkowski,2,6,4,4,0.4666666666666667,0.14285714285714285,0.3883399209486165
p,2,5,distance,minkowski,2,6,5,5,0.4,0.425531914893617,0.4126984126984127
p,2,5,distance,minkowski,2,6,6,6,0.4888888888888889,0.20689655172413793,0.5376984126984127
p,2,5,distance,minkowski,2,6,7,7,0.5777777777777777,0.6779661016949152,0.6847826086956521
p,2,5,distance,minkowski,2,6,8,8,0.5555555555555556,0.5238095238095238,0.5533596837944664
p,2,5,distance,minkowski,2,6,9,9,0.4888888888888889,0.3783783783783784,0.43154761904761907
p,2,5,distance,minkowski,2,6,10,10,0.5555555555555556,0.5833333333333334,0.626984126984127
p,2,5,distance,minkowski,2,6,11,11,0.4666666666666667,0.5,0.5148221343873518
p,2,5,distance,minkowski,2,6,12,12,0.5555555555555556,0.5454545454545454,0.5873015873015873
p,2,5,distance,minkowski,2,6,13,13,0.45714285714285713,0.45714285714285713,0.607843137254902
p,2,5,distance,minkowski,2,6,14,14,0.5777777777777777,0.5581395348837209,0.6067193675889329
p,2,5,distance,minkowski,2,6,15,15,0.6444444444444445,0.7142857142857143,0.7322134387351777
p,2,5,distance,minkowski,2,6,16,16,0.5111111111111111,0.5,0.5632411067193676
p,2,5,distance,minkowski,2,6,17,17,0.5238095238095238,0.2857142857142857,0.41818181818181815
p,2,5,distance,minkowski,2,6,18,18,0.4444444444444444,0.5283018867924528,0.391304347826087
p,2,5,distance,minkowski,2,6,19,19,0.6,0.64,0.6086956521739131
p,2,5,distance,minkowski,2,6,20,20,0.6,0.4,0.5928853754940712
p,2,5,distance,minkowski,2,6,21,21,0.6,0.6086956521739131,0.6398809523809524
p,2,5,distance,minkowski,2,6,22,22,0.4222222222222222,0.5517241379310345,0.4644268774703557
p,2,5,distance,minkowski,2,6,23,23,0.6363636363636364,0.68,0.706611570247934
p,2,5,distance,minkowski,2,6,24,24,0.4444444444444444,0.2857142857142857,0.7142857142857143
p,2,5,distance,minkowski,2,6,25,25,0.6222222222222222,0.6222222222222222,0.6630434782608696
p,2,5,distance,minkowski,2,6,26,26,0.4888888888888889,0.5818181818181818,0.5555555555555556
p,2,5,distance,minkowski,2,6,27,27,0.4888888888888889,0.6101694915254238,0.4792490118577075
p,2,5,distance,minkowski,2,6,28,28,0.6222222222222222,0.6222222222222222,0.5770750988142292
p,2,5,distance,minkowski,2,6,29,29,0.6888888888888889,0.7407407407407407,0.8132411067193677
p,2,5,distance,minkowski,2,6,30,30,0.5111111111111111,0.15384615384615385,0.5704365079365079
p,2,5,distance,minkowski,2,6,31,31,0.7111111111111111,0.7346938775510204,0.6996047430830039
p,2,5,distance,minkowski,2,6,32,32,0.6363636363636364,0.6666666666666666,0.6790890269151139
p,2,5,distance,minkowski,2,6,33,33,0.6444444444444445,0.5555555555555556,0.7252964426877471
p,2,5,distance,minkowski,2,6,34,34,0.7333333333333333,0.76,0.7559523809523809
p,2,5,distance,minkowski,2,6,35,35,0.5333333333333333,0.4878048780487805,0.47134387351778656
p,2,5,distance,minkowski,2,6,36,36,0.4090909090909091,0.4583333333333333,0.42355371900826444
p,2,5,distance,minkowski,2,6,37,37,0.5111111111111111,0.0,0.4051383399209486
p,2,5,distance,minkowski,2,6,38,38,0.5333333333333333,0.4,0.4565217391304348
p,2,5,distance,minkowski,2,6,39,39,0.38636363636363635,0.4489795918367347,0.40165631469979296
p,2,5,distance,minkowski,2,6,40,40,0.5555555555555556,0.5833333333333334,0.48611111111111116
p,2,5,distance,minkowski,2,6,41,41,0.5777777777777777,0.5365853658536586,0.6329365079365079
p,2,5,distance,minkowski,2,6,42,42,0.7777777777777778,0.7916666666666666,0.8656126482213439
p,2,5,distance,minkowski,2,6,43,43,0.6,0.5714285714285714,0.624505928853755
p,2,5,distance,minkowski,2,6,44,44,0.4827586206896552,0.4444444444444444,0.5738095238095239
p,2,5,distance,minkowski,2,6,45,45,0.6,0.5714285714285714,0.5889328063241106
p,2,5,distance,minkowski,2,6,46,46,0.4888888888888889,0.5306122448979592,0.47332015810276684
p,2,5,distance,minkowski,2,6,47,47,0.5555555555555556,0.6153846153846154,0.5505952380952381
p,2,5,distance,minkowski,2,6,48,48,0.5882352941176471,0.631578947368421,0.6000000000000001
p,2,5,distance,minkowski,2,6,49,49,0.8,0.7804878048780488,0.8537549407114624
p,2,5,distance,minkowski,2,6,50,50,0.6,0.6785714285714286,0.7430830039525691
p,2,5,distance,minkowski,2,6,51,51,0.4666666666666667,0.0,0.3472222222222222
p,2,5,distance,minkowski,2,6,52,52,0.6585365853658537,0.5882352941176471,0.6770334928229665
p,2,5,distance,minkowski,2,6,53,53,0.4883720930232558,0.42105263157894735,0.5487012987012987
p,2,5,distance,minkowski,2,6,54,54,0.6410256410256411,0.6818181818181818,0.7758152173913043
p,2,5,distance,minkowski,2,6,55,55,0.6444444444444445,0.5789473684210527,0.8043478260869565
p,2,5,distance,minkowski,2,6,56,56,0.7045454545454546,0.6666666666666666,0.7272727272727272
p,2,5,distance,minkowski,2,6,57,57,0.6,0.6086956521739131,0.6527777777777778
p,2,5,distance,minkowski,2,6,58,58,0.5777777777777777,0.4864864864864865,0.4880952380952381
p,2,5,distance,minkowski,2,6,59,59,0.4222222222222222,0.23529411764705882,0.3869047619047619
p,2,5,distance,minkowski,2,6,60,60,0.7272727272727273,0.7,0.8202479338842975
p,2,5,distance,minkowski,2,6,61,61,0.6976744186046512,0.6285714285714286,0.8225108225108225
p,2,5,distance,minkowski,2,6,62,62,0.8,0.7428571428571429,0.7845849802371541
p,2,5,distance,minkowski,2,6,63,63,0.5348837209302325,0.16666666666666666,0.5476190476190477
p,2,5,distance,minkowski,2,6,64,64,0.6888888888888889,0.6818181818181818,0.6946640316205535
p,2,5,distance,minkowski,2,6,65,65,0.5333333333333333,0.46153846153846156,0.5089285714285714
p,2,5,distance,minkowski,2,6,66,66,0.4666666666666667,0.45454545454545453,0.5652173913043479
p,2,5,distance,minkowski,2,6,67,67,0.5111111111111111,0.21428571428571427,0.5158102766798419
p,2,5,distance,minkowski,2,6,68,68,0.5333333333333333,0.36363636363636365,0.6146245059288536
p,2,5,distance,minkowski,2,6,69,69,0.5111111111111111,0.45,0.5466269841269842
p,2,5,distance,minkowski,2,6,70,70,0.6,0.55,0.591897233201581
p,2,5,distance,minkowski,2,6,71,71,0.5111111111111111,0.35294117647058826,0.39920948616600793
p,2,5,distance,minkowski,2,6,72,72,0.6444444444444445,0.5789473684210527,0.8517786561264822
p,2,5,distance,minkowski,2,6,73,73,0.6222222222222222,0.45161290322580644,0.717391304347826
p,2,5,distance,minkowski,2,6,74,74,0.6222222222222222,0.6046511627906976,0.7083333333333334
p,2,5,distance,minkowski,2,6,75,75,0.5853658536585366,0.5405405405405406,0.5797619047619048
p,2,5,distance,minkowski,2,6,76,76,0.5111111111111111,0.5925925925925926,0.5474308300395258
p,2,5,distance,minkowski,2,6,77,77,0.6,0.6538461538461539,0.6378968253968254
p,2,5,distance,minkowski,2,6,78,78,0.5555555555555556,0.6,0.49703557312252966
p,2,5,distance,minkowski,2,6,79,79,0.5,0.5238095238095238,0.655
p,2,5,distance,minkowski,2,6,80,80,0.5555555555555556,0.3333333333333333,0.49209486166007904
p,2,5,distance,minkowski,2,6,81,81,0.4666666666666667,0.0,0.49011857707509876
p,2,5,distance,minkowski,2,6,82,82,0.5555555555555556,0.6666666666666666,0.6551383399209485
p,2,5,distance,minkowski,2,6,83,83,0.4473684210526316,0.16,0.389196675900277
p,2,5,distance,minkowski,2,6,84,84,0.6136363636363636,0.6046511627906976,0.639751552795031
p,2,5,distance,minkowski,2,6,85,85,0.6136363636363636,0.6792452830188679,0.675983436853002
p,2,5,distance,minkowski,2,6,86,86,0.5909090909090909,0.5714285714285714,0.7070393374741201
p,2,5,distance,minkowski,2,6,87,87,0.5555555555555556,0.6296296296296297,0.5741106719367588
p,2,5,distance,minkowski,2,6,88,88,0.45454545454545453,0.34782608695652173,0.5105820105820107
p,2,5,distance,minkowski,2,6,89,89,0.6,0.6785714285714286,0.6666666666666666
p,2,5,distance,minkowski,2,6,90,90,0.37777777777777777,0.3333333333333333,0.3952569169960475
p,2,5,distance,minkowski,2,6,91,91,0.5454545454545454,0.6296296296296297,0.65599173553719
p,2,5,distance,minkowski,2,6,92,92,0.48214285714285715,0.4528301886792453,0.5102564102564103
p,2,5,distance,minkowski,2,6,93,93,0.6444444444444445,0.68,0.7233201581027668
