parameter_name,parameter_value,n_neighbors,weights,metric,p,csp_components,fold,subject,accuracy,f1_score,roc_auc
weights,uniform,5,uniform,minkowski,2,6,1,1,0.4222222222222222,0.4090909090909091,0.5049407114624507
weights,uniform,5,uniform,minkowski,2,6,2,2,0.7555555555555555,0.6857142857142857,0.841897233201581
weights,uniform,5,uniform,minkowski,2,6,3,3,0.4888888888888889,0.5490196078431373,0.5177865612648221
weights,uniform,5,uniform,minkowski,2,6,4,4,0.4666666666666667,0.14285714285714285,0.400197628458498
weights,uniform,5,uniform,minkowski,2,6,5,5,0.4,0.425531914893617,0.38591269841269843
weights,uniform,5,uniform,minkowski,2,6,6,6,0.4888888888888889,0.20689655172413793,0.5367063492063492
weights,uniform,5,uniform,minkowski,2,6,7,7,0.5777777777777777,0.6779661016949152,0.6235177865612649
weights,uniform,5,uniform,minkowski,2,6,8,8,0.6,0.55,0.5632411067193677
weights,uniform,5,uniform,minkowski,2,6,9,9,0.4888888888888889,0.3783783783783784,0.4543650793650793
weights,uniform,5,uniform,minkowski,2,6,10,10,0.5777777777777777,0.6122448979591837,0.6537698412698413
weights,uniform,5,uniform,minkowski,2,6,11,11,0.4666666666666667,0.5,0.5227272727272727
weights,uniform,5,uniform,minkowski,2,6,12,12,0.5555555555555556,0.5454545454545454,0.5714285714285714
weights,uniform,5,uniform,minkowski,2,6,13,13,0.4857142857142857,0.5,0.5882352941176471
weights,uniform,5,uniform,minkowski,2,6,14,14,0.6,0.5714285714285714,0.6126482213438735
weights,uniform,5,uniform,minkowski,2,6,15,15,0.6444444444444445,0.7142857142857143,0.7420948616600791
weights,uniform,5,uniform,minkowski,2,6,16,16,0.5111111111111111,0.5,0.5444664031620553
weights,uniform,5,uniform,minkowski,2,6,17,17,0.5238095238095238,0.2857142857142857,0.38409090909090904
weights,uniform,5,uniform,minkowski,2,6,18,18,0.4444444444444444,0.5283018867924528,0.37845849802371545
weights,uniform,5,uniform,minkowski,2,6,19,19,0.5777777777777777,0.6122448979591837,0.58399209486166
weights,uniform,5,uniform,minkowski,2,6,20,20,0.6,0.4,0.5770750988142292
weights,uniform,5,uniform,minkowski,2,6,21,21,0.6222222222222222,0.6382978723404256,0.6259920634920635
weights,uniform,5,uniform,minkowski,2,6,22,22,0.4222222222222222,0.5517241379310345,0.46442687747035566
weights,uniform,5,uniform,minkowski,2,6,23,23,0.6363636363636364,0.68,0.6880165289256198
weights,uniform,5,uniform,minkowski,2,6,24,24,0.4444444444444444,0.2857142857142857,0.7272727272727273
weights,uniform,5,uniform,minkowski,2,6,25,25,0.6222222222222222,0.6222222222222222,0.6472332015810277
weights,uniform,5,uniform,minkowski,2,6,26,26,0.4888888888888889,0.5818181818181818,0.503968253968254
weights,uniform,5,uniform,minkowski,2,6,27,27,0.5111111111111111,0.6333333333333333,0.4614624505928854
weights,uniform,5,uniform,minkowski,2,6,28,28,0.6222222222222222,0.6222222222222222,0.5533596837944663
weights,uniform,5,uniform,minkowski,2,6,29,29,0.6888888888888889,0.7407407407407407,0.8053359683794467
weights,uniform,5,uniform,minkowski,2,6,30,30,0.5111111111111111,0.15384615384615385,0.5803571428571428
weights,uniform,5,uniform,minkowski,2,6,31,31,0.7111111111111111,0.7346938775510204,0.7223320158102766
weights,uniform,5,uniform,minkowski,2,6,32,32,0.6136363636363636,0.6530612244897959,0.6770186335403727
weights,uniform,5,uniform,minkowski,2,6,33,33,0.6222222222222222,0.5405405405405406,0.7035573122529645
weights,uniform,5,uniform,minkowski,2,6,34,34,0.7333333333333333,0.76,0.7876984126984127
weights,uniform,5,uniform,minkowski,2,6,35,35,0.5333333333333333,0.4878048780487805,0.5029644268774703
weights,uniform,5,uniform,minkowski,2,6,36,36,0.4318181818181818,0.4897959183673469,0.4390495867768595
weights,uniform,5,uniform,minkowski,2,6,37,37,0.5111111111111111,0.0,0.5
weights,uniform,5,uniform,minkowski,2,6,38,38,0.5333333333333333,0.4,0.45059288537549413
weights,uniform,5,uniform,minkowski,2,6,39,39,0.4090909090909091,0.48,0.4233954451345756
weights,uniform,5,uniform,minkowski,2,6,40,40,0.5555555555555556,0.5833333333333334,0.501984126984127
weights,uniform,5,uniform,minkowski,2,6,41,41,0.5777777777777777,0.5365853658536586,0.6061507936507937
weights,uniform,5,uniform,minkowski,2,6,42,42,0.7777777777777778,0.7916666666666666,0.8537549407114624
weights,uniform,5,uniform,minkowski,2,6,43,43,0.6,0.5714285714285714,0.6156126482213439
weights,uniform,5,uniform,minkowski,2,6,44,44,0.4827586206896552,0.4444444444444444,0.5642857142857144
weights,uniform,5,uniform,minkowski,2,6,45,45,0.5777777777777777,0.5365853658536586,0.6027667984189724
weights,uniform,5,uniform,minkowski,2,6,46,46,0.5111111111111111,0.5416666666666666,0.48320158102766797
weights,uniform,5,uniform,minkowski,2,6,47,47,0.5555555555555556,0.6153846153846154,0.5446428571428571
weights,uniform,5,uniform,minkowski,2,6,48,48,0.5882352941176471,0.631578947368421,0.6
weights,uniform,5,uniform,minkowski,2,6,49,49,0.8,0.7804878048780488,0.8666007905138339
weights,uniform,5,uniform,minkowski,2,6,50,50,0.6,0.6785714285714286,0.7430830039525692
weights,uniform,5,uniform,minkowski,2,6,51,51,0.4666666666666667,0.0,0.39583333333333337
weights,uniform,5,uniform,minkowski,2,6,52,52,0.6585365853658537,0.5882352941176471,0.6758373205741627
weights,uniform,5,uniform,minkowski,2,6,53,53,0.5348837209302325,0.4444444444444444,0.5238095238095238
weights,uniform,5,uniform,minkowski,2,6,54,54,0.6410256410256411,0.6818181818181818,0.7377717391304348
weights,uniform,5,uniform,minkowski,2,6,55,55,0.6444444444444445,0.5789473684210527,0.7796442687747035
weights,uniform,5,uniform,minkowski,2,6,56,56,0.7045454545454546,0.6666666666666666,0.7045454545454546
weights,uniform,5,uniform,minkowski,2,6,57,57,0.6222222222222222,0.6382978723404256,0.6577380952380952
weights,uniform,5,uniform,minkowski,2,6,58,58,0.5777777777777777,0.4864864864864865,0.4890873015873015
weights,uniform,5,uniform,minkowski,2,6,59,59,0.4222222222222222,0.23529411764705882,0.4107142857142857
weights,uniform,5,uniform,minkowski,2,6,60,60,0.7272727272727273,0.7,0.7954545454545455
weights,uniform,5,uniform,minkowski,2,6,61,61,0.6976744186046512,0.6285714285714286,0.800865800865801
weights,uniform,5,uniform,minkowski,2,6,62,62,0.8,0.7428571428571429,0.7608695652173914
weights,uniform,5,uniform,minkowski,2,6,63,63,0.5348837209302325,0.16666666666666666,0.5768398268398269
weights,uniform,5,uniform,minkowski,2,6,64,64,0.6888888888888889,0.6818181818181818,0.6897233201581027
weights,uniform,5,uniform,minkowski,2,6,65,65,0.5333333333333333,0.46153846153846156,0.5079365079365079
weights,uniform,5,uniform,minkowski,2,6,66,66,0.4666666666666667,0.45454545454545453,0.5088932806324111
weights,uniform,5,uniform,minkowski,2,6,67,67,0.5333333333333333,0.2222222222222222,0.5227272727272727
weights,uniform,5,uniform,minkowski,2,6,68,68,0.5111111111111111,0.3125,0.5553359683794467
weights,uniform,5,uniform,minkowski,2,6,69,69,0.5555555555555556,0.47368421052631576,0.5882936507936507
weights,uniform,5,uniform,minkowski,2,6,70,70,0.6,0.5714285714285714,0.6126482213438735
weights,uniform,5,uniform,minkowski,2,6,71,71,0.5111111111111111,0.35294117647058826,0.42885375494071143
weights,uniform,5,uniform,minkowski,2,6,72,72,0.6444444444444445,0.5789473684210527,0.8181818181818181
weights,uniform,5,uniform,minkowski,2,6,73,73,0.6222222222222222,0.45161290322580644,0.724308300395257
weights,uniform,5,uniform,minkowski,2,6,74,74,0.6222222222222222,0.6046511627906976,0.6875
weights,uniform,5,uniform,minkowski,2,6,75,75,0.5853658536585366,0.5641025641025641,0.5702380952380953
weights,uniform,5,uniform,minkowski,2,6,76,76,0.5111111111111111,0.5925925925925926,0.4970355731225296
weights,uniform,5,uniform,minkowski,2,6,77,77,0.6222222222222222,0.6792452830188679,0.6240079365079365
weights,uniform,5,uniform,minkowski,2,6,78,78,0.5555555555555556,0.6,0.5355731225296443
weights,uniform,5,uniform,minkowski,2,6,79,79,0.5,0.5238095238095238,0.6499999999999999
weights,uniform,5,uniform,minkowski,2,6,80,80,0.5555555555555556,0.3333333333333333,0.5108695652173914
weights,uniform,5,uniform,minkowski,2,6,81,81,0.4666666666666667,0.0,0.5464426877470355
