parameter_name,parameter_value,solver,shrinkage,csp_components,fold,subject,accuracy,f1_score,roc_auc
csp_components,4,lsqr,auto,4,1,1,0.7333333333333333,0.7857142857142857,0.8438735177865613
csp_components,4,lsqr,auto,4,2,2,0.6888888888888889,0.5333333333333333,0.8893280632411067
csp_components,4,lsqr,auto,4,3,3,0.4666666666666667,0.42857142857142855,0.44664031620553357
csp_components,4,lsqr,auto,4,4,4,0.4888888888888889,0.6567164179104478,0.8003952569169961
csp_components,4,lsqr,auto,4,5,5,0.4888888888888889,0.6567164179104478,0.3492063492063492
csp_components,4,lsqr,auto,4,6,6,0.5555555555555556,0.09090909090909091,0.503968253968254
csp_components,4,lsqr,auto,4,7,7,0.7111111111111111,0.7719298245614035,0.9901185770750989
csp_components,4,lsqr,auto,4,8,8,0.6444444444444445,0.7037037037037037,0.6837944664031621
csp_components,4,lsqr,auto,4,9,9,0.6,0.5909090909090909,0.5436507936507936
csp_components,4,lsqr,auto,4,10,10,0.6,0.5714285714285714,0.6884920634920635
csp_components,4,lsqr,auto,4,11,11,0.4,0.5573770491803278,0.43478260869565216
csp_components,4,lsqr,auto,4,12,12,0.6444444444444445,0.6521739130434783,0.6904761904761905
csp_components,4,lsqr,auto,4,13,13,0.7714285714285715,0.7894736842105263,0.8986928104575165
csp_components,4,lsqr,auto,4,14,14,0.6888888888888889,0.7407407407407407,0.7984189723320159
csp_components,4,lsqr,auto,4,15,15,0.5333333333333333,0.676923076923077,0.9565217391304348
csp_components,4,lsqr,auto,4,16,16,0.5111111111111111,0.6764705882352942,0.7292490118577075
csp_components,4,lsqr,auto,4,17,17,0.5238095238095238,0.0,0.5772727272727274
csp_components,4,lsqr,auto,4,18,18,0.5111111111111111,0.6764705882352942,0.4051383399209486
csp_components,4,lsqr,auto,4,19,19,0.6666666666666666,0.7457627118644068,0.8379446640316206
csp_components,4,lsqr,auto,4,20,20,0.5333333333333333,0.3225806451612903,0.5830039525691699
csp_components,4,lsqr,auto,4,21,21,0.4666666666666667,0.6,0.7341269841269841
csp_components,4,lsqr,auto,4,22,22,0.5333333333333333,0.6865671641791045,0.733201581027668
csp_components,4,lsqr,auto,4,23,23,0.6590909090909091,0.7368421052631579,0.8512396694214877
csp_components,4,lsqr,auto,4,24,24,0.5,0.3076923076923077,0.5844155844155845
csp_components,4,lsqr,auto,4,25,25,0.6,0.7,0.7549407114624506
csp_components,4,lsqr,auto,4,26,26,0.6444444444444445,0.7241379310344828,0.7797619047619048
csp_components,4,lsqr,auto,4,27,27,0.4888888888888889,0.6349206349206349,0.5968379446640316
csp_components,4,lsqr,auto,4,28,28,0.5555555555555556,0.4117647058823529,0.5612648221343873
csp_components,4,lsqr,auto,4,29,29,0.7333333333333333,0.7857142857142857,1.0
csp_components,4,lsqr,auto,4,30,30,0.5111111111111111,0.08333333333333333,0.6706349206349206
csp_components,4,lsqr,auto,4,31,31,0.8666666666666667,0.875,0.958498023715415
csp_components,4,lsqr,auto,4,32,32,0.7727272727272727,0.8214285714285714,0.958592132505176
csp_components,4,lsqr,auto,4,33,33,0.7333333333333333,0.6666666666666666,0.8557312252964426
csp_components,4,lsqr,auto,4,34,34,0.8666666666666667,0.8888888888888888,0.9801587301587302
csp_components,4,lsqr,auto,4,35,35,0.6888888888888889,0.5625,0.8675889328063241
csp_components,4,lsqr,auto,4,36,36,0.45454545454545453,0.5714285714285714,0.3677685950413223
csp_components,4,lsqr,auto,4,37,37,0.5111111111111111,0.0,0.5810276679841897
csp_components,4,lsqr,auto,4,38,38,0.5555555555555556,0.4444444444444444,0.5849802371541503
csp_components,4,lsqr,auto,4,39,39,0.5,0.42105263157894735,0.4824016563146998
csp_components,4,lsqr,auto,4,40,40,0.4666666666666667,0.3684210526315789,0.5238095238095238
csp_components,4,lsqr,auto,4,41,41,0.7777777777777778,0.7368421052631579,0.7936507936507937
csp_components,4,lsqr,auto,4,42,42,0.9111111111111111,0.9090909090909091,0.9762845849802372
csp_components,4,lsqr,auto,4,43,43,0.8,0.7428571428571429,0.9169960474308301
csp_components,4,lsqr,auto,4,44,44,0.6551724137931034,0.5833333333333334,0.8571428571428571
csp_components,4,lsqr,auto,4,45,45,0.5333333333333333,0.2222222222222222,0.7628458498023716
csp_components,4,lsqr,auto,4,46,46,0.7555555555555555,0.7027027027027027,0.7292490118577075
csp_components,4,lsqr,auto,4,47,47,0.4888888888888889,0.6461538461538462,0.626984126984127
csp_components,4,lsqr,auto,4,48,48,0.7647058823529411,0.75,0.9571428571428571
csp_components,4,lsqr,auto,4,49,49,0.8666666666666667,0.8636363636363636,0.9486166007905139
csp_components,4,lsqr,auto,4,50,50,0.5333333333333333,0.27586206896551724,0.6264822134387351
csp_components,4,lsqr,auto,4,51,51,0.5777777777777777,0.17391304347826086,0.5416666666666666
csp_components,4,lsqr,auto,4,52,52,0.7317073170731707,0.6206896551724138,0.8229665071770335
csp_components,4,lsqr,auto,4,53,53,0.5813953488372093,0.5714285714285714,0.5541125541125542
csp_components,4,lsqr,auto,4,54,54,0.6153846153846154,0.6666666666666666,0.782608695652174
csp_components,4,lsqr,auto,4,55,55,0.7555555555555555,0.7843137254901961,0.9189723320158103
csp_components,4,lsqr,auto,4,56,56,0.8181818181818182,0.84,0.9132231404958677
csp_components,4,lsqr,auto,4,57,57,0.6,0.6538461538461539,0.6964285714285714
csp_components,4,lsqr,auto,4,58,58,0.6222222222222222,0.6046511627906976,0.6825396825396826
csp_components,4,lsqr,auto,4,59,59,0.5333333333333333,0.0,0.4503968253968254
csp_components,4,lsqr,auto,4,60,60,0.8181818181818182,0.8333333333333334,0.902892561983471
csp_components,4,lsqr,auto,4,61,61,0.7209302325581395,0.7142857142857143,0.8419913419913421
csp_components,4,lsqr,auto,4,62,62,0.9555555555555556,0.9565217391304348,0.9920948616600791
csp_components,4,lsqr,auto,4,63,63,0.5116279069767442,0.08695652173913043,0.577922077922078
csp_components,4,lsqr,auto,4,64,64,0.5555555555555556,0.6875,0.7628458498023716
csp_components,4,lsqr,auto,4,65,65,0.6666666666666666,0.7169811320754716,0.7996031746031746
csp_components,4,lsqr,auto,4,66,66,0.4888888888888889,0.6101694915254238,0.4762845849802372
csp_components,4,lsqr,auto,4,67,67,0.5111111111111111,0.21428571428571427,0.6067193675889329
csp_components,4,lsqr,auto,4,68,68,0.5111111111111111,0.08333333333333333,0.7075098814229249
csp_components,4,lsqr,auto,4,69,69,0.6,0.47058823529411764,0.6527777777777777
csp_components,4,lsqr,auto,4,70,70,0.6666666666666666,0.5945945945945946,0.841897233201581
csp_components,4,lsqr,auto,4,71,71,0.7333333333333333,0.6470588235294118,0.9426877470355731
csp_components,4,lsqr,auto,4,72,72,0.8666666666666667,0.88,0.9822134387351779
csp_components,4,lsqr,auto,4,73,73,0.4888888888888889,0.6567164179104478,0.7015810276679842
csp_components,4,lsqr,auto,4,74,74,0.5111111111111111,0.5925925925925926,0.5555555555555556
csp_components,4,lsqr,auto,4,75,75,0.8048780487804879,0.75,0.9404761904761905
csp_components,4,lsqr,auto,4,76,76,0.5777777777777777,0.3870967741935484,0.6462450592885375
csp_components,4,lsqr,auto,4,77,77,0.5111111111111111,0.5769230769230769,0.5932539682539683
csp_components,4,lsqr,auto,4,78,78,0.4666666666666667,0.5862068965517241,0.5770750988142292
csp_components,4,lsqr,auto,4,79,79,0.65,0.5,0.7274999999999999
csp_components,4,lsqr,auto,4,80,80,0.5111111111111111,0.0,0.6007905138339921
csp_components,4,lsqr,auto,4,81,81,0.4888888888888889,0.0,0.808300395256917
csp_components,4,lsqr,auto,4,82,82,0.5111111111111111,0.6666666666666666,0.7648221343873518
csp_components,4,lsqr,auto,4,83,83,0.5789473684210527,0.2727272727272727,0.8725761772853184
csp_components,4,lsqr,auto,4,84,84,0.6818181818181818,0.6666666666666666,0.7494824016563147
csp_components,4,lsqr,auto,4,85,85,0.5454545454545454,0.6774193548387096,0.9606625258799172
csp_components,4,lsqr,auto,4,86,86,0.7954545454545454,0.8,0.8923395445134575
csp_components,4,lsqr,auto,4,87,87,0.4888888888888889,0.6229508196721312,0.549407114624506
csp_components,4,lsqr,auto,4,88,88,0.4909090909090909,0.125,0.6177248677248677
csp_components,4,lsqr,auto,4,89,89,0.6,0.6785714285714286,0.740079365079365
csp_components,4,lsqr,auto,4,90,90,0.5777777777777777,0.5365853658536586,0.5316205533596838
csp_components,4,lsqr,auto,4,91,91,0.5,0.6666666666666666,0.731404958677686
csp_components,4,lsqr,auto,4,92,92,0.5535714285714286,0.32432432432432434,0.6884615384615385
csp_components,4,lsqr,auto,4,93,93,0.8444444444444444,0.8372093023255814,0.9130434782608695
csp_components,4,lsqr,auto,4,94,94,0.9772727272727273,0.9787234042553191,0.9979296066252588
csp_components,4,lsqr,auto,4,95,95,0.5,0.5625,0.625
csp_components,4,lsqr,auto,4,96,96,0.47619047619047616,0.6451612903225806,0.5374149659863945
csp_components,4,lsqr,auto,4,97,97,0.5,0.0,0.615702479338843
csp_components,4,lsqr,auto,4,98,98,0.4888888888888889,0.6101694915254238,0.5316205533596838
csp_components,4,lsqr,auto,4,99,99,0.5348837209302325,0.5833333333333334,0.5476190476190476
csp_components,4,lsqr,auto,4,100,100,0.5555555555555556,0.6,0.5771604938271605
csp_components,4,lsqr,auto,4,101,101,0.4888888888888889,0.0,0.6363636363636364
csp_components,4,lsqr,auto,4,102,102,0.7111111111111111,0.7719298245614035,0.8853754940711462
csp_components,4,lsqr,auto,4,103,103,0.627906976744186,0.5555555555555556,0.7835497835497836
csp_components,4,lsqr,auto,4,104,104,0.5116279069767442,0.6440677966101694,0.5064935064935066
csp_components,4,lsqr,auto,4,105,105,0.5555555555555556,0.2857142857142857,0.5849802371541502
