rank,trial_number,penalty,C,solver,class_weight,l1_ratio,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
1,8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,0.6226168013128238,0.13551047263100297,0.5796399362939971,0.7244848507983199
2,28,l2,1.4374796359270783,liblinear,balanced,unused,6,0.6224159338961941,0.13545172536627748,0.5793965922309329,0.7246853548031715
3,22,l2,1.6861260553763415,liblinear,balanced,unused,6,0.6224159338961941,0.13545172536627748,0.5793965922309329,0.7246671284866362
4,19,l2,2.3036060202268995,liblinear,balanced,unused,6,0.6224159338961941,0.13545172536627748,0.5793965922309329,0.724613829218361
5,18,l2,2.1437300349598294,liblinear,balanced,unused,6,0.6224159338961941,0.13545172536627748,0.5793965922309329,0.724612086462995
6,21,l2,2.215568024295467,liblinear,balanced,unused,6,0.6224159338961941,0.13545172536627748,0.5793965922309329,0.7245937875316527
7,0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,0.6224110399959515,0.1355277857374389,0.5795126948876859,0.7246132733850208
8,29,l2,0.8541419672691076,liblinear,balanced,unused,6,0.6224110399959515,0.1355277857374389,0.5795126948876859,0.72460663266385
9,25,l2,0.8632267864172363,lbfgs,balanced,unused,6,0.6224110399959515,0.1355277857374389,0.5795126948876859,0.7245638440588084
10,2,elasticnet,0.8171709537556013,saga,balanced,0.5,6,0.6224110399959515,0.13542653308950758,0.5792438182508202,0.7244127748466902
11,14,elasticnet,1.1324550522664882,saga,balanced,0.8,6,0.6224110399959515,0.13542653308950758,0.5792438182508202,0.7243731753261374
12,27,l1,2.931058169394587,saga,balanced,unused,6,0.6224063636023861,0.13525931918199297,0.5793576418043855,0.7245398928219609
13,7,l2,1.495523132429179,lbfgs,balanced,unused,6,0.6224063636023861,0.13523838354366635,0.5793476249944657,0.724656179541567
14,11,elasticnet,1.952311313654702,saga,balanced,0.2,6,0.6222006022855138,0.13527634434708366,0.5792304003980744,0.7246147586878894
15,9,l1,2.8158608326229326,liblinear,balanced,unused,6,0.6221957083852709,0.13550040490526186,0.5793702447452358,0.7245215212758116
16,24,l2,2.6509505566402503,saga,balanced,unused,6,0.6217890796517688,0.13535610069377474,0.5788274875428198,0.7246382519984199
17,20,l2,3.654993862441247,liblinear,balanced,unused,6,0.6217890796517688,0.13535610069377474,0.5788274875428198,0.724595080819983
18,15,l2,0.40733667673067997,liblinear,balanced,unused,6,0.6217667768516882,0.13494391095083727,0.5786346290217064,0.7245355574083314
19,5,elasticnet,0.5996195721198088,saga,balanced,0.5,6,0.6217621004581231,0.13543776975272953,0.5785651295588804,0.7244258213069993
20,4,l2,4.600849611792031,saga,balanced,unused,6,0.6215833183348964,0.1355409555083755,0.5787590693709533,0.724595080819983
21,23,l2,5.381519278776776,liblinear,balanced,unused,6,0.6215833183348964,0.1355409555083755,0.5787590693709533,0.7245950082051761
22,26,l2,6.3675383862378325,liblinear,balanced,unused,6,0.6215833183348964,0.1355409555083755,0.5787590693709533,0.7245950082051761
23,10,elasticnet,8.068445404127122,saga,balanced,0.8,6,0.6215833183348964,0.1355409555083755,0.5787590693709533,0.7245584103424912
24,16,elasticnet,9.980274929803484,saga,balanced,0.8,6,0.6215833183348964,0.1355409555083755,0.5787590693709533,0.724540038796342
25,13,elasticnet,3.7529371394408897,saga,balanced,0.2,6,0.6215833183348964,0.1355409555083755,0.5787590693709533,0.7245264978105788
26,17,elasticnet,0.29453173113140746,saga,balanced,0.2,6,0.6215610155348159,0.1346207723141281,0.5792145538007157,0.7246337117963655
27,12,elasticnet,0.48919990606840263,saga,balanced,0.8,6,0.6215563391412506,0.13538626358027916,0.5790975410927628,0.7244127680989015
28,1,elasticnet,0.1487184073895448,saga,balanced,0.2,6,0.6213942515736988,0.13460497673320598,0.5796215672504141,0.7246391242682504
29,3,l1,0.18703383739445276,saga,balanced,unused,6,0.6207970418978983,0.13502572556032674,0.5791723626157593,0.7242164946902934
30,6,l1,0.11256972049915023,liblinear,balanced,unused,6,0.6201401800358106,0.13377339573511882,0.5826000347734495,0.7240110668307059
