rank,trial_number,penalty,C,solver,class_weight,l1_ratio,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
1,8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,0.6226168013128238,0.13551047263100297,0.5796399362939971,0.7244848507983199
2,28,l2,1.4374796359270783,liblinear,balanced,unused,6,0.6224159338961941,0.13545172536627748,0.5793965922309329,0.7246853548031715
3,22,l2,1.6861260553763415,liblinear,balanced,unused,6,0.6224159338961941,0.13545172536627748,0.5793965922309329,0.7246671284866362
4,19,l2,2.3036060202268995,liblinear,balanced,unused,6,0.6224159338961941,0.13545172536627748,0.5793965922309329,0.724613829218361
5,18,l2,2.1437300349598294,liblinear,balanced,unused,6,0.6224159338961941,0.13545172536627748,0.5793965922309329,0.724612086462995
6,21,l2,2.215568024295467,liblinear,balanced,unused,6,0.6224159338961941,0.13545172536627748,0.5793965922309329,0.7245937875316527
7,0,elasticnet,1.2250459207136355,saga,balanced,0.2,6,0.6224110399959515,0.1355277857374389,0.5795126948876859,0.7246132733850208
8,29,l2,0.8541419672691076,liblinear,balanced,unused,6,0.6224110399959515,0.1355277857374389,0.5795126948876859,0.72460663266385
9,25,l2,0.8632267864172363,lbfgs,balanced,unused,6,0.6224110399959515,0.1355277857374389,0.5795126948876859,0.7245638440588084
10,2,elasticnet,0.8171709537556013,saga,balanced,0.5,6,0.6224110399959515,0.13542653308950758,0.5792438182508202,0.7244127748466902
