rank,trial_number,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
1,13,32,3,0.1,True,0.0009448972874536926,32,100,0.0001,0.1,5,3,0.7,False,42,0.5188014150889642,0.06757488062708847,0.4896684435695868,0.5210373755590132,8.081761358417916,0.00477436857774457,0.10983287609090822,0.23975372314453125,62850.0,0.07946325231481481,216.54248046875,0.6753353759146015,0.6913405974706016,4.592592592592593,9.592592592592593
2,28,32,1,0.5,False,0.0011537559719994328,32,100,0.0001,0.1,5,3,0.7,False,42,0.5128256971952742,0.07086283963802142,0.45530074561285155,0.5134248128948741,2.34828034944399,0.0018014183032964528,0.04144643539211911,0.02417755126953125,6338.0,0.03020109953703704,92.056640625,0.6801858083741918,0.692056945812555,4.898148148148148,9.898148148148149
3,24,32,3,0.1,True,0.0007676036788790275,32,100,0.0001,0.1,5,3,0.7,False,42,0.5127525048383523,0.0755218274414264,0.5000531914010946,0.5139198845246566,8.574613704469003,0.0047812368106355686,0.11003638152068251,0.23975372314453125,62850.0,0.0747974537037037,216.54248046875,0.6752367293999072,0.691216766319157,5.175925925925926,10.175925925925926
4,26,32,1,0.5,False,0.0011272130087341063,32,100,0.0001,0.1,5,3,0.7,False,42,0.512018896412078,0.07495421448087142,0.43855983672728566,0.5092059776304365,2.3679672349815655,0.0017846067111585635,0.04106926960997538,0.02417755126953125,6338.0,0.1056857638888889,92.056640625,0.6801695952258483,0.6920373250304918,5.055555555555555,10.055555555555555
5,23,32,1,0.5,True,0.0007459569016913261,32,100,0.0001,0.1,5,3,0.7,False,42,0.5118796611038864,0.07389986443684253,0.418820289157638,0.5109051598849073,3.8370206535107205,0.0024379639475632254,0.05612096051291608,0.04834747314453125,12674.0,0.10073061342592593,135.18310546875,0.6826439080749744,0.6922148711151546,5.435185185185185,10.435185185185185
6,9,16,3,0.1,True,0.0008079444918688194,32,100,0.0001,0.1,5,3,0.7,False,42,0.511714043657086,0.0721842770271226,0.4764098821686379,0.5155793411017947,8.064340264970303,0.004858190327434352,0.11178027746992132,0.06519317626953125,17090.0,0.11603009259259259,144.6376953125,0.6791636742334964,0.691649736151283,4.7592592592592595,9.75925925925926
7,6,32,1,0.5,True,0.0005231008763432713,32,100,0.0001,0.1,5,3,0.7,False,42,0.5113677594428384,0.07154115345858317,0.42148161297366604,0.5048981134833892,3.8907512682958947,0.002425013950279983,0.05583015336206619,0.04834747314453125,12674.0,0.05960648148148148,135.18310546875,0.6851533785637229,0.6922759217612536,5.611111111111111,10.61111111111111
8,5,32,3,0.1,True,0.0007500333682708075,32,100,0.0001,0.1,5,3,0.7,False,42,0.5112076860550558,0.07363259996912634,0.4787059701569398,0.512756935730227,8.301539913176114,0.004759009156798668,0.10951058811163762,0.23975372314453125,62850.0,0.10510706018518519,216.54248046875,0.6757242172449337,0.6912329593190442,4.851851851851852,9.851851851851851
9,18,16,3,0.1,False,0.0008533625467248338,32,100,0.0001,0.1,5,3,0.7,False,42,0.5091401339258782,0.06562812086796425,0.4741442968138456,0.5195021562450203,5.786349942661387,0.003011902511826958,0.06933321916730868,0.02478790283203125,6498.0,0.13118489583333334,67.3408203125,0.6791954838628421,0.6912908553709216,5.87962962962963,10.87962962962963
10,21,32,1,0.5,True,0.000513254156392845,32,100,0.0001,0.1,5,3,0.7,False,42,0.5090710062868129,0.07127548505732803,0.43313363742234123,0.5123235038211276,4.0431526269256,0.0024356875548147837,0.056057472165907646,0.04834747314453125,12674.0,0.11338975694444445,135.18310546875,0.6851301204809933,0.6924198634094664,6.0092592592592595,11.00925925925926
