parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,1,0.6938053279212026,0.6920437773068746,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,2,0.6921202820358854,0.6934869090716044,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,3,0.6898996775800531,0.6938003381093343,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,4,0.6866429633263386,0.6968416213989258,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,5,0.6836402610395894,0.6985885183016459,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,6,0.6777221343734048,0.7058645327885945,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,7,0.6692227052919792,0.7220433632532756,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,8,0.6531179971767195,0.725099790096283,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,9,0.643449322292299,0.7396541198094686,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,10,0.6300361553827921,0.7531824787457784,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,11,0.6175537310314901,0.7553587396939595,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,1,0.693715594031594,0.693143117427826,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,2,0.6922355930913578,0.6934695402781169,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,3,0.6907321368203019,0.6953664779663086,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,4,0.6879319196397607,0.7021349509557088,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,5,0.6866508162382877,0.6978623906771342,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,6,0.6813207304838932,0.6998259902000428,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,7,0.6771891315778097,0.7121373057365418,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,8,0.6612015804558089,0.7274782260258993,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,9,0.6515560565572797,0.7415813525517782,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,10,0.64080700052507,0.7526128848393758,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,11,0.6315796029838648,0.777529791990916,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,1,0.6937532257853132,0.6928900202115377,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,2,0.6910731851151495,0.6951977411905924,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,3,0.6905185395117962,0.6996545155843099,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,4,0.6867319697683508,0.7072820067405701,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,5,0.6801981366041935,0.7084191918373108,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,6,0.6729892957391161,0.7108305732409159,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,7,0.6630627639365919,0.7299118836720785,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,8,0.6514441614801233,0.7442391832669576,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,9,0.6404333173325567,0.747154955069224,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,10,0.6312713930101106,0.7669639865557353,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,11,0.6215640742218855,0.7869727889696757,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,1,0.6941235259626851,0.6928479035695394,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,2,0.6927293060403882,0.6922998388608297,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,3,0.6910136224645557,0.6928290526072184,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,4,0.6883498814069864,0.6965759436289469,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,5,0.6866640931729114,0.6967405557632447,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,6,0.6807550697615652,0.709229338169098,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,7,0.677494004368782,0.7107436418533325,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,8,0.6673507514325056,0.7248217026392619,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,9,0.6490180406606558,0.7415804942448934,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,10,0.6361773099863168,0.7560833136240641,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,11,0.6240513794349901,0.7763961474100749,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,12,0.6127341504801403,0.78854025999705,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,1,0.6940605554616812,0.6917171001434326,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,2,0.692373430187052,0.6906834125518799,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,3,0.6906352643713807,0.6933058818181356,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,4,0.6889962928764748,0.6893522103627523,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,5,0.6862704668081168,0.6869290431340536,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,6,0.6803010796958749,0.692375373840332,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,7,0.6765329025008462,0.7135044654210408,0.001
dropout_rate,0.1,64,2,0.1,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,8,0.6701261816602765,0.6933658798535665,0.001
