parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,0.4666666666666667,0.29411764705882354,0.5276679841897234,45,3.992243996821344,0.008431797847151756,0.18737328549226123,0.02417755126953125,6338,403.3828125,86.181640625,0.66447672699437,0.691240573922793,0.6921843806902568,2,12
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,0.4888888888888889,0.43902439024390244,0.4762845849802372,45,4.302752056159079,0.001860646065324545,0.04134769034054544,0.02417755126953125,6338,0.01953125,86.181640625,0.6685230542312969,0.6923422294132637,0.6923431118329366,2,12
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,0.4,0.37209302325581395,0.4090909090909091,45,4.262806325219572,0.0016670296899974346,0.03704510422216521,0.02417755126953125,6338,0.01171875,86.181640625,0.6550837384931969,0.6905289721308332,0.6925981521606446,4,14
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,0.5777777777777777,0.5581395348837209,0.6521739130434783,45,3.0864447872154415,0.0013262261636555195,0.02947169252567821,0.02417755126953125,6338,0.00390625,86.181640625,0.6717993535778739,0.6945816775163015,0.6918898224830627,1,11
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,0.4222222222222222,0.5666666666666667,0.40674603174603174,45,5.350988521706313,0.002000564243644476,0.04445698319209947,0.02417755126953125,6338,0.00390625,86.181640625,0.647293256539287,0.689170673941121,0.6886820356051128,5,15
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,6,6,0.4666666666666667,0.3333333333333333,0.5376984126984126,45,3.763036803342402,0.0013664350844919682,0.030365224099821515,0.02417755126953125,6338,0.00390625,86.181640625,0.6666421962506843,0.6921780150045048,0.6951040983200073,2,12
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,7,7,0.5555555555555556,0.5652173913043478,0.6264822134387351,45,4.670774738769978,0.0013373461551964283,0.029718803448809516,0.02417755126953125,6338,0.00390625,86.181640625,0.6459960120193886,0.6894422430883754,0.6918878038724263,4,14
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,8,8,0.37777777777777777,0.391304347826087,0.35770750988142297,45,6.9021748709492385,0.0015750420279800892,0.03500093395511309,0.02417755126953125,6338,0.0,86.181640625,0.6172132404013113,0.6800833737308328,0.6835098187128703,9,19
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,9,9,0.5111111111111111,0.5217391304347826,0.4623015873015873,45,3.631859704852104,0.001884636003524065,0.041880800078312554,0.02417755126953125,6338,0.0,86.181640625,0.6743303817329984,0.6945950605652549,0.6921406189600626,1,11
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,10,10,0.37777777777777777,0.46153846153846156,0.3035714285714286,45,4.69016801007092,0.0019655749201774597,0.04367944267061022,0.02417755126953125,6338,0.0,86.181640625,0.6625891391075018,0.6906343138579166,0.6908376415570577,3,13
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,11,11,0.37777777777777777,0.3333333333333333,0.35573122529644274,45,4.133209669031203,0.0017974372021853924,0.039943048937453166,0.02417755126953125,6338,0.00390625,86.181640625,0.6674581996419213,0.6909957270730626,0.693183434009552,2,12
