parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,1,0.6945845006090222,0.6928112069765727,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,2,0.691240573922793,0.6921843806902568,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,3,0.6912121614723494,0.6943739374478658,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,4,0.6876703491716674,0.69578910668691,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,5,0.6867327139233098,0.6959364136060079,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,6,0.6831668782414813,0.7019913752873739,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,7,0.6788050572980534,0.7052153905232748,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,8,0.6787685322942156,0.7043254415194193,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,9,0.672428924929012,0.7096651554107666,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,10,0.6691347694758213,0.7140982111295064,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,11,0.6657039766961877,0.7177380879720052,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,12,0.66447672699437,0.7221990545590719,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,1,0.6960145948511182,0.6927658518155416,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,2,0.6923422294132637,0.6923431118329366,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,3,0.691782122760108,0.6934066573778789,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,4,0.6899888375491807,0.6939688444137573,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,5,0.6895445102091992,0.696438197294871,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,6,0.6881843141534112,0.69618821144104,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,7,0.686125431096915,0.69958682457606,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,8,0.6819357032125647,0.7027914166450501,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,9,0.6757100667014266,0.7091659903526306,0.001
hidden_size,32,32,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,10,0.6745315586978738,0.7110782901446024,0.001
