parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,1,0.6937720807212772,0.6930881301561992,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,2,0.6933611369494236,0.6927630503972372,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,3,0.6929190569754803,0.6926598906517029,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,4,0.6928667010683002,0.692501711845398,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,5,0.69295903227546,0.6926660458246867,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,6,0.6921199718208024,0.6923888882001241,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,7,0.6922029762557058,0.6923338810602824,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,8,0.6920929989128402,0.6924357970555624,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,9,0.6917318710775087,0.692293131351471,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,10,0.6910074290001031,0.6922764658927918,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,11,0.6908379282915231,0.6921163916587829,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,12,0.6907560527324677,0.6921706040700276,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,13,0.6903352042039236,0.6922645568847656,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,14,0.6895648674531416,0.6923067768414816,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,15,0.6891674715461154,0.6927649895350139,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,16,0.6886151455568544,0.6931628664334615,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,17,0.6877845020005198,0.6934106429417928,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,18,0.6872495390249022,0.6939180334409077,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,19,0.68660642387289,0.6944404522577922,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,20,0.6866150891238992,0.6945735414822897,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,21,0.6861321438442577,0.6951124827067058,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,1,0.6942461954824852,0.6926966428756713,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,2,0.693105832193837,0.6925841927528381,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,3,0.6932987114696791,0.6925957520802816,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,4,0.6930496471397805,0.6925866603851318,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,5,0.692750720815225,0.6925246397654216,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,6,0.6927519968964837,0.6925780336062114,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,7,0.6922419477592815,0.6924709002176921,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,8,0.6917928687550805,0.6923436443010966,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,9,0.6916295411911878,0.6922748486200968,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,10,0.6911565828503985,0.6922931551933289,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,11,0.6911539805657936,0.6922060132026673,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,12,0.6902715532165585,0.6921593308448791,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,13,0.6899501184622446,0.6920461455980936,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,14,0.688706734866807,0.6923091093699137,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,15,0.688648400884686,0.6924781878789266,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,16,0.688489354018009,0.6934387922286988,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,17,0.6869529359268419,0.6936994075775147,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,18,0.6865653734315526,0.6934319774309794,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,19,0.6862919104821754,0.6941523830095927,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,20,0.6855329731197068,0.6943839391072592,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,21,0.6836832265059153,0.6950873454411824,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,22,0.6828779384042277,0.6955857157707215,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,23,0.682870575875947,0.6966256618499755,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,1,0.6935747595447482,0.6937277754147847,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,2,0.6933842834198114,0.6934740742047628,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,3,0.6930087800278808,0.693428909778595,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,4,0.6923822900562575,0.6933717648188273,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,5,0.6921605643900958,0.6933778405189515,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,6,0.6922593505093546,0.693320894241333,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,7,0.6913754786505844,0.6932875831921895,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,8,0.6916843435981057,0.6932566841443379,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,9,0.6921247934753244,0.6932691216468811,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,10,0.6911966200127746,0.6930184920628866,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,11,0.6908552714369514,0.6932147026062012,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,12,0.6901215603857329,0.6934593160947163,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,13,0.6897236108779907,0.6934013446172078,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,14,0.6896988731442075,0.693322217464447,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,15,0.6879715598893889,0.6938359220822652,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,16,0.6877644229115862,0.6940103093783061,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,17,0.6870213828303597,0.6942936817804972,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,18,0.6866677430543032,0.6945696433385213,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,19,0.6869270273230292,0.6950461467107137,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,20,0.6857715745766958,0.6954552094141643,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,1,0.6941999467936429,0.6943274577458699,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,2,0.69356159640081,0.6937995711962383,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,3,0.6929139205903718,0.693345844745636,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,4,0.6926050488695954,0.6931589881579081,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,5,0.6922515441070903,0.6931044975916545,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,6,0.6922736565272013,0.6930679559707642,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,7,0.6915090201479016,0.6929446538289388,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,8,0.6910078186880458,0.6928999423980713,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,9,0.6903894864248507,0.6928646405537923,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,10,0.690250064387466,0.6929076790809632,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,11,0.6894188780676235,0.693051282564799,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,12,0.6888311062798356,0.6935044050216674,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,13,0.6877864725662001,0.6937989592552185,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,14,0.6871526941205516,0.6951768398284912,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,15,0.6862170511122906,0.6953641494115194,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,16,0.6851772625337947,0.6960289160410563,0.0001
learning_rate,0.0001,64,2,0.3,False,0.0001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,17,0.6841414466951833,0.6962460319201151,0.0001
