parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss,learning_rate
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,1,0.6948192178299932,0.6917726874351502,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,2,0.6921843981200998,0.6949150363604227,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,3,0.6902643455700441,0.6910806894302368,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,4,0.6867566239653211,0.6928016424179078,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,5,0.6834678938894561,0.7054370601971944,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,6,0.6818015503160881,0.6989906549453735,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,7,0.6736062435489713,0.7070679426193237,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,8,0.6707967032085765,0.7120272040367126,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,9,0.6630662788044323,0.7067414283752441,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,10,0.6496217160513906,0.728339417775472,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,11,0.6392335733681014,0.7444976409276326,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,12,0.6357403772346901,0.743931249777476,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,13,0.6281444407773741,0.7462334672609965,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,1,0.6933148006598154,0.6950174252192179,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,2,0.6922786660266645,0.6957938432693481,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,3,0.6899473165923898,0.6944371660550436,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,4,0.6890673989599402,0.6944824576377868,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,5,0.6863529537663315,0.6979641954104105,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,6,0.6833986951546236,0.6970077157020569,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,7,0.679304657108856,0.7004792213439941,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,8,0.6733762111627695,0.7050998131434123,0.001
num_layers,1,64,1,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,9,0.6659145174604474,0.7088404417037963,0.001
