parameter_name,parameter_value,fold,subject,epoch,train_loss,val_loss,learning_rate,hidden_size,num_layers,dropout_rate,bidirectional,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
batch_size,16,1,1,1,0.6936546831529856,0.6924163182576497,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,2,0.6921654552107981,0.6899453739325205,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,3,0.6902463651428657,0.6923188805580139,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,4,0.6869340097042997,0.6918157716592153,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,5,0.6846623985033071,0.7069648345311482,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,6,0.679534731255738,0.7020648221174876,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,7,0.6725408035992669,0.7139698565006256,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,8,0.6628864174106729,0.7218949447075526,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,9,0.6481129978092904,0.7411023696263631,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,10,0.6395227410494148,0.7518527746200562,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,11,0.6235279193849165,0.757897824048996,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,1,1,12,0.6133820849679722,0.7860200723012288,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,1,0.6943617583227701,0.6931932687759399,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,2,0.6929565969528807,0.6938653727372487,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,3,0.6914762251730654,0.6915038605531056,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,4,0.6880000555469963,0.6978972276051839,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,5,0.686246266383182,0.7015270213286082,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,6,0.6823530528028655,0.7066036403179169,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,7,0.675453033510723,0.7087562700112661,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,8,0.6681862191328984,0.7229393899440766,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,9,0.6617799582590168,0.7232452511787415,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,10,0.6389822368386128,0.7527348875999451,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,11,0.6291718780994415,0.7552738865216573,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,12,0.6129359132663379,0.7939782261848449,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,2,2,13,0.6011278740353457,0.814398197333018,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,1,0.6946364206053005,0.6920189042886098,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,2,0.6926344488056894,0.6922650297482809,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,3,0.691413575478833,0.6929389039675394,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,4,0.6884786407303901,0.6902191082636515,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
batch_size,16,3,3,5,0.6865608093856406,0.6927344659964244,0.001,64,2,0.3,False,16,75,0.0,0.1,10,5,0.5,True,42
