parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.5111111111111111,0.5217391304347826,0.5632411067193676,45,7.775719817029312,0.004236335982568562,0.0941407996126347,0.20655059814453125,54146,0.0,171.98828125,0.6390446438030764,0.6942020681771365,0.6902519504229228,1,11
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.4222222222222222,0.380952380952381,0.44861660079051385,45,7.779249575978611,0.004166705009993166,0.09259344466651478,0.20655059814453125,54146,0.0,171.98828125,0.6411036560029695,0.6944188416907282,0.6931043267250061,1,11
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.4888888888888889,0.20689655172413793,0.48814229249011865,45,8.428258747037034,0.004100776044651866,0.09112835654781926,0.20655059814453125,54146,0.0625,171.98828125,0.6283848924618779,0.6931674150806485,0.6918787121772766,2,12
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.5333333333333333,0.6666666666666667,0.592885375494071,45,8.492633147980087,0.0041926209814846516,0.09316935514410336,0.20655059814453125,54146,0.0,171.98828125,0.6379094304460468,0.692413824074196,0.6918044924736023,2,12
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.4444444444444444,0.4897959183673469,0.3313492063492064,45,11.358105772989802,0.004186471982393414,0.09303271071985364,0.20655059814453125,54146,0.0625,171.98828125,0.5754874362186952,0.6861107552593405,0.6902852614720663,6,16
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.5111111111111111,0.21428571428571427,0.5436507936507936,45,9.182812833983917,0.0041803239728324115,0.0928960882851647,0.20655059814453125,54146,0.0859375,171.98828125,0.6228764276161338,0.6916666839158896,0.6926640669504801,3,13
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.6444444444444445,0.6521739130434783,0.6956521739130435,45,8.501373737002723,0.004153501009568572,0.09230002243485716,0.20655059814453125,54146,0.0625,171.98828125,0.6237686267404845,0.6927658265287225,0.6925845146179199,2,12
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.5333333333333333,0.6557377049180327,0.4743083003952569,45,9.92567715496989,0.004135201044846326,0.09189335655214058,0.20655059814453125,54146,0.0,171.98828125,0.6093998601039251,0.6886025080175111,0.6883223652839661,4,14
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.4,0.42553191489361697,0.35119047619047616,45,9.197583637025673,0.004253652994520962,0.09452562210046582,0.20655059814453125,54146,0.0,171.98828125,0.627820304848931,0.6912861294818647,0.6927765528361003,3,13
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.37777777777777777,0.5172413793103449,0.3373015873015873,45,9.859951819991693,0.004346190951764584,0.09658202115032408,0.20655059814453125,54146,0.0859375,171.98828125,0.6097882243268418,0.6886377519730366,0.6908633828163147,4,14
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,11,11,0.4888888888888889,0.6567164179104478,0.4426877470355732,45,8.502675492025446,0.0034533870057202876,0.07674193346045084,0.20655059814453125,54146,0.0625,171.98828125,0.6257773926763823,0.6923978139053691,0.6919895728429158,2,12
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,12,12,0.4444444444444444,0.32432432432432434,0.48412698412698413,45,9.96511475101579,0.0034860019804909825,0.07746671067757739,0.20655059814453125,54146,0.0625,171.98828125,0.6037924508705284,0.6895324163364641,0.6904627442359924,4,14
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,13,13,0.42857142857142855,0.4117647058823529,0.4673202614379085,35,10.585639348020777,0.003567436011508107,0.10192674318594591,0.20655059814453125,54146,0.1796875,171.98828125,0.6000239381735976,0.6860944344238802,0.690478515625,5,15
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,14,14,0.5777777777777777,0.5581395348837209,0.5711462450592886,45,9.23431436001556,0.003542641003150493,0.07872535562556651,0.20655059814453125,54146,0.0,171.98828125,0.6157671599225565,0.6916899170839426,0.689127254486084,3,13
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,15,15,0.4666666666666667,0.5714285714285714,0.5,45,7.812862191989552,0.004268236982170492,0.09484971071489982,0.20655059814453125,54146,0.0,171.98828125,0.632937183434313,0.6935794457341685,0.6924710432688396,1,11
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,16,16,0.5333333333333333,0.4878048780487805,0.5237154150197629,45,9.856044637970626,0.0035482950042933226,0.07885100009540717,0.20655059814453125,54146,0.0,171.98828125,0.5927156914364208,0.6901774171626929,0.6922233978907267,4,14
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,17,17,0.38095238095238093,0.4347826086956522,0.3886363636363636,42,10.656096532999072,0.0043065769714303315,0.10253754693881742,0.20655059814453125,54146,0.0625,171.98828125,0.5731051315863928,0.6865159259601072,0.6853302836418151,5,15
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,18,18,0.4666666666666667,0.29411764705882354,0.37549407114624506,45,10.66406676598126,0.0035125319845974445,0.07805626632438765,0.20655059814453125,54146,0.0625,171.98828125,0.5721454335884615,0.6871763734203397,0.6892160455385844,5,15
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,19,19,0.5111111111111111,0.3888888888888889,0.5098814229249011,45,8.419510134030133,0.003534881048835814,0.07855291219635141,0.20655059814453125,54146,0.0625,171.98828125,0.6233725915804054,0.6927231292832982,0.6918422698974609,2,12
epochs,50,64,2,0.3,False,0.001,32,50,0.0,0.1,10,5,0.5,True,42,20,20,0.5555555555555556,0.6774193548387099,0.5612648221343873,45,9.246005730004981,0.00347181101096794,0.07715135579928756,0.20655059814453125,54146,0.0,171.98828125,0.6116278413118739,0.6916505527315717,0.690800408522288,3,13
