parameter_name,parameter_value,fold,subject,epoch,train_loss,val_loss,learning_rate,hidden_size,num_layers,dropout_rate,bidirectional,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
epochs,50,1,1,1,0.6942020681771365,0.6902519504229228,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,2,0.6919242206848029,0.694420584042867,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,3,0.6908595887097445,0.6931530276934306,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,4,0.6885174973444506,0.6929687937100728,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,5,0.6835404187440872,0.7055022239685058,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,6,0.6793982621395227,0.7102839827537537,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,7,0.6774433846726562,0.7042364557584126,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,8,0.6663779774398515,0.7355949759483338,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,9,0.654303588198893,0.7364439010620117,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,10,0.6484118812915051,0.7566387136777242,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,1,1,11,0.6390446438030764,0.7640233238538107,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,1,0.6944188416907282,0.6931043267250061,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,2,0.6934484487230127,0.6931094527244568,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,3,0.6909049537145731,0.6943565011024475,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,4,0.6896391136176658,0.6934555093447368,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,5,0.6869944645599886,0.6986733595530192,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,6,0.6839685914191332,0.6985633969306946,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,7,0.6770822473547675,0.7137144684791565,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,8,0.6648796412980917,0.7150538047154744,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,9,0.6565525861400546,0.7366203546524048,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,10,0.6480766096801469,0.7387561281522115,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,2,2,11,0.6411036560029695,0.7516095836957296,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,1,0.6936088529500094,0.693989094098409,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,2,0.6931674150806485,0.6918787121772766,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,3,0.6909728239883076,0.6940036098162333,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,4,0.6894117255102504,0.6945204019546509,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,5,0.6857616436300855,0.6984005848566691,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,6,0.6840723170475527,0.7059270858764648,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,3,3,7,0.6760925320964871,0.7373527407646179,0.001,64,2,0.3,False,32,50,0.0,0.1,10,5,0.5,True,42
