parameter_name,parameter_value,hidden_size,num_layers,dropout_rate,bidirectional,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
use_class_weight,True,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,1,1,0.4444444444444444,0.5614035087719298,0.5019762845849802,45,9.298843356024008,0.004221130977384746,0.09380291060854992,0.20655059814453125,54146,0.0,171.98828125,0.626297245422999,0.691730085195917,0.6915054678916931,3,13
use_class_weight,True,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,2,2,0.4666666666666667,0.5384615384615385,0.47233201581027673,45,9.39195447403472,0.004395035037305206,0.09766744527344902,0.20655059814453125,54146,0.0,171.98828125,0.6137793310212366,0.6902145860773145,0.6936765193939209,3,13
use_class_weight,True,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,3,3,0.4888888888888889,0.43902439024390244,0.33794466403162055,45,9.289300371019635,0.004255701962392777,0.0945711547198395,0.20655059814453125,54146,0.0,171.98828125,0.6069312702977296,0.6904553229158575,0.6929177125295003,3,13
use_class_weight,True,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,4,4,0.4888888888888889,0.6461538461538462,0.6264822134387351,45,7.941626515996177,0.004366050998214632,0.09702335551588072,0.20655059814453125,54146,0.0,171.98828125,0.6441577596194816,0.6930875972364888,0.6922900358835856,1,11
use_class_weight,True,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,5,5,0.4,0.3076923076923077,0.36111111111111116,45,10.778802179032937,0.004193472967017442,0.09318828815594316,0.20655059814453125,54146,0.0,171.98828125,0.6401928225249955,0.6860570139957197,0.6908870418866475,5,15
use_class_weight,True,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,6,6,0.5111111111111111,0.15384615384615385,0.5833333333333333,45,10.137055392959155,0.004206045006867498,0.09346766681927773,0.20655059814453125,54146,0.0,171.98828125,0.6160470615282203,0.6893458650870756,0.6915188352266948,4,14
use_class_weight,True,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,7,7,0.6222222222222222,0.5853658536585366,0.6600790513833992,45,7.927714676014148,0.004460197000298649,0.09911548889552553,0.20655059814453125,54146,0.0,171.98828125,0.642951075777863,0.6948726913242629,0.6933849493662516,1,11
use_class_weight,True,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,8,8,0.4888888888888889,0.6229508196721311,0.43873517786561267,45,10.783271033025812,0.004213588021229953,0.09363528936066562,0.20655059814453125,54146,0.0,171.98828125,0.5909983348665815,0.6885163020907026,0.6876596887906392,5,15
use_class_weight,True,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,9,9,0.4222222222222222,0.43478260869565216,0.375,45,8.707286552002188,0.004260241985321045,0.09467204411824544,0.20655059814453125,54146,0.0,171.98828125,0.6197695759209719,0.6927300258116289,0.6918713927268982,2,12
use_class_weight,True,64,2,0.3,False,0.001,32,75,0.0,0.1,10,5,0.5,True,42,10,10,0.37777777777777777,0.4615384615384615,0.3214285714285714,45,10.131596961000469,0.004452094959560782,0.09893544354579514,0.20655059814453125,54146,0.0,171.98828125,0.6085722988302057,0.6888709686922304,0.691567583878835,4,14
