parameter_name,parameter_value,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,1,1,0.5333333333333333,0.676923076923077,0.7806324110671936,9.92560397499983,0.002291725000304723,0.05092722222899384,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,2,2,0.8,0.8301886792452831,0.9505928853754941,9.95043887599968,0.0021539969998229935,0.047866599996066524,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,3,3,0.5111111111111111,0.0,0.37549407114624506,9.928107040999748,0.0021245929997348867,0.047213177771886376,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,4,4,0.4888888888888889,0.6567164179104478,0.7984189723320159,9.914483594000103,0.002155044000119233,0.047889866669316286,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,5,5,0.5333333333333333,0.6956521739130435,0.4920634920634921,9.889373654999872,0.0022463280001829844,0.04991840000406632,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,6,6,0.4666666666666667,0.6363636363636364,0.5793650793650793,9.889102856000136,0.0022161699998832773,0.049248222219628386,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,7,7,0.7555555555555555,0.8,0.982213438735178,9.865823179000017,0.0020683829998233705,0.04596406666274157,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,8,8,0.4888888888888889,0.0,0.8320158102766799,9.882723087000159,0.002199338000082207,0.0488741777796046,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,9,9,0.6,0.3076923076923077,0.5853174603174603,9.879343552000137,0.0021683270006178645,0.048185044458174765,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,10,10,0.5333333333333333,0.0,0.7380952380952381,9.883475708000333,0.002181107999604137,0.048469066657869715,0.014316558837890625,1858,0.0,41.77880859375
