parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
D,1,8,1,8,64,0.25,0.001,32,20,0.0,1,1,0.6666666666666666,0.6153846153846154,0.6719367588932806,9.043780088999483,0.0021858410036657006,0.048574244525904454,0.011692047119140625,1130,0.01171875,25.7275390625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,2,2,0.7111111111111111,0.6060606060606061,0.8636363636363636,9.052799539000262,0.0021778090012958273,0.04839575558435172,0.011692047119140625,1130,0.015625,25.728515625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,3,3,0.5111111111111111,0.0,0.23517786561264822,9.040189309002017,0.002121935998729896,0.04715413330510879,0.011692047119140625,1130,0.01171875,25.7294921875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,4,4,0.5111111111111111,0.0,0.6778656126482213,9.036178988993925,0.002166844002204016,0.04815208893786702,0.011692047119140625,1130,0.0078125,25.73046875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,5,5,0.5333333333333333,0.6956521739130435,0.4543650793650794,9.062486326998624,0.002230819001852069,0.04957375559671265,0.011692047119140625,1130,0.01171875,25.7314453125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,6,6,0.4666666666666667,0.6363636363636364,0.4920634920634921,9.045225537003716,0.0021877960025449283,0.04861768894544285,0.011692047119140625,1130,0.01171875,25.732421875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,7,7,0.8222222222222222,0.8461538461538461,0.9683794466403162,9.076333525998052,0.002165516998502426,0.048122599966720574,0.011692047119140625,1130,0.01953125,25.7333984375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,8,8,0.4888888888888889,0.0,0.8043478260869565,9.06851368000207,0.002189263999753166,0.04865031110562591,0.011692047119140625,1130,0.01171875,25.734375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,9,9,0.5333333333333333,0.0,0.501984126984127,9.079019992997928,0.0021268249984132126,0.04726277774251584,0.011692047119140625,1130,0.01171875,25.7353515625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,10,10,0.4666666666666667,0.6363636363636364,0.6686507936507937,9.068242973997258,0.0021399549950729124,0.04755455544606472,0.011692047119140625,1130,0.01171875,25.736328125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,11,11,0.5111111111111111,0.0,0.5612648221343873,9.078059668005153,0.0021139039963600226,0.04697564436355606,0.011692047119140625,1130,0.01171875,25.7373046875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,12,12,0.4666666666666667,0.0,0.8630952380952381,9.113069302999065,0.0021832570055266842,0.04851682234503742,0.011692047119140625,1130,0.01171875,25.73828125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,13,13,0.4857142857142857,0.6538461538461539,0.6503267973856208,9.166730628996447,0.0020914839988108724,0.05975668568031064,0.011692047119140625,1130,0.01171875,25.7392578125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,14,14,0.5333333333333333,0.16,0.6521739130434783,9.067809883999871,0.0021338790029403754,0.04741953339867501,0.011692047119140625,1130,0.0078125,25.740234375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,15,15,0.4888888888888889,0.6567164179104478,0.9347826086956522,9.07786871999997,0.0021535750056500547,0.047857222347779,0.011692047119140625,1130,0.01171875,25.7412109375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,16,16,0.4666666666666667,0.0,0.5711462450592886,9.066025633997924,0.0021210280028753914,0.04713395561945314,0.011692047119140625,1130,0.00390625,25.7421875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,17,17,0.5714285714285714,0.18181818181818182,0.6295454545454545,9.083120130002499,0.002114323004207108,0.05034102390969305,0.011692047119140625,1130,0.0078125,25.7431640625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,18,18,0.4888888888888889,0.0,0.3438735177865613,9.116391470997769,0.002179695002269,0.048437666717088886,0.011692047119140625,1130,0.0078125,25.744140625
