subject,run,total_events,epochs_kept,ignored_non_target,artifact_rejections,target_events_estimated,bad_channels,status
1,4,30,15,15,0,15,None,ok
1,8,30,15,15,0,15,None,ok
1,12,30,15,15,0,15,None,ok
2,4,30,15,15,0,15,None,ok
2,8,30,15,15,0,15,None,ok
2,12,30,15,15,0,15,None,ok
3,4,30,15,15,0,15,None,ok
3,8,30,15,15,0,15,None,ok
3,12,30,15,15,0,15,None,ok
4,4,30,15,15,0,15,None,ok
4,8,30,15,15,0,15,None,ok
4,12,30,15,15,0,15,None,ok
5,4,30,15,15,0,15,None,ok
5,8,30,15,15,0,15,None,ok
5,12,30,15,15,0,15,None,ok
6,4,30,15,15,0,15,None,ok
6,8,30,15,15,0,15,None,ok
6,12,30,15,15,0,15,None,ok
7,4,30,15,15,0,15,None,ok
7,8,30,15,15,0,15,None,ok
7,12,30,15,15,0,15,None,ok
8,4,30,15,15,0,15,None,ok
8,8,30,15,15,0,15,None,ok
8,12,30,15,15,0,15,None,ok
9,4,30,15,15,0,15,None,ok
9,8,30,15,15,0,15,None,ok
9,12,30,15,15,0,15,None,ok
10,4,30,15,15,0,15,None,ok
10,8,30,15,15,0,15,None,ok
10,12,30,15,15,0,15,None,ok
11,4,30,15,15,0,15,None,ok
11,8,30,15,15,0,15,None,ok
11,12,30,15,15,0,15,None,ok
12,4,30,15,15,0,15,None,ok
12,8,30,15,15,0,15,None,ok
12,12,30,15,15,0,15,None,ok
13,4,30,15,15,0,15,None,ok
13,8,30,15,15,0,15,None,ok
13,12,30,5,15,10,15,"Fc3.,Fc4.",ok
14,4,30,15,15,0,15,None,ok
14,8,30,15,15,0,15,None,ok
14,12,30,15,15,0,15,None,ok
15,4,30,15,15,0,15,None,ok
15,8,30,15,15,0,15,None,ok
15,12,30,15,15,0,15,None,ok
16,4,30,15,15,0,15,None,ok
16,8,30,15,15,0,15,None,ok
16,12,30,15,15,0,15,None,ok
17,4,30,15,15,0,15,None,ok
17,8,30,15,15,0,15,None,ok
17,12,30,12,15,3,15,"C3..,Fc3.,Fc4.",ok
18,4,30,15,15,0,15,None,ok
18,8,30,15,15,0,15,None,ok
18,12,30,15,15,0,15,None,ok
19,4,30,15,15,0,15,None,ok
19,8,30,15,15,0,15,None,ok
19,12,30,15,15,0,15,None,ok
20,4,30,15,15,0,15,None,ok
20,8,30,15,15,0,15,None,ok
20,12,30,15,15,0,15,None,ok
21,4,30,15,15,0,15,None,ok
21,8,30,15,15,0,15,None,ok
21,12,30,15,15,0,15,None,ok
22,4,30,15,15,0,15,None,ok
22,8,30,15,15,0,15,None,ok
22,12,30,15,15,0,15,None,ok
23,4,30,15,15,0,15,None,ok
23,8,30,15,15,0,15,None,ok
23,12,30,14,15,1,15,Cp4.,ok
24,4,30,11,15,4,15,Fc4.,ok
24,8,30,3,15,12,15,"Fc3.,Fc4.",ok
24,12,30,4,15,11,15,"Fc3.,Fc4.",ok
25,4,30,15,15,0,15,None,ok
25,8,30,15,15,0,15,None,ok
25,12,30,15,15,0,15,None,ok
26,4,30,15,15,0,15,None,ok
26,8,30,15,15,0,15,None,ok
26,12,30,15,15,0,15,None,ok
27,4,30,15,15,0,15,None,ok
27,8,30,15,15,0,15,None,ok
27,12,30,15,15,0,15,None,ok
28,4,30,15,15,0,15,None,ok
28,8,30,15,15,0,15,None,ok
28,12,30,15,15,0,15,None,ok
29,4,30,15,15,0,15,None,ok
29,8,30,15,15,0,15,None,ok
29,12,30,15,15,0,15,None,ok
30,4,30,15,15,0,15,None,ok
30,8,30,15,15,0,15,None,ok
30,12,30,15,15,0,15,None,ok
31,4,30,15,15,0,15,None,ok
31,8,30,15,15,0,15,None,ok
31,12,30,15,15,0,15,None,ok
32,4,30,14,15,1,15,Cpz.,ok
32,8,30,15,15,0,15,None,ok
32,12,30,15,15,0,15,None,ok
33,4,30,15,15,0,15,None,ok
33,8,30,15,15,0,15,None,ok
33,12,30,15,15,0,15,None,ok
34,4,30,15,15,0,15,None,ok
34,8,30,15,15,0,15,None,ok
34,12,30,15,15,0,15,None,ok
35,4,30,15,15,0,15,None,ok
35,8,30,15,15,0,15,None,ok
35,12,30,15,15,0,15,None,ok
36,4,30,15,15,0,15,None,ok
36,8,30,15,15,0,15,None,ok
36,12,30,14,15,1,15,Cp4.,ok
37,4,30,15,15,0,15,None,ok
37,8,30,15,15,0,15,None,ok
37,12,30,15,15,0,15,None,ok
38,4,30,15,15,0,15,None,ok
38,8,30,15,15,0,15,None,ok
38,12,30,15,15,0,15,None,ok
39,4,30,14,15,1,15,Fc4.,ok
39,8,30,15,15,0,15,None,ok
39,12,30,15,15,0,15,None,ok
40,4,30,15,15,0,15,None,ok
40,8,30,15,15,0,15,None,ok
40,12,30,15,15,0,15,None,ok
41,4,30,15,15,0,15,None,ok
41,8,30,15,15,0,15,None,ok
41,12,30,15,15,0,15,None,ok
42,4,30,15,15,0,15,None,ok
42,8,30,15,15,0,15,None,ok
42,12,30,15,15,0,15,None,ok
43,4,30,15,15,0,15,None,ok
43,8,30,15,15,0,15,None,ok
43,12,30,15,15,0,15,None,ok
44,4,30,11,15,4,15,"Cp3.,Cp4.,Fc4.",ok
44,8,30,9,15,6,15,"Cp1.,Cp2.,Cp3.,Cp4.,Fc3.",ok
44,12,30,9,15,6,15,"Cp2.,Cp3.,Cp4.",ok
45,4,30,15,15,0,15,None,ok
45,8,30,15,15,0,15,None,ok
45,12,30,15,15,0,15,None,ok
46,4,30,15,15,0,15,None,ok
46,8,30,15,15,0,15,None,ok
46,12,30,15,15,0,15,None,ok
47,4,30,15,15,0,15,None,ok
47,8,30,15,15,0,15,None,ok
47,12,30,15,15,0,15,None,ok
48,4,30,10,15,5,15,"C4..,Cp3.,Cp4.,Fc3.",ok
48,8,30,7,15,8,15,"Cp3.,Cp4.,Fc3.,Fc4.",ok
48,12,30,0,15,15,15,"C1..,Cp2.,Cp3.,Cp4.,Fc3.",ok
49,4,30,15,15,0,15,None,ok
49,8,30,15,15,0,15,None,ok
49,12,30,15,15,0,15,None,ok
