rank,trial_number,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
1,25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,0.6112781532021581,0.12013128514126996,0.5402221800698878,0.6881302041064439
2,15,350,log_loss,8,30,12,sqrt,balanced,6,0.6105380221354428,0.12362176509124083,0.5397822582083116,0.6890189502858717
3,26,400,log_loss,10,30,8,,balanced,6,0.6098172675356003,0.12494870080640677,0.5211644038402441,0.6788450537098457
4,22,350,log_loss,8,25,10,sqrt,balanced_subsample,6,0.6094426494134235,0.118866713005371,0.5396113189751299,0.6879455748701946
5,28,400,log_loss,10,30,6,,balanced,6,0.6090743236236307,0.12371651441621692,0.5223114619833558,0.6787918567342364
6,27,400,log_loss,11,30,8,,balanced,6,0.6090573312569503,0.1264042264061373,0.5239310038996764,0.676030831295342
7,23,350,log_loss,8,30,10,sqrt,balanced_subsample,6,0.6086954109449466,0.12199677796992922,0.5386779607678329,0.6880295871671877
8,24,350,log_loss,8,30,10,sqrt,balanced_subsample,6,0.6086954109449466,0.12199677796992922,0.5386779607678329,0.6880295871671877
9,1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,0.6084232948962435,0.11778616357847345,0.5313454657376563,0.6886803845377556
10,16,300,log_loss,9,25,12,sqrt,balanced_subsample,6,0.6074894397705121,0.1241946812630389,0.5371323650887087,0.6888369778216158
11,21,300,log_loss,9,25,12,sqrt,balanced_subsample,6,0.6074894397705121,0.1241946812630389,0.5371323650887087,0.6888369778216158
12,20,250,log_loss,6,30,12,sqrt,balanced_subsample,6,0.6068794298303154,0.11809634371538615,0.5322064760825406,0.6885891385678445
13,17,350,log_loss,11,10,12,sqrt,balanced,6,0.6068751399637057,0.12005935946818919,0.5365661286185431,0.6835874793680309
14,10,500,log_loss,7,30,8,sqrt,balanced,6,0.6068350850189498,0.11939405453415457,0.5334530051380101,0.6907729799478303
15,11,500,log_loss,7,30,8,sqrt,balanced,6,0.6068350850189498,0.11939405453415457,0.5334530051380101,0.6907729799478303
16,12,500,log_loss,7,30,8,sqrt,balanced,6,0.6068350850189498,0.11939405453415457,0.5334530051380101,0.6907729799478303
17,14,450,log_loss,9,25,10,sqrt,balanced_subsample,6,0.6066721830785254,0.11837558485096622,0.535194598938988,0.6881710194642198
18,5,200,entropy,9,20,4,,balanced_subsample,6,0.6066441781023377,0.12163672315220812,0.5173851568742845,0.6805998753529653
19,13,450,log_loss,6,25,10,sqrt,balanced,6,0.6064716906437575,0.11740603063809929,0.5288021755131188,0.6875590899474227
20,29,450,log_loss,10,10,8,,balanced,6,0.6063511186156051,0.12047849464247032,0.5184307260739559,0.6756157968016041
21,19,350,log_loss,6,25,6,sqrt,balanced_subsample,6,0.606316805041319,0.12228779231577434,0.5274965842607968,0.686584026936531
22,18,250,log_loss,8,30,10,sqrt,balanced,6,0.6052866233920379,0.12021682136525927,0.5337474209319881,0.6876791395335687
23,8,200,entropy,12,20,12,,balanced_subsample,6,0.6051388591716212,0.12649263534357924,0.5176664087270034,0.6718954068545054
24,0,300,log_loss,10,20,4,sqrt,balanced,6,0.605120542194859,0.12208352119975825,0.5317916871906657,0.686685512471688
25,6,400,entropy,4,20,4,,balanced,6,0.5954815964042084,0.11572694938827455,0.5093988465689517,0.6765002966948488
26,9,400,entropy,4,25,12,sqrt,balanced_subsample,6,0.5943658569637252,0.11384882542324223,0.49193835821585996,0.6808045744918794
27,3,500,entropy,4,15,6,,balanced_subsample,6,0.5930231993564391,0.11888164955893711,0.48862796200241587,0.6805270670315975
28,2,450,entropy,4,15,2,sqrt,balanced,6,0.5926381981834327,0.11618411165254802,0.48773992395801524,0.6802968392946616
29,7,300,log_loss,5,15,2,,balanced_subsample,6,0.5889082812249816,0.11922736923611749,0.4387086486392077,0.678723442038065
30,4,400,log_loss,3,15,10,sqrt,balanced_subsample,6,0.5794008503976883,0.10915162303787794,0.4491260349233961,0.6698132049456128
