trial_number,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,1,1,0.6444444444444445,0.7241379310344828,0.7944664031620554,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,2,2,0.6888888888888889,0.5333333333333333,0.9051383399209486,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,3,3,0.4666666666666667,0.5714285714285714,0.4920948616600791,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,4,4,0.7111111111111111,0.7636363636363637,0.7549407114624506,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,5,5,0.37777777777777777,0.46153846153846156,0.3293650793650794,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,6,6,0.5333333333333333,0.0,0.5198412698412699,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,7,7,0.6888888888888889,0.7586206896551724,0.958498023715415,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,8,8,0.6444444444444445,0.6,0.7134387351778656,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,9,9,0.5555555555555556,0.4444444444444444,0.6031746031746031,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,10,10,0.6222222222222222,0.6382978723404256,0.7123015873015873,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,11,11,0.4888888888888889,0.6349206349206349,0.5434782608695653,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,12,12,0.5555555555555556,0.5,0.6170634920634921,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,13,13,0.7428571428571429,0.7096774193548387,0.8071895424836601,35
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,14,14,0.6666666666666666,0.7272727272727273,0.6442687747035574,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,15,15,0.5555555555555556,0.6875,0.9110671936758893,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,16,16,0.7111111111111111,0.7346938775510204,0.6956521739130435,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,17,17,0.5476190476190477,0.09523809523809523,0.5409090909090909,42
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,18,18,0.4444444444444444,0.5901639344262295,0.4841897233201581,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,19,19,0.5777777777777777,0.6885245901639344,0.7885375494071146,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,20,20,0.5333333333333333,0.16,0.4762845849802372,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,21,21,0.5555555555555556,0.6296296296296297,0.7063492063492064,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,22,22,0.5555555555555556,0.6875,0.650197628458498,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,23,23,0.6818181818181818,0.75,0.8223140495867767,44
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,24,24,0.5,0.3076923076923077,0.35064935064935066,18
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,25,25,0.6666666666666666,0.6666666666666666,0.7055335968379446,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,26,26,0.7555555555555555,0.7755102040816326,0.7718253968253969,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,27,27,0.4888888888888889,0.6349206349206349,0.5573122529644269,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,28,28,0.5555555555555556,0.5,0.5197628458498024,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,29,29,0.7777777777777778,0.8148148148148148,0.9802371541501976,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,30,30,0.4888888888888889,0.14814814814814814,0.5535714285714286,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,31,31,0.8444444444444444,0.8571428571428571,0.9624505928853755,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,32,32,0.7954545454545454,0.8235294117647058,0.8716356107660456,44
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,33,33,0.7111111111111111,0.6285714285714286,0.8735177865612649,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,34,34,0.8888888888888888,0.9056603773584906,0.9722222222222222,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,35,35,0.5777777777777777,0.2962962962962963,0.808300395256917,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,36,36,0.4318181818181818,0.5098039215686274,0.44628099173553715,44
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,37,37,0.5111111111111111,0.0,0.3952569169960475,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,38,38,0.5555555555555556,0.47368421052631576,0.5395256916996047,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,39,39,0.4772727272727273,0.5490196078431373,0.3913043478260869,44
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,40,40,0.4444444444444444,0.32432432432432434,0.4503968253968254,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,41,41,0.6666666666666666,0.6341463414634146,0.7202380952380952,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,42,42,0.8444444444444444,0.8292682926829268,0.9644268774703557,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,43,43,0.6222222222222222,0.48484848484848486,0.8300395256916997,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,44,44,0.7586206896551724,0.7407407407407407,0.7238095238095238,29
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,45,45,0.5777777777777777,0.24,0.7312252964426879,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,46,46,0.5555555555555556,0.5454545454545454,0.5612648221343874,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,47,47,0.5777777777777777,0.5957446808510638,0.6051587301587301,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,48,48,0.7058823529411765,0.6666666666666666,0.8142857142857144,17
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,49,49,0.8,0.7692307692307693,0.8992094861660079,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,50,50,0.5111111111111111,0.0,0.6857707509881422,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,51,51,0.5333333333333333,0.0,0.5218253968253969,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,52,52,0.7804878048780488,0.7096774193548387,0.8421052631578947,41
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,53,53,0.5813953488372093,0.4375,0.5887445887445887,43
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,54,54,0.6410256410256411,0.6956521739130435,0.8396739130434783,39
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,55,55,0.6888888888888889,0.5333333333333333,0.9624505928853755,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,56,56,0.8636363636363636,0.8636363636363636,0.9442148760330579,44
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,57,57,0.6888888888888889,0.6666666666666666,0.7043650793650794,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,58,58,0.4888888888888889,0.5306122448979592,0.5833333333333333,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,59,59,0.4666666666666667,0.14285714285714285,0.44047619047619047,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,60,60,0.7954545454545454,0.8,0.921487603305785,44
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,61,61,0.7906976744186046,0.7692307692307693,0.8766233766233766,43
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,62,62,0.8444444444444444,0.8292682926829268,0.9486166007905139,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,63,63,0.5813953488372093,0.35714285714285715,0.5735930735930735,43
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,64,64,0.6888888888888889,0.72,0.7549407114624507,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,65,65,0.7111111111111111,0.6666666666666666,0.7718253968253969,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,66,66,0.4222222222222222,0.4583333333333333,0.4940711462450593,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,67,67,0.5111111111111111,0.26666666666666666,0.6106719367588933,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,68,68,0.4888888888888889,0.0,0.5968379446640316,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,69,69,0.5333333333333333,0.46153846153846156,0.6170634920634921,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,70,70,0.7333333333333333,0.7142857142857143,0.7351778656126482,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,71,71,0.6222222222222222,0.41379310344827586,0.9209486166007905,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,72,72,0.8666666666666667,0.8695652173913043,0.9387351778656127,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,73,73,0.7111111111111111,0.6666666666666666,0.7470355731225297,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,74,74,0.5555555555555556,0.375,0.5,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,75,75,0.7073170731707317,0.7,0.8428571428571429,41
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,76,76,0.6222222222222222,0.711864406779661,0.6719367588932806,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,77,77,0.5333333333333333,0.5882352941176471,0.5158730158730159,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,78,78,0.5333333333333333,0.6037735849056604,0.6304347826086957,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,79,79,0.65,0.5333333333333333,0.6575,40
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,80,80,0.4888888888888889,0.0,0.6422924901185771,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,81,81,0.5111111111111111,0.08333333333333333,0.7984189723320159,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,82,82,0.5555555555555556,0.6774193548387096,0.6778656126482213,45
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,83,83,0.5526315789473685,0.19047619047619047,0.7562326869806094,38
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,84,84,0.6818181818181818,0.6666666666666666,0.7453416149068323,44
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,85,85,0.5681818181818182,0.6885245901639344,0.9006211180124224,44
25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,86,86,0.6363636363636364,0.5294117647058824,0.8157349896480331,44
