rank,trial_number,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,csp_components,mean_accuracy,std_accuracy,mean_f1,mean_auc
1,25,400,log_loss,10,30,10,sqrt,balanced_subsample,6,0.6112781532021581,0.12013128514126996,0.5402221800698878,0.6881302041064439
2,15,350,log_loss,8,30,12,sqrt,balanced,6,0.6105380221354428,0.12362176509124083,0.5397822582083116,0.6890189502858717
3,26,400,log_loss,10,30,8,,balanced,6,0.6098172675356003,0.12494870080640677,0.5211644038402441,0.6788450537098457
4,22,350,log_loss,8,25,10,sqrt,balanced_subsample,6,0.6094426494134235,0.118866713005371,0.5396113189751299,0.6879455748701946
5,28,400,log_loss,10,30,6,,balanced,6,0.6090743236236307,0.12371651441621692,0.5223114619833558,0.6787918567342364
6,27,400,log_loss,11,30,8,,balanced,6,0.6090573312569503,0.1264042264061373,0.5239310038996764,0.676030831295342
7,23,350,log_loss,8,30,10,sqrt,balanced_subsample,6,0.6086954109449466,0.12199677796992922,0.5386779607678329,0.6880295871671877
8,24,350,log_loss,8,30,10,sqrt,balanced_subsample,6,0.6086954109449466,0.12199677796992922,0.5386779607678329,0.6880295871671877
9,1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,0.6084232948962435,0.11778616357847345,0.5313454657376563,0.6886803845377556
10,16,300,log_loss,9,25,12,sqrt,balanced_subsample,6,0.6074894397705121,0.1241946812630389,0.5371323650887087,0.6888369778216158
