parameter_name,parameter_value,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
class_weight,,200,gini,10,10,5,sqrt,,6,1,1,0.6,0.6785714285714286,0.7628458498023716
class_weight,,200,gini,10,10,5,sqrt,,6,2,2,0.6666666666666666,0.4827586206896552,0.9051383399209487
class_weight,,200,gini,10,10,5,sqrt,,6,3,3,0.4888888888888889,0.5660377358490566,0.4762845849802371
class_weight,,200,gini,10,10,5,sqrt,,6,4,4,0.6888888888888889,0.7307692307692307,0.7312252964426877
class_weight,,200,gini,10,10,5,sqrt,,6,5,5,0.35555555555555557,0.40816326530612246,0.3412698412698413
class_weight,,200,gini,10,10,5,sqrt,,6,6,6,0.4888888888888889,0.0,0.5277777777777778
class_weight,,200,gini,10,10,5,sqrt,,6,7,7,0.6888888888888889,0.7586206896551724,0.9288537549407114
class_weight,,200,gini,10,10,5,sqrt,,6,8,8,0.6222222222222222,0.5853658536585366,0.6976284584980238
class_weight,,200,gini,10,10,5,sqrt,,6,9,9,0.5777777777777777,0.3448275862068966,0.6071428571428571
class_weight,,200,gini,10,10,5,sqrt,,6,10,10,0.6666666666666666,0.6808510638297872,0.7103174603174603
class_weight,,200,gini,10,10,5,sqrt,,6,11,11,0.4222222222222222,0.5666666666666667,0.5335968379446641
class_weight,,200,gini,10,10,5,sqrt,,6,12,12,0.5555555555555556,0.47368421052631576,0.6150793650793651
class_weight,,200,gini,10,10,5,sqrt,,6,13,13,0.7428571428571429,0.7096774193548387,0.8235294117647058
class_weight,,200,gini,10,10,5,sqrt,,6,14,14,0.6,0.6666666666666666,0.6521739130434783
class_weight,,200,gini,10,10,5,sqrt,,6,15,15,0.5777777777777777,0.6984126984126984,0.8853754940711462
class_weight,,200,gini,10,10,5,sqrt,,6,16,16,0.6888888888888889,0.7083333333333334,0.7134387351778656
class_weight,,200,gini,10,10,5,sqrt,,6,17,17,0.5476190476190477,0.09523809523809523,0.5431818181818182
class_weight,,200,gini,10,10,5,sqrt,,6,18,18,0.4222222222222222,0.5666666666666667,0.45652173913043476
class_weight,,200,gini,10,10,5,sqrt,,6,19,19,0.6,0.7,0.8063241106719367
class_weight,,200,gini,10,10,5,sqrt,,6,20,20,0.5111111111111111,0.08333333333333333,0.5138339920948617
class_weight,,200,gini,10,10,5,sqrt,,6,21,21,0.6,0.6666666666666666,0.7202380952380952
class_weight,,200,gini,10,10,5,sqrt,,6,22,22,0.5111111111111111,0.65625,0.6324110671936759
class_weight,,200,gini,10,10,5,sqrt,,6,23,23,0.6818181818181818,0.75,0.8223140495867769
class_weight,,200,gini,10,10,5,sqrt,,6,24,24,0.5,0.3076923076923077,0.33766233766233766
class_weight,,200,gini,10,10,5,sqrt,,6,25,25,0.6666666666666666,0.6511627906976745,0.7272727272727272
class_weight,,200,gini,10,10,5,sqrt,,6,26,26,0.7777777777777778,0.7916666666666666,0.7757936507936509
class_weight,,200,gini,10,10,5,sqrt,,6,27,27,0.5111111111111111,0.65625,0.5513833992094862
class_weight,,200,gini,10,10,5,sqrt,,6,28,28,0.5333333333333333,0.46153846153846156,0.4960474308300395
class_weight,,200,gini,10,10,5,sqrt,,6,29,29,0.7777777777777778,0.8148148148148148,0.9841897233201581
class_weight,,200,gini,10,10,5,sqrt,,6,30,30,0.5333333333333333,0.16,0.5793650793650793
class_weight,,200,gini,10,10,5,sqrt,,6,31,31,0.8222222222222222,0.8333333333333334,0.9624505928853755
class_weight,,200,gini,10,10,5,sqrt,,6,32,32,0.7954545454545454,0.8085106382978723,0.8571428571428572
class_weight,,200,gini,10,10,5,sqrt,,6,33,33,0.7111111111111111,0.6285714285714286,0.8715415019762847
class_weight,,200,gini,10,10,5,sqrt,,6,34,34,0.8888888888888888,0.9019607843137255,0.9702380952380952
class_weight,,200,gini,10,10,5,sqrt,,6,35,35,0.5555555555555556,0.23076923076923078,0.7944664031620554
class_weight,,200,gini,10,10,5,sqrt,,6,36,36,0.45454545454545453,0.52,0.4173553719008264
class_weight,,200,gini,10,10,5,sqrt,,6,37,37,0.5111111111111111,0.0,0.5
class_weight,,200,gini,10,10,5,sqrt,,6,38,38,0.5333333333333333,0.46153846153846156,0.5335968379446641
class_weight,,200,gini,10,10,5,sqrt,,6,39,39,0.45454545454545453,0.5,0.3664596273291925
class_weight,,200,gini,10,10,5,sqrt,,6,40,40,0.4,0.22857142857142856,0.39880952380952384
