parameter_name,parameter_value,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,1,1,0.6222222222222222,0.7017543859649122,0.7569169960474308
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,2,2,0.6888888888888889,0.5333333333333333,0.9229249011857709
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,3,3,0.4666666666666667,0.5384615384615384,0.5059288537549407
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,4,4,0.6222222222222222,0.711864406779661,0.7569169960474309
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,5,5,0.35555555555555557,0.43137254901960786,0.3571428571428572
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,6,6,0.4888888888888889,0.0,0.5158730158730159
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,7,7,0.6666666666666666,0.7457627118644068,0.9367588932806324
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,8,8,0.6222222222222222,0.6222222222222222,0.7055335968379446
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,9,9,0.5111111111111111,0.3125,0.5734126984126984
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,10,10,0.6888888888888889,0.6956521739130435,0.7222222222222222
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,11,11,0.5777777777777777,0.5581395348837209,0.5988142292490118
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,12,12,0.5333333333333333,0.4,0.6607142857142857
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,13,13,0.7428571428571429,0.7272727272727273,0.7973856209150326
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,14,14,0.6,0.6666666666666666,0.6837944664031621
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,15,15,0.5777777777777777,0.6984126984126984,0.9011857707509882
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,16,16,0.7111111111111111,0.7346938775510204,0.6837944664031621
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,17,17,0.5476190476190477,0.09523809523809523,0.5045454545454545
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,18,18,0.4666666666666667,0.5862068965517241,0.4525691699604743
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,19,19,0.5555555555555556,0.6774193548387096,0.8142292490118578
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,20,20,0.5333333333333333,0.16,0.5197628458498024
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,21,21,0.5555555555555556,0.6153846153846154,0.7142857142857142
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,22,22,0.5555555555555556,0.696969696969697,0.6620553359683794
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,23,23,0.6818181818181818,0.75,0.7995867768595041
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,24,24,0.5,0.3076923076923077,0.33766233766233766
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,25,25,0.6666666666666666,0.6808510638297872,0.691699604743083
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,26,26,0.7555555555555555,0.7755102040816326,0.7638888888888888
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,27,27,0.5111111111111111,0.65625,0.5810276679841898
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,28,28,0.5555555555555556,0.5238095238095238,0.5434782608695652
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,29,29,0.7777777777777778,0.8148148148148148,0.9703557312252964
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,30,30,0.5333333333333333,0.16,0.5773809523809523
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,31,31,0.8222222222222222,0.8333333333333334,0.9664031620553359
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,32,32,0.7954545454545454,0.8235294117647058,0.8467908902691511
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,33,33,0.7111111111111111,0.6285714285714286,0.8616600790513834
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,34,34,0.8444444444444444,0.8727272727272727,0.9722222222222222
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,35,35,0.5555555555555556,0.23076923076923078,0.8063241106719365
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,36,36,0.4318181818181818,0.46808510638297873,0.4380165289256198
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,37,37,0.5111111111111111,0.0,0.4861660079051384
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,38,38,0.5777777777777777,0.4864864864864865,0.525691699604743
min_samples_leaf,1,200,gini,10,10,1,sqrt,balanced,6,39,39,0.4318181818181818,0.46808510638297873,0.37267080745341613
