parameter_name,parameter_value,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,1,1,0.6,0.6785714285714286,0.7430830039525691
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,2,2,0.6666666666666666,0.4827586206896552,0.9130434782608696
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,3,3,0.4888888888888889,0.5490196078431373,0.48616600790513836
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,4,4,0.6888888888888889,0.72,0.7114624505928854
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,5,5,0.4,0.47058823529411764,0.3392857142857143
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,6,6,0.5111111111111111,0.0,0.498015873015873
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,7,7,0.6666666666666666,0.7457627118644068,0.9288537549407114
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,8,8,0.6444444444444445,0.6190476190476191,0.7075098814229249
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,9,9,0.5111111111111111,0.35294117647058826,0.5555555555555556
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,10,10,0.6444444444444445,0.6666666666666666,0.7222222222222222
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,11,11,0.4222222222222222,0.5185185185185185,0.541501976284585
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,12,12,0.5333333333333333,0.43243243243243246,0.634920634920635
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,13,13,0.6571428571428571,0.625,0.7973856209150327
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,14,14,0.5777777777777777,0.6415094339622641,0.6383399209486166
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,15,15,0.5555555555555556,0.6875,0.8952569169960474
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,16,16,0.6888888888888889,0.7407407407407407,0.6976284584980237
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,17,17,0.5714285714285714,0.18181818181818182,0.5227272727272727
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,18,18,0.4444444444444444,0.5901639344262295,0.42292490118577075
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,19,19,0.6222222222222222,0.711864406779661,0.8300395256916997
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,20,20,0.5111111111111111,0.08333333333333333,0.4861660079051383
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,21,21,0.5777777777777777,0.6415094339622641,0.7103174603174603
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,22,22,0.5333333333333333,0.6865671641791045,0.658102766798419
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,23,23,0.6818181818181818,0.75,0.7871900826446281
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,24,24,0.5,0.3076923076923077,0.33766233766233766
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,25,25,0.6888888888888889,0.7307692307692307,0.6976284584980237
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,26,26,0.7777777777777778,0.7916666666666666,0.7777777777777779
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,27,27,0.4888888888888889,0.6349206349206349,0.5731225296442688
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,28,28,0.4888888888888889,0.3783783783783784,0.5256916996047432
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,29,29,0.7777777777777778,0.8148148148148148,0.9940711462450593
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,30,30,0.5333333333333333,0.16,0.6011904761904762
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,31,31,0.8222222222222222,0.8333333333333334,0.9664031620553359
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,32,32,0.75,0.7924528301886793,0.8488612836438924
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,33,33,0.7111111111111111,0.6285714285714286,0.8537549407114624
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,34,34,0.8444444444444444,0.8679245283018868,0.9662698412698414
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,35,35,0.5333333333333333,0.16,0.774703557312253
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,36,36,0.4090909090909091,0.48,0.41528925619834706
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,37,37,0.5111111111111111,0.0,0.4407114624505929
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,38,38,0.5333333333333333,0.46153846153846156,0.533596837944664
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,39,39,0.45454545454545453,0.52,0.35610766045548653
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,40,40,0.4444444444444444,0.32432432432432434,0.39285714285714285
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,41,41,0.6222222222222222,0.6382978723404256,0.7321428571428572
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,42,42,0.8444444444444444,0.8292682926829268,0.9446640316205533
n_estimators,100,100,gini,10,10,5,sqrt,balanced,6,43,43,0.6222222222222222,0.45161290322580644,0.7727272727272727
