trial_number,cov_estimator,ts_metric,C,solver,class_weight,fold,subject,accuracy,f1_score,roc_auc,support
0,oas,riemann,0.36579328632390673,saga,balanced,1,1,0.7111111111111111,0.6285714285714286,0.841897233201581,45
0,oas,riemann,0.36579328632390673,saga,balanced,2,2,0.7777777777777778,0.7058823529411765,0.8952569169960474,45
0,oas,riemann,0.36579328632390673,saga,balanced,3,3,0.4666666666666667,0.4782608695652174,0.40909090909090906,45
0,oas,riemann,0.36579328632390673,saga,balanced,4,4,0.5555555555555556,0.6774193548387096,0.841897233201581,45
0,oas,riemann,0.36579328632390673,saga,balanced,5,5,0.4222222222222222,0.5666666666666667,0.4027777777777778,45
0,oas,riemann,0.36579328632390673,saga,balanced,6,6,0.5555555555555556,0.16666666666666666,0.498015873015873,45
0,oas,riemann,0.36579328632390673,saga,balanced,7,7,0.9555555555555556,0.9523809523809523,1.0,45
0,oas,riemann,0.36579328632390673,saga,balanced,8,8,0.6666666666666666,0.6666666666666666,0.7430830039525692,45
0,oas,riemann,0.36579328632390673,saga,balanced,9,9,0.6222222222222222,0.5641025641025641,0.5376984126984127,45
0,oas,riemann,0.36579328632390673,saga,balanced,10,10,0.5555555555555556,0.6666666666666666,0.6924603174603174,45
0,oas,riemann,0.36579328632390673,saga,balanced,11,11,0.5333333333333333,0.08695652173913043,0.4881422924901186,45
0,oas,riemann,0.36579328632390673,saga,balanced,12,12,0.8,0.7906976744186046,0.8412698412698413,45
0,oas,riemann,0.36579328632390673,saga,balanced,13,13,0.7714285714285715,0.75,0.869281045751634,35
0,oas,riemann,0.36579328632390673,saga,balanced,14,14,0.6444444444444445,0.6190476190476191,0.7391304347826086,45
0,oas,riemann,0.36579328632390673,saga,balanced,15,15,0.6222222222222222,0.7213114754098361,0.932806324110672,45
0,oas,riemann,0.36579328632390673,saga,balanced,16,16,0.5555555555555556,0.6875,0.7944664031620553,45
0,oas,riemann,0.36579328632390673,saga,balanced,17,17,0.5476190476190477,0.17391304347826086,0.6068181818181818,42
0,oas,riemann,0.36579328632390673,saga,balanced,18,18,0.5111111111111111,0.65625,0.4031620553359684,45
0,oas,riemann,0.36579328632390673,saga,balanced,19,19,0.5555555555555556,0.16666666666666666,0.6719367588932806,45
