rank,trial_number,cov_estimator,ts_metric,C,solver,class_weight,mean_accuracy,std_accuracy,mean_f1,mean_auc
1,10,lwf,riemann,0.177474585048418,saga,,0.6319824306371019,0.12138723005028153,0.5882999518750572,0.7132774405251742
2,12,lwf,riemann,0.20407218846189334,saga,,0.6318083249074407,0.12147407210051657,0.5890361246055393,0.7128543754393787
3,23,lwf,riemann,0.11745388344009906,saga,,0.6315587247674895,0.12299063901948462,0.5883847015307103,0.7143626309890876
4,11,lwf,riemann,0.16123356506942804,saga,,0.6313137063572666,0.12187255178546652,0.5880193111363018,0.7135876393783386
5,27,lwf,riemann,0.11708818430070964,saga,,0.631301523121399,0.12317821197095864,0.5882446455083014,0.7143671370679239
6,16,lwf,riemann,0.22190064119517658,saga,,0.6312525021293957,0.12166366579793271,0.5883485730241638,0.7129661686032113
7,24,lwf,riemann,0.10312781375672453,saga,,0.6312095071668101,0.12295642011128359,0.5878698827641674,0.7149285911584063
8,7,lwf,riemann,0.15080732397775232,saga,balanced,0.6311985831801279,0.12165429738461044,0.5922521040842879,0.7135767377324379
9,14,lwf,riemann,0.23478393043113469,saga,,0.6311937131817177,0.12128890458665581,0.5884739584627585,0.7129383741915356
10,28,lwf,riemann,0.20089288438113598,lbfgs,,0.631176343719904,0.12175426066285742,0.587903051790868,0.7128997028367438
11,18,lwf,riemann,0.24576895323839085,lbfgs,,0.6311653800750493,0.12062834392631268,0.5885557733784059,0.71265223747144
12,22,lwf,riemann,0.18589984541665708,saga,,0.6311593853696124,0.12126221037642368,0.5873380738557957,0.7131331314944466
13,21,lwf,riemann,0.16411655213711085,saga,,0.6311079450403942,0.12164364239149537,0.5878697142605145,0.7135110198410926
14,15,lwf,riemann,0.13801848987848708,saga,,0.6310785179784467,0.12172024505426071,0.5880256876000746,0.7138682604061701
15,17,lwf,riemann,0.10488844275355087,saga,,0.6310529645038074,0.12364535973508468,0.5876873966664525,0.7148914136258466
16,3,oas,riemann,0.0687561214851295,lbfgs,,0.6308227618961738,0.1208963920539738,0.5859606476878455,0.7153680039327656
17,13,lwf,riemann,0.3161889436866399,saga,,0.6303423348075597,0.11992640349003951,0.5881936121575255,0.712470687475008
18,26,lwf,riemann,0.13213349588794468,saga,,0.6302811928755659,0.12173837324395577,0.586563168025674,0.7141703455080356
19,2,lwf,riemann,0.08321019998100095,lbfgs,,0.6302454208957061,0.12039836488569694,0.585577919022271,0.7155230224867927
20,0,oas,riemann,0.08727645584364835,saga,balanced,0.6301901960572297,0.12144335793681606,0.590678552236332,0.7141821528621063
21,20,lwf,riemann,0.05033192037463607,saga,,0.6300066350709185,0.11870655483882243,0.5841773906644734,0.7170093482282547
22,25,lwf,riemann,0.32809740643104285,saga,,0.6297108041695689,0.11963287545604569,0.5875329387335682,0.7122998644424151
23,5,oas,riemann,0.07055637073247151,liblinear,balanced,0.6288791115964106,0.12135581916408236,0.5890996308773414,0.7152926614548272
24,1,oas,riemann,0.40391544709635785,liblinear,balanced,0.6286626506494487,0.12070551906367205,0.5904680817407265,0.711236667943161
25,6,lwf,riemann,0.7161486290093443,saga,balanced,0.6282479635388553,0.11900829797045835,0.589776786692992,0.7104427927676014
26,4,lwf,riemann,0.6581074364316531,saga,balanced,0.6282479635388553,0.118816035318229,0.5896259802619924,0.7105550326791019
27,19,lwf,riemann,0.9871659357152,liblinear,,0.628138444020591,0.1196175379200155,0.5866184879178399,0.7102988306611868
28,8,oas,riemann,0.5302419310190533,lbfgs,balanced,0.6281166312080804,0.12129230671555444,0.5906669097243605,0.7106542678387301
29,29,oas,riemann,0.27367426416954044,liblinear,,0.6269769598787073,0.12198760382604404,0.5849846082195329,0.7118111675820932
30,9,oas,riemann,0.5854788127535739,liblinear,,0.6269398501701884,0.1207257206115735,0.5848879746491472,0.7104830100344133
