rank,trial_number,cov_estimator,ts_metric,C,solver,class_weight,mean_accuracy,std_accuracy,mean_f1,mean_auc
1,10,lwf,riemann,0.177474585048418,saga,,0.6319824306371019,0.12138723005028153,0.5882999518750572,0.7132774405251742
2,12,lwf,riemann,0.20407218846189334,saga,,0.6318083249074407,0.12147407210051657,0.5890361246055393,0.7128543754393787
3,23,lwf,riemann,0.11745388344009906,saga,,0.6315587247674895,0.12299063901948462,0.5883847015307103,0.7143626309890876
4,11,lwf,riemann,0.16123356506942804,saga,,0.6313137063572666,0.12187255178546652,0.5880193111363018,0.7135876393783386
5,27,lwf,riemann,0.11708818430070964,saga,,0.631301523121399,0.12317821197095864,0.5882446455083014,0.7143671370679239
6,16,lwf,riemann,0.22190064119517658,saga,,0.6312525021293957,0.12166366579793271,0.5883485730241638,0.7129661686032113
7,24,lwf,riemann,0.10312781375672453,saga,,0.6312095071668101,0.12295642011128359,0.5878698827641674,0.7149285911584063
8,7,lwf,riemann,0.15080732397775232,saga,balanced,0.6311985831801279,0.12165429738461044,0.5922521040842879,0.7135767377324379
9,14,lwf,riemann,0.23478393043113469,saga,,0.6311937131817177,0.12128890458665581,0.5884739584627585,0.7129383741915356
10,28,lwf,riemann,0.20089288438113598,lbfgs,,0.631176343719904,0.12175426066285742,0.587903051790868,0.7128997028367438
