parameter_name,parameter_value,cov_estimator,ts_metric,C,solver,class_weight,fold,subject,accuracy,f1_score,roc_auc
C,0.1,lwf,riemann,0.1,lbfgs,balanced,1,1,0.7111111111111111,0.6285714285714286,0.8438735177865613
C,0.1,lwf,riemann,0.1,lbfgs,balanced,2,2,0.7777777777777778,0.7058823529411765,0.9031620553359684
C,0.1,lwf,riemann,0.1,lbfgs,balanced,3,3,0.4666666666666667,0.4782608695652174,0.4011857707509881
C,0.1,lwf,riemann,0.1,lbfgs,balanced,4,4,0.5333333333333333,0.676923076923077,0.8418972332015809
C,0.1,lwf,riemann,0.1,lbfgs,balanced,5,5,0.4222222222222222,0.5666666666666667,0.39880952380952384
C,0.1,lwf,riemann,0.1,lbfgs,balanced,6,6,0.5333333333333333,0.08695652173913043,0.4900793650793651
C,0.1,lwf,riemann,0.1,lbfgs,balanced,7,7,0.8888888888888888,0.8717948717948718,1.0
C,0.1,lwf,riemann,0.1,lbfgs,balanced,8,8,0.6444444444444445,0.6666666666666666,0.7312252964426877
C,0.1,lwf,riemann,0.1,lbfgs,balanced,9,9,0.6,0.55,0.5396825396825395
C,0.1,lwf,riemann,0.1,lbfgs,balanced,10,10,0.5555555555555556,0.6666666666666666,0.6785714285714285
C,0.1,lwf,riemann,0.1,lbfgs,balanced,11,11,0.5333333333333333,0.08695652173913043,0.48221343873517786
C,0.1,lwf,riemann,0.1,lbfgs,balanced,12,12,0.7777777777777778,0.7619047619047619,0.8392857142857143
C,0.1,lwf,riemann,0.1,lbfgs,balanced,13,13,0.7714285714285715,0.75,0.8790849673202614
C,0.1,lwf,riemann,0.1,lbfgs,balanced,14,14,0.6444444444444445,0.6363636363636364,0.7569169960474308
C,0.1,lwf,riemann,0.1,lbfgs,balanced,15,15,0.6222222222222222,0.7213114754098361,0.9407114624505929
C,0.1,lwf,riemann,0.1,lbfgs,balanced,16,16,0.5555555555555556,0.696969696969697,0.8102766798418972
C,0.1,lwf,riemann,0.1,lbfgs,balanced,17,17,0.5476190476190477,0.17391304347826086,0.6045454545454545
C,0.1,lwf,riemann,0.1,lbfgs,balanced,18,18,0.5111111111111111,0.6666666666666666,0.40711462450592883
C,0.1,lwf,riemann,0.1,lbfgs,balanced,19,19,0.5555555555555556,0.16666666666666666,0.6699604743083004
C,0.1,lwf,riemann,0.1,lbfgs,balanced,20,20,0.5333333333333333,0.5116279069767442,0.6146245059288538
C,0.1,lwf,riemann,0.1,lbfgs,balanced,21,21,0.6666666666666666,0.6511627906976745,0.6884920634920635
C,0.1,lwf,riemann,0.1,lbfgs,balanced,22,22,0.6444444444444445,0.6363636363636364,0.6857707509881423
C,0.1,lwf,riemann,0.1,lbfgs,balanced,23,23,0.7272727272727273,0.7692307692307693,0.8966942148760331
C,0.1,lwf,riemann,0.1,lbfgs,balanced,24,24,0.6666666666666666,0.7857142857142857,0.8181818181818181
C,0.1,lwf,riemann,0.1,lbfgs,balanced,25,25,0.5777777777777777,0.6666666666666666,0.7193675889328064
C,0.1,lwf,riemann,0.1,lbfgs,balanced,26,26,0.6888888888888889,0.75,0.8690476190476191
C,0.1,lwf,riemann,0.1,lbfgs,balanced,27,27,0.4666666666666667,0.6,0.6225296442687747
C,0.1,lwf,riemann,0.1,lbfgs,balanced,28,28,0.5555555555555556,0.3333333333333333,0.5434782608695653
C,0.1,lwf,riemann,0.1,lbfgs,balanced,29,29,0.6888888888888889,0.7586206896551724,0.9901185770750989
C,0.1,lwf,riemann,0.1,lbfgs,balanced,30,30,0.6444444444444445,0.5294117647058824,0.6944444444444444
