parameter_name,parameter_value,cov_estimator,ts_metric,C,solver,class_weight,fold,subject,accuracy,f1_score,roc_auc
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,1,1,0.7111111111111111,0.6285714285714286,0.8320158102766799
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,2,2,0.7777777777777778,0.7058823529411765,0.8932806324110671
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,3,3,0.4666666666666667,0.4782608695652174,0.4011857707509881
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,4,4,0.5111111111111111,0.65625,0.8359683794466404
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,5,5,0.4222222222222222,0.5666666666666667,0.40277777777777785
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,6,6,0.5555555555555556,0.23076923076923078,0.501984126984127
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,7,7,0.9333333333333333,0.926829268292683,1.0
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,8,8,0.6666666666666666,0.6666666666666666,0.7430830039525692
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,9,9,0.6222222222222222,0.5641025641025641,0.5357142857142857
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,10,10,0.5555555555555556,0.6666666666666666,0.6845238095238095
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,11,11,0.5111111111111111,0.0,0.4782608695652174
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,12,12,0.8,0.7906976744186046,0.8412698412698413
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,13,13,0.7714285714285715,0.75,0.8725490196078431
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,14,14,0.6666666666666666,0.6511627906976745,0.7371541501976284
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,15,15,0.6222222222222222,0.7213114754098361,0.932806324110672
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,16,16,0.5555555555555556,0.6875,0.7924901185770751
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,17,17,0.5476190476190477,0.17391304347826086,0.6068181818181818
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,18,18,0.5111111111111111,0.65625,0.39920948616600793
solver,lbfgs,lwf,riemann,1.0,lbfgs,balanced,19,19,0.5555555555555556,0.16666666666666666,0.6699604743083004
