trial_number,fold,subject,epoch,train_loss,val_loss,learning_rate,temporal_filters,filter_length,pool_length,pool_stride,dropout_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
0,1,1,1,0.8044803440570831,0.6248337904612223,0.0001412840481384146,60,35,75,20,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,2,0.7381903745911338,0.5987178961435954,0.0001412840481384146,60,35,75,20,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,3,0.7106716840556173,0.583358124891917,0.0001412840481384146,60,35,75,20,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,4,0.6890267336910422,0.5966513792673747,0.0001412840481384146,60,35,75,20,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,5,0.6590840446226525,0.5813428282737731,0.0001412840481384146,60,35,75,20,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,6,0.6422770147522291,0.5723163187503815,0.0001412840481384146,60,35,75,20,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,7,0.6316191759524923,0.5552964746952057,0.0001412840481384146,60,35,75,20,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,8,0.6187921374133138,0.5524956305821737,0.0001412840481384146,60,35,75,20,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,9,0.6117351436705301,0.5585085829099019,0.0001412840481384146,60,35,75,20,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,10,0.6012742072343826,0.5609074354171752,0.0001412840481384146,60,35,75,20,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,11,0.5940288476871721,0.5482429961363474,0.0001412840481384146,60,35,75,20,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,12,0.575245353308591,0.5548642198244731,0.0001412840481384146,60,35,75,20,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,13,0.5749535851857879,0.5488009870052337,0.0001412840481384146,60,35,75,20,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,14,0.5781374521779291,0.5530072430769603,0.0001412840481384146,60,35,75,20,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
0,1,1,15,0.5616320017160792,0.5616261223951976,0.0001412840481384146,60,35,75,20,0.5,32,75,0.0001,0.1,5,3,0.7,False,42
