parameter_name,parameter_value,temporal_filters,filter_length,pool_length,pool_stride,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,1,0.6972458559003744,0.5716990927855173
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,2,0.6786589448650678,0.5963544686635335
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,3,0.6088753925128416,0.6162135084470113
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,4,0.6071944523489836,0.5709096590677897
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,5,0.5786816317475203,0.5562803983688355
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,6,0.573609919936368,0.5507585922876994
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,7,0.5631705583496527,0.7553612112998962
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,8,0.5222564400597052,0.5868242899576823
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,9,0.49275848156575003,0.5788426478703816
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,10,0.49052508943008655,0.6263648788134257
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,11,0.5035561174154282,0.6173116942246755
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,12,0.5109996709859732,0.5688092966874441
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,13,0.42971693577639986,0.6307677825291952
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,14,0.4206065937425151,0.6139297624429066
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,15,0.4190274992901267,0.6092777013778686
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,16,0.4066406227648258,0.6065528750419616
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,1,0.753159406058716,0.561925341685613
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,2,0.6448168582988508,0.556990647315979
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,3,0.617505640243039,0.5852933585643768
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,4,0.5888300341638651,0.5636062820752462
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,5,0.5791395286267454,0.5542478183905284
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,6,0.5574559000405398,0.578644198179245
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,7,0.5506863388599772,0.6154946506023407
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,8,0.5261405191638253,0.6103693167368571
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,9,0.5084762379075541,0.5776677866776784
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,10,0.5443169553623055,0.6183881262938181
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,11,0.5258491050564882,0.6144525607426962
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,12,0.46360860177964874,0.5664909740289052
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,13,0.43647816698208,0.5905961036682129
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,14,0.42111629744370777,0.6323734362920125
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,15,0.42361601690451306,0.6100915531317394
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,1,0.718322519551624,0.5791046182314555
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,2,0.6437635932004813,0.9999230047067006
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,3,0.6763042356028701,0.5479545195897421
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,4,0.6284248025128336,0.6249241511027018
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,5,0.5590647161006927,0.5420017341772715
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,6,0.5763550421053713,0.5666487574577331
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,7,0.5480030571872537,0.5880301872889201
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,8,0.5379322943362322,0.6395261446634929
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,9,0.5121752430092205,0.583564571539561
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,10,0.48487588198799075,0.5571846882502238
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,11,0.4899454288410418,0.6595219731330871
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,12,0.4424493565703883,0.5897262831528981
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,13,0.43962959719426703,0.5818418542544047
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,14,0.418252908257824,0.6091999173164367
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,15,0.4132774464334502,0.6056469599405925
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,1,0.7261300226955703,0.6144017736117046
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,2,0.6426766828605623,0.6415204385916392
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,3,0.6298236338929697,0.5745975295702617
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,4,0.6216070611368526,0.5924405992031098
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,5,0.607987523756244,0.5554963807264964
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,6,0.5534625753308787,0.6010639290014903
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,7,0.5376242848508286,0.5537114938100179
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,8,0.5211551453579556,0.5924740552902221
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,9,0.5035313191738996,0.6252556363741557
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,10,0.5071924407825326,0.5858967820803325
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,11,0.4636524452856093,0.8694243907928467
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,12,0.48161513256755745,0.6145064016183217
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,13,0.4661876845991973,0.6875753204027811
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,14,0.4138473612115239,0.6380463401476543
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,15,0.3958336881390124,0.612968772649765
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,16,0.393596622754227,0.6797875503698985
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,17,0.38566474853591487,0.6169718166192373
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,1,0.6991527019576593,0.5891708672046662
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,2,0.6888758822372465,0.5973252375920614
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,3,0.5997365412838531,0.6695277253786723
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,4,0.6117008141044414,0.62083274324735
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,5,0.5760565237565474,0.5822345177332561
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,6,0.5850216640215932,0.6503696898619334
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,7,0.552415913930445,0.7440584381421407
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,8,0.5759326522097443,0.5851070861021678
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,9,0.5234015410145124,0.7323274989922841
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,10,0.5211411402984099,0.6326848904291789
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,11,0.5081348193414283,0.5844382286071778
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,12,0.45252443398490094,0.5991986433664958
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,13,0.4158237994168744,0.5921277145544688
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,14,0.41476898843591864,0.6135174612204234
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,15,0.4287290085445751,0.6377439697583517
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,1,0.760344876032887,0.6034022827943166
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,2,0.6454764134956129,0.7317284067471822
dropout_rate,0.1,40,25,75,15,0.1,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,3,0.6301943919423855,0.7044667581717173
