parameter_name,parameter_value,temporal_filters,filter_length,pool_length,pool_stride,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.7333333333333333,0.6666666666666666,0.8122529644268773,45,11.111124397721142,0.005668645724654198,0.12596990499231553,0.10300445556640625,27002,0.13671875,132.27001953125,0.5489839798573292,0.6092386981754592,0.5461998641490936,16,26
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.7777777777777778,0.7058823529411765,0.9683794466403162,45,10.669261303264648,0.001512893009930849,0.03361984466512998,0.10300445556640625,27002,0.0,132.27001953125,0.5379165785782265,0.5951652000799323,0.5386123875776927,16,26
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.5333333333333333,0.46153846153846156,0.4169960474308301,45,14.297631110996008,0.0026838709600269794,0.05964157688948843,0.10300445556640625,27002,0.0,132.27001953125,0.5297164352554263,0.53521257277691,0.5407374620437622,26,36
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.5555555555555556,0.6875,0.7924901185770752,45,10.016686464194208,0.0013141860254108906,0.02920413389801979,0.10300445556640625,27002,0.0,132.27001953125,0.5505795332066941,0.6200749786062674,0.5298463980356852,15,25
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.5333333333333333,0.6440677966101694,0.6170634920634921,45,10.769857352599502,0.0031594322063028812,0.07020960458450846,0.10300445556640625,27002,0.0,132.27001953125,0.5429894648718111,0.5799964677655336,0.5645764589309692,17,27
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.5111111111111111,0.08333333333333333,0.5535714285714286,45,13.874937184620649,0.004310540854930878,0.09578979677624173,0.10300445556640625,27002,0.0,132.27001953125,0.5261074112671794,0.561874218510859,0.5448398888111115,23,33
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.9111111111111111,0.9047619047619048,0.9644268774703558,45,8.85312420502305,0.001656519714742899,0.036811549216508865,0.10300445556640625,27002,0.0,132.27001953125,0.552693464765043,0.6089986914938147,0.551727032661438,12,22
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.7111111111111111,0.7111111111111111,0.7569169960474309,45,18.47524254769087,0.002243529073894024,0.04985620164208942,0.10300445556640625,27002,0.0,132.27001953125,0.5115015118411093,0.5428767068819567,0.5518889387448629,29,39
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.6888888888888889,0.65,0.6587301587301587,45,17.59786809189245,0.0026750508695840836,0.0594455748796463,0.10300445556640625,27002,0.0,132.27001953125,0.531640422615138,0.5650465316844709,0.5522405564785003,18,28
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.6222222222222222,0.6792452830188679,0.7182539682539683,45,19.007548697758466,0.0035532647743821144,0.07896143943071365,0.10300445556640625,27002,0.0,132.27001953125,0.5069411137338841,0.5159982711528287,0.549964161713918,47,50
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,11,11,0.4222222222222222,0.1875,0.5039525691699605,45,9.286333576776087,0.0045718359760940075,0.10159635502431127,0.10300445556640625,27002,0.0,132.27001953125,0.5461942203568689,0.609152130556829,0.5408198893070221,13,23
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,12,12,0.6222222222222222,0.6046511627906976,0.8313492063492064,45,10.148901604115963,0.004126593936234713,0.0917020874718825,0.10300445556640625,27002,0.0,132.27001953125,0.5616293885942661,0.5991861242236514,0.5630856156349182,11,21
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,13,13,0.8285714285714286,0.8421052631578947,0.8562091503267975,35,6.8652351992204785,0.003605314064770937,0.10300897327916964,0.10300445556640625,27002,0.109375,132.27001953125,0.5947077477520163,0.6964869953014634,0.5823821544647216,5,15
