parameter_name,parameter_value,temporal_filters,filter_length,pool_length,pool_stride,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,epoch,train_loss,val_loss
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,1,0.8426424305547368,0.7631114840507507
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,2,0.7480621985865362,0.7272062619527181
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,3,0.7597126315037409,0.5900824069976807
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,4,0.6940497907273697,0.7783940335114797
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,5,0.6785512295636263,0.6009781340758006
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,6,0.6947564931981491,0.5620978554089864
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,7,0.6717283836368358,0.5818101624647777
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,8,0.6623318369189898,0.5565019051233927
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,9,0.6652877895217953,0.6269668936729431
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,10,0.6752026790019238,0.7696110834678014
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,11,0.6496591728293535,0.5512804388999939
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,12,0.6321997281276819,0.7468249320983886
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,13,0.6521369383642168,0.562043696641922
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,14,0.6171677995360259,0.6503076374530792
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,15,0.628065117606611,0.5630714893341064
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,16,0.6092386981754592,0.5461998641490936
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,17,0.6118099522410017,0.5482579509417216
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,18,0.6036166720318071,0.5791208426157634
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,19,0.5955930291251703,0.5599504709243774
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,20,0.6037129881707105,0.6273128469785054
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,21,0.6101677307125294,0.6019338965415955
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,22,0.6092690355849989,0.581204601128896
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,23,0.5809786301670652,0.5556459168593089
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,24,0.5593255171270082,0.5561996082464854
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,25,0.5605128215569438,0.5502409319082896
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,26,0.5489839798573292,0.5815780858198801
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,1,0.8444183857151957,0.6346981227397919
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,2,0.7670766523841656,0.6623063266277314
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,3,0.7155075012282892,0.654339345296224
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,4,0.7378420669472578,0.5625768363475799
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,5,0.6744089562332991,0.7422123332818349
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,6,0.6870949593457308,0.5498901347319285
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,7,0.6714653230526231,0.551697701215744
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,8,0.6583237535122669,0.5552492241064707
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,9,0.6398343274539168,0.612224413951238
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,10,0.6413807485139731,0.582216082016627
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,11,0.6249596106283593,0.5581230382124583
filter_length,15,40,15,75,15,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,12,0.6289130413171017,0.5673682848612468
