parameter_name,parameter_value,temporal_filters,filter_length,pool_length,pool_stride,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
pool_stride,10,40,25,75,10,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,1,1,0.8222222222222222,0.8,0.8972332015810277,45,7.325641096103936,0.0031587639823555946,0.07019475516345766,0.10849761962890625,28442,0.0,130.51611328125,0.5228030701929872,0.5980749782739263,0.5522168616453806,11,21
pool_stride,10,40,25,75,10,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,2,2,0.8666666666666667,0.8636363636363636,0.9604743083003953,45,5.520373617764562,0.0025316551327705383,0.056259002950456403,0.10849761962890625,28442,0.0,130.51611328125,0.5618616581866236,0.7050615086248426,0.5484879612922668,4,14
pool_stride,10,40,25,75,10,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,3,3,0.4666666666666667,0.25,0.45652173913043476,45,9.280595180112869,0.0026871319860219955,0.05971404413382212,0.10849761962890625,28442,0.0,130.51611328125,0.5013204826550051,0.5597060225678213,0.5603831708431244,15,25
pool_stride,10,40,25,75,10,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,4,4,0.5777777777777777,0.6984126984126984,0.7430830039525691,45,6.296783626079559,0.0024497658014297485,0.05443924003177219,0.10849761962890625,28442,0.0,130.51611328125,0.5559130247795221,0.6807315586642786,0.5459767639636993,9,19
pool_stride,10,40,25,75,10,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,5,5,0.5777777777777777,0.7076923076923077,0.5376984126984127,45,5.972317272797227,0.002275599166750908,0.0505688703722424,0.10849761962890625,28442,0.0,130.51611328125,0.5919635234908625,0.7284429328459682,0.5659046490987142,5,15
pool_stride,10,40,25,75,10,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,6,6,0.4444444444444444,0.1935483870967742,0.5257936507936508,45,11.5436768271029,0.0015273019671440125,0.03394004371431139,0.10849761962890625,28442,0.0,130.51611328125,0.46373341322848294,0.4998064147252025,0.5552122970422109,21,31
pool_stride,10,40,25,75,10,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,7,7,0.8666666666666667,0.8636363636363636,0.9446640316205535,45,6.42241305205971,0.0022433088161051273,0.04985130702455839,0.10849761962890625,28442,0.0,130.51611328125,0.5568989305333658,0.7096114926265947,0.5406918505827586,6,16
pool_stride,10,40,25,75,10,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,8,8,0.7555555555555555,0.7441860465116279,0.7984189723320159,45,12.239522549323738,0.0011209803633391857,0.024910674740870796,0.10849761962890625,28442,0.0,130.51611328125,0.47162996458284784,0.5200949603635253,0.5735856612523397,26,36
pool_stride,10,40,25,75,10,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,9,9,0.6444444444444445,0.6363636363636364,0.6349206349206349,45,7.901534957811236,0.0018346370197832584,0.04076971155073907,0.10849761962890625,28442,0.0,130.51611328125,0.5132368155049555,0.5920788433515665,0.5623332818349203,12,22
pool_stride,10,40,25,75,10,0.5,0.001,32,50,0.0,0.1,10,5,0.5,True,42,10,10,0.6444444444444445,0.6666666666666666,0.7380952380952381,45,9.419744524173439,0.002200460061430931,0.048899112476242915,0.10849761962890625,28442,0.0,130.51611328125,0.4884384439298601,0.547477963521625,0.560450021425883,19,29
